Date,SC
2014-01-23,25.200001
2014-01-24,24.209999
2014-01-27,24.799999
2014-01-28,25.690001000000002
2014-01-29,25.620001000000002
2014-01-30,25.77
2014-01-31,25.629998999999998
2014-02-03,25.25
2014-02-04,25.18
2014-02-05,25.280001000000002
2014-02-06,24.719998999999998
2014-02-07,25.08
2014-02-10,25.219998999999998
2014-02-11,25.379998999999998
2014-02-12,25.26
2014-02-13,25.49
2014-02-14,25.41
2014-02-18,25.5
2014-02-19,25.360001
2014-02-20,25.43
2014-02-21,25.35
2014-02-24,25.280001000000002
2014-02-25,25.059998999999998
2014-02-26,24.860001
2014-02-27,24.879998999999998
2014-02-28,25.33
2014-03-03,25.9
2014-03-04,25.51
2014-03-05,25.0
2014-03-06,24.73
2014-03-07,24.440001000000002
2014-03-10,24.379998999999998
2014-03-11,23.940001000000002
2014-03-12,23.860001
2014-03-13,22.860001
2014-03-14,23.18
2014-03-17,24.059998999999998
2014-03-18,24.76
2014-03-19,24.709999
2014-03-20,24.370001000000002
2014-03-21,24.030001000000002
2014-03-24,23.24
2014-03-25,23.16
2014-03-26,23.139999
2014-03-27,23.110001
2014-03-28,23.5
2014-03-31,24.08
2014-04-01,24.0
2014-04-02,24.110001
2014-04-03,23.780001000000002
2014-04-04,22.99
2014-04-07,22.48
2014-04-08,22.59
2014-04-09,22.799999
2014-04-10,22.709999
2014-04-11,22.290001
2014-04-14,22.23
2014-04-15,22.700001
2014-04-16,23.02
2014-04-17,22.93
2014-04-21,22.870001000000002
2014-04-22,23.059998999999998
2014-04-23,22.92
2014-04-24,22.870001000000002
2014-04-25,22.77
2014-04-28,22.440001000000002
2014-04-29,22.84
2014-04-30,22.74
2014-05-01,22.540001
2014-05-02,22.5
2014-05-05,22.73
2014-05-06,22.530001000000002
2014-05-07,22.040001
2014-05-08,22.110001
2014-05-09,21.83
2014-05-12,21.82
2014-05-13,21.67
2014-05-14,21.549999
2014-05-15,21.23
2014-05-16,21.08
2014-05-19,21.209999
2014-05-20,21.25
2014-05-21,21.620001000000002
2014-05-22,21.5
2014-05-23,21.219998999999998
2014-05-27,21.209999
2014-05-28,20.719998999999998
2014-05-29,19.76
2014-05-30,19.65
2014-06-02,19.66
2014-06-03,20.1
2014-06-04,20.27
2014-06-05,20.309998999999998
2014-06-06,20.52
2014-06-09,20.620001000000002
2014-06-10,21.049999
2014-06-11,19.25
2014-06-12,18.99
2014-06-13,18.76
2014-06-16,18.92
2014-06-17,18.860001
2014-06-18,19.129998999999998
2014-06-19,19.360001
2014-06-20,19.549999
2014-06-23,19.370001000000002
2014-06-24,19.09
2014-06-25,19.299999
2014-06-26,19.440001000000002
2014-06-27,19.6
2014-06-30,19.440001000000002
2014-07-01,19.76
2014-07-02,19.700001
2014-07-03,19.73
2014-07-07,19.469998999999998
2014-07-08,19.040001
2014-07-09,19.25
2014-07-10,19.530001000000002
2014-07-11,19.370001000000002
2014-07-14,19.360001
2014-07-15,19.65
2014-07-16,20.120001000000002
2014-07-17,19.83
2014-07-18,19.85
2014-07-21,19.809998999999998
2014-07-22,19.940001000000002
2014-07-23,20.0
2014-07-24,19.950001
2014-07-25,19.870001000000002
2014-07-28,19.84
2014-07-29,19.549999
2014-07-30,19.65
2014-07-31,19.17
2014-08-01,19.1
2014-08-04,18.84
2014-08-05,17.98
2014-08-06,18.030001000000002
2014-08-07,18.23
2014-08-08,17.950001
2014-08-11,17.889999
2014-08-12,17.959999
2014-08-13,17.99
2014-08-14,17.6
2014-08-15,17.940001000000002
2014-08-18,17.959999
2014-08-19,18.15
2014-08-20,18.73
2014-08-21,18.76
2014-08-22,18.74
2014-08-25,18.860001
2014-08-26,18.809998999999998
2014-08-27,18.77
2014-08-28,18.790001
2014-08-29,18.620001000000002
2014-09-02,19.360001
2014-09-03,18.99
2014-09-04,19.0
2014-09-05,19.110001
2014-09-08,19.459999
2014-09-09,19.35
2014-09-10,19.25
2014-09-11,19.24
2014-09-12,18.98
2014-09-15,18.719998999999998
2014-09-16,18.65
2014-09-17,18.66
2014-09-18,18.5
2014-09-19,18.219998999999998
2014-09-22,17.99
2014-09-23,17.9
2014-09-24,18.049999
2014-09-25,17.74
2014-09-26,17.65
2014-09-29,17.73
2014-09-30,17.809998999999998
2014-10-01,17.530001000000002
2014-10-02,17.549999
2014-10-03,17.76
2014-10-06,18.389999
2014-10-07,18.0
2014-10-08,18.57
2014-10-09,18.25
2014-10-10,17.700001
2014-10-13,17.35
2014-10-14,17.469998999999998
2014-10-15,17.24
2014-10-16,17.290001
2014-10-17,17.49
2014-10-20,17.5
2014-10-21,18.059998999999998
2014-10-22,17.67
2014-10-23,18.0
2014-10-24,17.99
2014-10-27,17.98
2014-10-28,18.51
2014-10-29,18.440001000000002
2014-10-30,18.41
2014-10-31,18.5
2014-11-03,18.58
2014-11-04,17.290001
2014-11-05,16.85
2014-11-06,17.09
2014-11-07,17.209999
2014-11-10,17.370001000000002
2014-11-11,18.17
2014-11-12,18.530001000000002
2014-11-13,18.950001
2014-11-14,19.52
2014-11-17,19.860001
2014-11-18,18.459999
2014-11-19,18.629998999999998
2014-11-20,18.33
2014-11-21,18.299999
2014-11-24,18.35
2014-11-25,18.58
2014-11-26,18.75
2014-11-28,18.59
2014-12-01,18.27
2014-12-02,18.23
2014-12-03,18.33
2014-12-04,18.25
2014-12-05,18.49
2014-12-08,18.299999
2014-12-09,18.610001
2014-12-10,18.58
2014-12-11,18.360001
2014-12-12,17.65
2014-12-15,17.719998999999998
2014-12-16,17.76
2014-12-17,18.52
2014-12-18,19.73
2014-12-19,19.969998999999998
2014-12-22,19.969998999999998
2014-12-23,20.280001000000002
2014-12-24,20.09
2014-12-26,19.84
2014-12-29,19.92
2014-12-30,19.799999
2014-12-31,19.610001
2015-01-02,20.0
2015-01-05,19.25
2015-01-06,19.0
2015-01-07,19.34
2015-01-08,19.790001
2015-01-09,19.440001000000002
2015-01-12,19.440001000000002
2015-01-13,19.91
2015-01-14,19.73
2015-01-15,19.370001000000002
2015-01-16,19.280001000000002
2015-01-20,18.780001000000002
2015-01-21,18.610001
2015-01-22,18.790001
2015-01-23,18.549999
2015-01-26,18.74
2015-01-27,18.530001000000002
2015-01-28,18.030001000000002
2015-01-29,18.040001
2015-01-30,17.85
2015-02-02,18.629998999999998
2015-02-03,19.98
2015-02-04,20.969998999999998
2015-02-05,20.51
2015-02-06,20.83
2015-02-09,20.73
2015-02-10,21.1
2015-02-11,21.389999
2015-02-12,21.73
2015-02-13,22.110001
2015-02-17,22.43
2015-02-18,22.25
2015-02-19,22.49
2015-02-20,22.98
2015-02-23,22.719998999999998
2015-02-24,22.549999
2015-02-25,22.48
2015-02-26,22.5
2015-02-27,22.530001000000002
2015-03-02,21.98
2015-03-03,22.02
2015-03-04,21.93
2015-03-05,21.799999
2015-03-06,22.43
2015-03-09,22.25
2015-03-10,22.1
2015-03-11,22.360001
2015-03-12,22.15
2015-03-13,22.08
2015-03-16,22.9
2015-03-17,23.049999
2015-03-18,23.309998999999998
2015-03-19,23.34
2015-03-20,23.07
2015-03-23,22.870001000000002
2015-03-24,22.5
2015-03-25,22.549999
2015-03-26,22.27
2015-03-27,22.66
2015-03-30,22.77
2015-03-31,23.139999
2015-04-01,23.34
2015-04-02,23.120001000000002
2015-04-06,22.85
2015-04-07,22.68
2015-04-08,22.52
2015-04-09,22.379998999999998
2015-04-10,22.76
2015-04-13,22.559998999999998
2015-04-14,23.129998999999998
2015-04-15,23.200001
2015-04-16,23.07
2015-04-17,22.690001000000002
2015-04-20,22.5
2015-04-21,22.629998999999998
2015-04-22,22.68
2015-04-23,23.049999
2015-04-24,23.110001
2015-04-27,23.01
2015-04-28,24.0
2015-04-29,23.950001
2015-04-30,24.690001000000002
2015-05-01,24.83
2015-05-04,24.07
2015-05-05,24.27
2015-05-06,24.370001000000002
2015-05-07,24.32
2015-05-08,24.25
2015-05-11,24.379998999999998
2015-05-12,24.51
2015-05-13,24.59
2015-05-14,24.379998999999998
2015-05-15,24.809998999999998
2015-05-18,25.040001
2015-05-19,25.25
2015-05-20,25.4
2015-05-21,25.18
2015-05-22,25.049999
2015-05-26,24.549999
2015-05-27,24.93
2015-05-28,24.690001000000002
2015-05-29,24.5
2015-06-01,24.540001
2015-06-02,24.530001000000002
2015-06-03,24.82
2015-06-04,24.559998999999998
2015-06-05,24.530001000000002
2015-06-08,24.58
2015-06-09,24.440001000000002
2015-06-10,24.629998999999998
2015-06-11,25.15
2015-06-12,25.459999
2015-06-15,25.629998999999998
2015-06-16,25.98
2015-06-17,25.889999
2015-06-18,26.25
2015-06-19,26.450001
2015-06-22,26.459999
2015-06-23,26.52
2015-06-24,26.34
2015-06-25,25.799999
2015-06-26,26.110001
2015-06-29,25.549999
2015-06-30,25.57
2015-07-01,26.48
2015-07-02,26.200001
2015-07-06,24.01
2015-07-07,24.049999
2015-07-08,23.57
2015-07-09,23.790001
2015-07-10,23.98
2015-07-13,24.0
2015-07-14,23.98
2015-07-15,24.84
2015-07-16,24.76
2015-07-17,24.85
2015-07-20,24.93
2015-07-21,24.870001000000002
2015-07-22,25.07
2015-07-23,24.83
2015-07-24,24.530001000000002
2015-07-27,24.290001
2015-07-28,24.959999
2015-07-29,25.110001
2015-07-30,24.549999
2015-07-31,24.18
2015-08-03,24.139999
2015-08-04,23.73
2015-08-05,23.549999
2015-08-06,22.92
2015-08-07,22.790001
2015-08-10,23.5
2015-08-11,22.809998999999998
2015-08-12,23.35
2015-08-13,23.120001000000002
2015-08-14,23.25
2015-08-17,23.59
2015-08-18,22.969998999999998
2015-08-19,22.84
2015-08-20,22.370001000000002
2015-08-21,21.969998999999998
2015-08-24,21.389999
2015-08-25,21.309998999999998
2015-08-26,22.0
2015-08-27,22.4
2015-08-28,22.66
2015-08-31,22.459999
2015-09-01,21.52
2015-09-02,21.610001
2015-09-03,21.620001000000002
2015-09-04,21.1
2015-09-08,21.35
2015-09-09,21.559998999999998
2015-09-10,21.879998999999998
2015-09-11,21.92
2015-09-14,21.77
2015-09-15,21.870001000000002
2015-09-16,22.25
2015-09-17,22.389999
2015-09-18,21.799999
2015-09-21,22.1
2015-09-22,21.74
2015-09-23,21.780001000000002
2015-09-24,21.530001000000002
2015-09-25,21.33
2015-09-28,20.219998999999998
2015-09-29,20.219998999999998
2015-09-30,20.42
2015-10-01,20.809998999999998
2015-10-02,21.02
2015-10-05,20.92
2015-10-06,20.450001
2015-10-07,20.76
2015-10-08,21.120001000000002
2015-10-09,21.02
2015-10-12,20.93
2015-10-13,20.860001
2015-10-14,20.6
2015-10-15,21.1
2015-10-16,21.1
2015-10-19,21.120001000000002
2015-10-20,20.92
2015-10-21,20.809998999999998
2015-10-22,20.93
2015-10-23,21.42
2015-10-26,22.02
2015-10-27,22.1
2015-10-28,22.35
2015-10-29,18.860001
2015-10-30,18.01
2015-11-02,17.5
2015-11-03,17.549999
2015-11-04,17.790001
2015-11-05,17.76
2015-11-06,18.459999
2015-11-09,17.950001
2015-11-10,17.75
2015-11-11,17.41
2015-11-12,17.42
2015-11-13,17.33
2015-11-16,17.559998999999998
2015-11-17,17.91
2015-11-18,18.01
2015-11-19,18.18
2015-11-20,17.559998999999998
2015-11-23,17.76
2015-11-24,17.690001000000002
2015-11-25,17.91
2015-11-27,17.620001000000002
2015-11-30,17.639999
2015-12-01,17.790001
2015-12-02,17.0
2015-12-03,17.01
2015-12-04,17.200001
2015-12-07,16.74
2015-12-08,16.84
2015-12-09,16.66
2015-12-10,16.66
2015-12-11,16.200001
2015-12-14,15.15
2015-12-15,15.75
2015-12-16,15.58
2015-12-17,15.44
2015-12-18,15.21
