Date,BAP
1996-09-05,14.30936
1996-09-06,14.218217000000001
1996-09-09,14.218217000000001
1996-09-10,14.30936
1996-09-11,14.30936
1996-09-12,14.400501
1996-09-13,14.582787
1996-09-16,14.673929000000001
1996-09-17,14.400501
1996-09-18,14.400501
1996-09-19,14.218217000000001
1996-09-20,14.30936
1996-09-23,14.127073999999999
1996-09-24,14.035932
1996-09-25,14.035932
1996-09-26,13.94479
1996-09-27,13.762504999999999
1996-09-30,13.853647
1996-10-01,14.035932
1996-10-02,14.035932
1996-10-03,14.127073999999999
1996-10-04,14.127073999999999
1996-10-07,14.218217000000001
1996-10-08,14.218217000000001
1996-10-09,14.218217000000001
1996-10-10,13.94479
1996-10-11,13.489078
1996-10-14,13.489078
1996-10-15,13.58022
1996-10-16,13.58022
1996-10-17,13.58022
1996-10-18,13.671362
1996-10-21,13.762504999999999
1996-10-22,13.762504999999999
1996-10-23,13.671362
1996-10-24,13.671362
1996-10-25,13.762504999999999
1996-10-28,13.762504999999999
1996-10-29,13.306792000000002
1996-10-30,13.215651000000001
1996-10-31,12.759938
1996-11-01,12.668796
1996-11-04,12.304226
1996-11-05,12.486511
1996-11-06,12.759938
1996-11-07,12.942223
1996-11-08,12.942223
1996-11-11,13.124507999999999
1996-11-12,13.215651000000001
1996-11-13,13.306792000000002
1996-11-14,13.306792000000002
1996-11-15,13.215651000000001
1996-11-18,13.215651000000001
1996-11-19,13.215651000000001
1996-11-20,13.033365
1996-11-21,12.851081
1996-11-22,12.759938
1996-11-25,12.668796
1996-11-26,12.395369
1996-11-27,12.486511
1996-11-29,12.577653
1996-12-02,13.215651000000001
1996-12-03,13.124507999999999
1996-12-04,13.489078
1996-12-05,13.762504999999999
1996-12-06,13.489078
1996-12-09,13.489078
1996-12-10,13.671362
1996-12-11,13.306792000000002
1996-12-12,13.124507999999999
1996-12-13,13.124507999999999
1996-12-16,13.397935
1996-12-17,13.671362
1996-12-18,13.124507999999999
1996-12-19,13.033365
1996-12-20,13.033365
1996-12-23,13.124507999999999
1996-12-24,13.215651000000001
1996-12-26,13.124507999999999
1996-12-27,13.033365
1996-12-30,13.033365
1996-12-31,13.489078
1997-01-02,13.306792000000002
1997-01-03,13.671362
1997-01-06,14.127073999999999
1997-01-07,14.218217000000001
1997-01-08,14.400501
1997-01-09,14.30936
1997-01-10,14.400501
1997-01-13,14.30936
1997-01-14,14.765070999999999
1997-01-15,14.765070999999999
1997-01-16,14.400501
1997-01-17,14.856214000000001
1997-01-20,14.856214000000001
1997-01-21,14.765070999999999
1997-01-22,14.765070999999999
1997-01-23,14.765070999999999
1997-01-24,14.856214000000001
1997-01-27,14.856214000000001
1997-01-28,14.856214000000001
1997-01-29,15.038499
1997-01-30,15.129641000000001
1997-01-31,15.311926000000001
1997-02-03,15.311926000000001
1997-02-04,15.767638
1997-02-05,15.767638
1997-02-06,15.585353
1997-02-07,15.038499
1997-02-10,15.129641000000001
1997-02-11,15.311926000000001
1997-02-12,15.311926000000001
1997-02-13,15.585353
1997-02-14,15.85878
1997-02-18,15.85878
1997-02-19,15.949923000000002
1997-02-20,15.949923000000002
1997-02-21,16.041065
1997-02-24,16.223351
1997-02-25,17.134773000000003
1997-02-26,16.587919
1997-02-27,16.679062
1997-02-28,16.770204999999997
1997-03-03,16.95249
1997-03-04,16.861347
1997-03-05,16.587919
1997-03-06,16.314493
1997-03-07,16.679062
1997-03-10,16.95249
1997-03-11,17.134773000000003
1997-03-12,17.134773000000003
1997-03-13,16.770204999999997
1997-03-14,16.770204999999997
1997-03-17,16.770204999999997
1997-03-18,16.770204999999997
1997-03-19,17.043633
1997-03-20,17.134773000000003
1997-03-21,16.861347
1997-03-24,17.043633
1997-03-25,17.408201000000002
1997-03-26,17.134773000000003
1997-03-27,17.134773000000003
1997-03-31,17.043633
1997-04-01,17.043633
1997-04-02,17.134773000000003
1997-04-03,17.134773000000003
1997-04-04,17.225916
1997-04-07,18.137341
1997-04-08,18.501911
1997-04-09,18.046198
1997-04-10,17.681629
1997-04-11,17.590487
1997-04-14,17.590487
1997-04-15,17.681629
1997-04-16,17.590487
1997-04-17,17.590487
1997-04-18,17.681629
1997-04-21,17.681629
1997-04-22,17.681629
1997-04-23,18.046198
1997-04-24,17.955054999999998
1997-04-25,18.137341
1997-04-28,18.593052
1997-04-29,18.921165
1997-04-30,18.374311
1997-05-01,18.593052
1997-05-02,18.483683
1997-05-05,18.483683
1997-05-06,18.26494
1997-05-07,18.26494
1997-05-08,18.046198
1997-05-09,17.718086
1997-05-12,18.26494
1997-05-13,18.702423
1997-05-14,18.593052
1997-05-15,18.374311
1997-05-16,18.483683
1997-05-19,18.593052
1997-05-20,19.139908
1997-05-21,19.139908
1997-05-22,19.468019
1997-05-23,20.78047
1997-05-27,20.233616
1997-05-28,20.124245000000002
1997-05-29,19.796132999999998
1997-05-30,19.796132999999998
1997-06-02,21.108583
1997-06-03,20.233616
1997-06-04,19.358648000000002
1997-06-05,19.139908
1997-06-06,19.139908
1997-06-09,19.796132999999998
1997-06-10,19.796132999999998
