Date,LSXMA
2016-04-18,31.200001
2016-04-19,32.529999
2016-04-20,32.580002
2016-04-21,32.790001000000004
2016-04-22,32.68
2016-04-25,33.049999
2016-04-26,33.299999
2016-04-27,33.369999
2016-04-28,32.720001
2016-04-29,32.77
2016-05-02,32.959998999999996
2016-05-03,32.869999
2016-05-04,32.25
2016-05-05,32.299999
2016-05-06,32.700001
2016-05-09,32.41
2016-05-10,32.689999
2016-05-11,32.27
2016-05-12,32.18
2016-05-13,31.74
2016-05-16,31.950001
2016-05-17,31.309998999999998
2016-05-18,31.5
2016-05-19,31.209999
2016-05-20,31.51
2016-05-23,31.27
2016-05-24,31.84
2016-05-25,31.9
2016-05-26,31.719998999999998
2016-05-27,31.99
2016-05-31,31.889999
2016-06-01,32.419998
2016-06-02,32.18
2016-06-03,32.150002
2016-06-06,31.799999
2016-06-07,31.690001000000002
2016-06-08,31.91
2016-06-09,32.310001
2016-06-10,31.879998999999998
2016-06-13,31.129998999999998
2016-06-14,31.0
2016-06-15,31.08
2016-06-16,31.26
2016-06-17,30.85
2016-06-20,30.870001000000002
2016-06-21,30.24
2016-06-22,30.25
2016-06-23,31.43
2016-06-24,30.559998999999998
2016-06-27,29.49
2016-06-28,30.120001000000002
2016-06-29,30.719998999999998
2016-06-30,31.360001
2016-07-01,31.620001000000002
2016-07-05,31.66
2016-07-06,31.74
2016-07-07,31.91
2016-07-08,32.439999
2016-07-11,32.66
2016-07-12,32.400002
2016-07-13,32.66
2016-07-14,33.16
2016-07-15,33.200001
2016-07-18,33.400002
2016-07-19,33.77
2016-07-20,33.990002000000004
2016-07-21,34.18
2016-07-22,34.720001
2016-07-25,33.950001
2016-07-26,35.299999
2016-07-27,35.77
2016-07-28,35.23
2016-07-29,35.75
2016-08-01,35.220001
2016-08-02,34.549999
2016-08-03,34.299999
2016-08-04,34.150002
2016-08-05,34.27
2016-08-08,33.639998999999996
2016-08-09,33.48
2016-08-10,33.689999
2016-08-11,34.09
2016-08-12,33.91
2016-08-15,33.830002
2016-08-16,33.939999
2016-08-17,33.799999
2016-08-18,33.16
2016-08-19,33.02
2016-08-22,32.91
2016-08-23,33.049999
2016-08-24,32.59
2016-08-25,33.080002
2016-08-26,33.310001
2016-08-29,33.459998999999996
2016-08-30,33.52
2016-08-31,33.509997999999996
2016-09-01,33.540001000000004
2016-09-02,33.82
2016-09-06,33.799999
2016-09-07,34.25
2016-09-08,34.25
2016-09-09,33.610001000000004
2016-09-12,34.0
2016-09-13,33.509997999999996
2016-09-14,33.59
2016-09-15,33.77
2016-09-16,33.195
2016-09-19,33.41
2016-09-20,33.41
2016-09-21,33.77
2016-09-22,33.950001
2016-09-23,34.0
2016-09-26,33.599998
