Date,ATW
2012-06-18,340.0
2012-06-19,347.0
2012-06-20,353.0
2012-06-21,345.0
2012-06-22,344.899994
2012-06-25,342.0
2012-06-26,331.0
2012-06-27,340.0
2012-06-28,335.100006
2012-06-29,335.100006
2012-07-02,340.0
2012-07-03,342.0
2012-07-05,345.0
2012-07-06,340.0
2012-07-09,332.0
2012-07-10,332.049988
2012-07-11,335.0
2012-07-12,332.0
2012-07-13,328.0
2012-07-16,336.950012
2012-07-17,345.0
2012-07-18,345.0
2012-07-19,345.0
2012-07-20,344.899994
2012-07-23,345.899994
2012-07-24,341.0
2012-07-25,344.0
2012-07-26,344.950012
2012-07-27,342.0
2012-07-30,342.0
2012-07-31,346.0
2012-08-01,346.5
2012-08-02,346.0
2012-08-03,345.0
2012-08-06,339.0
2012-08-07,340.149994
2012-08-08,341.0
2012-08-09,345.0
2012-08-10,344.799988
2012-08-13,345.0
2012-08-14,345.0
2012-08-15,337.200012
2012-08-16,338.100006
2012-08-17,336.5
2012-08-20,336.5
2012-08-21,336.5
2012-08-22,339.850006
2012-08-23,340.0
2012-08-24,333.049988
2012-08-27,338.799988
2012-08-28,339.899994
2012-08-29,339.75
2012-08-30,340.0
2012-08-31,343.0
2012-09-04,339.5
2012-09-05,337.700012
2012-09-06,337.0
2012-09-07,335.0
2012-09-10,335.0
2012-09-11,335.100006
2012-09-12,335.100006
2012-09-13,335.0
2012-09-14,334.0
2012-09-17,334.950012
2012-09-18,334.0
2012-09-19,330.0
2012-09-20,325.0
2012-09-21,325.0
2012-09-24,325.149994
2012-09-25,322.0
2012-09-26,329.0
2012-09-27,325.0
2012-09-28,323.5
2012-10-01,325.0
2012-10-02,324.0
2012-10-03,323.0
2012-10-04,324.899994
2012-10-05,329.0
2012-10-08,327.0
2012-10-09,323.100006
2012-10-10,327.0
2012-10-11,323.0
2012-10-12,320.0
2012-10-15,317.0
2012-10-16,312.5
2012-10-17,310.0
2012-10-18,310.0
2012-10-19,310.0
2012-10-22,323.0
2012-10-23,315.100006
2012-10-24,317.0
2012-10-25,323.0
2012-10-26,323.0
2012-10-31,323.5
2012-11-01,320.0
2012-11-02,323.5
2012-11-05,325.0
2012-11-06,325.0
2012-11-07,332.0
2012-11-08,332.0
2012-11-09,322.700012
