Date,MNRO
1991-07-30,4.223205999999999
1991-07-31,4.09523
1991-08-01,4.09523
1991-08-02,4.159218
1991-08-05,4.09523
1991-08-06,4.159218
1991-08-07,4.159218
1991-08-08,4.09523
1991-08-09,4.09523
1991-08-12,4.09523
1991-08-13,4.127224
1991-08-14,4.287194
1991-08-15,4.287194
1991-08-16,4.2552
1991-08-19,4.031242
1991-08-20,4.063236
1991-08-21,4.223205999999999
1991-08-22,4.287194
1991-08-23,4.351182
1991-08-26,4.351182
1991-08-27,4.351182
1991-08-28,4.479158
1991-08-29,4.287194
1991-08-30,4.479158
1991-09-03,4.287194
1991-09-04,4.319188
1991-09-05,4.2552
1991-09-06,4.319188
1991-09-09,4.319188
1991-09-10,4.223205999999999
1991-09-11,4.159218
1991-09-12,4.351182
1991-09-13,4.159218
1991-09-16,4.09523
1991-09-17,3.967254
1991-09-18,3.967254
1991-09-19,4.09523
1991-09-20,3.967254
1991-09-23,4.063236
1991-09-24,3.583326
1991-09-25,3.583326
1991-09-26,3.583326
1991-09-27,3.45535
1991-09-30,3.45535
1991-10-01,3.583326
1991-10-02,3.45535
1991-10-03,3.583326
1991-10-04,3.3913620000000004
1991-10-07,3.071423
1991-10-08,2.943447
1991-10-09,3.0074349999999996
1991-10-10,3.135411
1991-10-11,3.135411
1991-10-14,3.071423
1991-10-15,3.135411
1991-10-16,3.071423
1991-10-17,3.167404
1991-10-18,3.135411
1991-10-21,3.263386
1991-10-22,3.167404
1991-10-23,3.135411
1991-10-24,3.327374
1991-10-25,3.327374
1991-10-28,3.199399
1991-10-29,3.45535
1991-10-30,3.199399
1991-10-31,3.45535
1991-11-01,3.29538
1991-11-04,3.45535
1991-11-05,3.3913620000000004
1991-11-06,3.3913620000000004
1991-11-07,3.45535
1991-11-08,3.3913620000000004
1991-11-11,3.3913620000000004
1991-11-12,3.6473139999999997
1991-11-13,3.263386
1991-11-14,3.199399
1991-11-15,3.0074349999999996
1991-11-18,3.135411
1991-11-19,2.943447
1991-11-20,3.135411
1991-11-21,3.135411
1991-11-22,3.135411
1991-11-25,3.135411
1991-11-26,3.071423
1991-11-27,3.071423
1991-11-29,3.199399
