Date,TGI
1996-10-25,10.875
1996-10-28,10.5625
1996-10-29,11.0
1996-10-30,10.9375
1996-10-31,11.25
1996-11-01,11.25
1996-11-04,11.0625
1996-11-05,11.125
1996-11-06,11.25
1996-11-07,11.125
1996-11-08,11.0
1996-11-11,11.0625
1996-11-12,11.25
1996-11-13,11.4375
1996-11-14,11.875
1996-11-15,12.0625
1996-11-18,12.0625
1996-11-19,12.0
1996-11-20,12.0
1996-11-21,12.75
1996-11-22,13.375
1996-11-25,13.375
1996-11-26,13.375
1996-11-27,13.1875
1996-11-29,13.125
1996-12-02,12.9375
1996-12-03,12.9375
1996-12-04,12.8125
1996-12-05,12.6875
1996-12-06,12.375
1996-12-09,12.375
1996-12-10,12.5
1996-12-11,12.5
1996-12-12,12.625
1996-12-13,12.5625
1996-12-16,12.75
1996-12-17,12.4375
1996-12-18,12.25
1996-12-19,12.0
1996-12-20,12.0
1996-12-23,12.0
1996-12-24,11.875
1996-12-26,11.8125
1996-12-27,11.9375
1996-12-30,11.9375
1996-12-31,11.9375
1997-01-02,12.5625
1997-01-03,12.625
1997-01-06,12.9375
1997-01-07,13.0
1997-01-08,13.8125
1997-01-09,13.625
1997-01-10,13.75
1997-01-13,14.0
1997-01-14,13.8125
1997-01-15,13.5625
1997-01-16,13.5625
1997-01-17,13.5625
1997-01-20,13.4375
1997-01-21,13.625
1997-01-22,13.5625
1997-01-23,13.5625
1997-01-24,13.5
1997-01-27,13.625
1997-01-28,14.375
1997-01-29,15.5
1997-01-30,15.5625
1997-01-31,15.0
1997-02-03,15.0
1997-02-04,14.6875
1997-02-05,14.5
1997-02-06,14.5
1997-02-07,14.25
1997-02-10,13.6875
1997-02-11,13.5625
1997-02-12,13.8125
1997-02-13,13.9375
1997-02-14,13.9375
1997-02-18,14.125
1997-02-19,14.1875
1997-02-20,14.25
1997-02-21,13.6875
1997-02-24,13.6875
1997-02-25,13.75
1997-02-26,13.625
1997-02-27,13.3125
1997-02-28,13.4375
1997-03-03,13.5
1997-03-04,13.5625
1997-03-05,13.5
1997-03-06,13.625
1997-03-07,13.5
1997-03-10,13.5
1997-03-11,13.375
