Date,NVTRQ
2016-03-11,10.0
2016-03-14,7.38
2016-03-15,7.43
2016-03-16,6.61
2016-03-17,5.97
2016-03-18,4.3
2016-03-21,4.89
2016-03-22,4.95
2016-03-23,4.8
2016-03-24,4.64
2016-03-28,4.56
2016-03-29,4.41
2016-03-30,4.58
2016-03-31,5.41
2016-04-01,6.21
2016-04-04,6.96
2016-04-05,6.69
2016-04-06,6.22
2016-04-07,6.15
2016-04-08,6.87
2016-04-11,6.86
2016-04-12,7.08
2016-04-13,8.01
2016-04-14,8.74
2016-04-15,8.7
2016-04-18,8.95
2016-04-19,8.84
2016-04-20,9.42
2016-04-21,8.91
2016-04-22,9.43
2016-04-25,9.39
2016-04-26,8.51
2016-04-27,8.25
2016-04-28,8.72
2016-04-29,8.405
2016-05-02,7.98
2016-05-03,8.06
2016-05-04,8.09
2016-05-05,7.76
2016-05-06,6.52
2016-05-09,6.74
2016-05-10,7.6
2016-05-11,8.08
2016-05-12,7.1
2016-05-13,7.21
2016-05-16,7.55
2016-05-17,7.32
2016-05-18,7.4
2016-05-19,7.78
2016-05-20,7.79
2016-05-23,7.73
2016-05-24,8.0
2016-05-25,8.15
2016-05-26,8.5
2016-05-27,9.1
2016-05-31,9.0
2016-06-01,9.5
2016-06-02,9.23
2016-06-03,9.38
2016-06-06,9.75
2016-06-07,9.48
2016-06-08,9.21
2016-06-09,8.78
2016-06-10,8.3
2016-06-13,8.26
2016-06-14,8.14
2016-06-15,7.98
2016-06-16,7.65
2016-06-17,7.35
2016-06-20,7.29
2016-06-21,7.24
2016-06-22,7.22
2016-06-23,7.37
2016-06-24,7.37
2016-06-27,7.01
2016-06-28,7.37
2016-06-29,7.64
2016-06-30,7.4
2016-07-01,7.5
2016-07-05,7.01
2016-07-06,7.27
2016-07-07,7.24
2016-07-08,7.3
2016-07-11,7.34
2016-07-12,7.31
2016-07-13,7.25
2016-07-14,7.1
2016-07-15,7.0
2016-07-18,7.02
2016-07-19,6.96
2016-07-20,6.74
2016-07-21,6.62
