Date,CL
1973-05-02,2.0
1973-05-03,2.005208
1973-05-04,2.0
1973-05-07,1.989583
1973-05-08,1.986979
1973-05-09,1.979167
1973-05-10,1.979167
1973-05-11,1.979167
1973-05-14,1.950521
1973-05-15,1.958333
1973-05-16,1.958333
1973-05-17,1.942708
1973-05-18,1.908854
1973-05-21,1.875
1973-05-22,1.893229
1973-05-23,1.875
1973-05-24,1.825521
1973-05-25,1.838542
1973-05-29,1.841146
1973-05-30,1.820313
1973-05-31,1.789063
1973-06-01,1.742188
1973-06-04,1.664063
1973-06-05,1.6171879999999998
1973-06-06,1.5390629999999998
1973-06-07,1.6015629999999998
1973-06-08,1.71875
1973-06-11,1.726563
1973-06-12,1.796875
1973-06-13,1.765625
1973-06-14,1.734375
1973-06-15,1.6328129999999998
1973-06-18,1.640625
1973-06-19,1.734375
1973-06-20,1.789063
1973-06-21,1.757813
1973-06-22,1.757813
1973-06-25,1.664063
1973-06-26,1.6875
1973-06-27,1.703125
1973-06-28,1.726563
1973-06-29,1.75
1973-07-02,1.703125
1973-07-03,1.65625
1973-07-05,1.6875
1973-07-06,1.6875
1973-07-09,1.726563
1973-07-10,1.734375
1973-07-11,1.851563
1973-07-12,1.960938
1973-07-13,1.90625
1973-07-16,1.984375
1973-07-17,2.007813
1973-07-18,2.023438
1973-07-19,2.0
1973-07-20,2.046875
1973-07-23,2.078125
1973-07-24,2.078125
1973-07-25,2.132813
1973-07-26,2.132813
1973-07-27,2.148438
1973-07-30,2.164063
1973-07-31,2.171875
1973-08-01,2.125
1973-08-02,2.117188
1973-08-03,2.023438
1973-08-06,2.03125
1973-08-07,2.039063
1973-08-08,2.015625
1973-08-09,2.046875
1973-08-10,2.023438
1973-08-13,1.984375
1973-08-14,1.976563
1973-08-15,1.992188
1973-08-16,2.0
1973-08-17,1.984375
1973-08-20,1.898438
1973-08-21,1.890625
1973-08-22,1.921875
1973-08-23,1.90625
1973-08-24,1.867188
1973-08-27,1.9375
1973-08-28,2.0
1973-08-29,2.070313
1973-08-30,2.046875
1973-08-31,2.054688
1973-09-04,2.070313
1973-09-05,2.007813
1973-09-06,1.953125
1973-09-07,2.023438
1973-09-10,1.992188
1973-09-11,1.984375
1973-09-12,2.015625
1973-09-13,2.03125
1973-09-14,2.070313
1973-09-17,2.09375
1973-09-18,2.0625
1973-09-19,2.03125
1973-09-20,2.039063
1973-09-21,2.054688
1973-09-24,2.101563
1973-09-25,2.117188
1973-09-26,2.109375
1973-09-27,2.101563
1973-09-28,2.03125
1973-10-01,1.976563
1973-10-02,1.992188
1973-10-03,2.0
1973-10-04,1.984375
1973-10-05,2.054688
1973-10-08,2.09375
1973-10-09,2.101563
1973-10-10,2.039063
1973-10-11,2.15625
1973-10-12,2.171875
1973-10-15,2.148438
1973-10-16,2.148438
1973-10-17,2.09375
1973-10-18,2.078125
1973-10-19,2.15625
1973-10-22,2.09375
1973-10-23,2.101563
1973-10-24,2.125
1973-10-25,2.09375
1973-10-26,2.070313
1973-10-29,2.007813
1973-10-30,1.945313
1973-10-31,1.914063
1973-11-01,1.9375
1973-11-02,1.898438
1973-11-05,1.914063
1973-11-06,1.921875
1973-11-07,1.976563
1973-11-08,2.023438
1973-11-09,1.9375
1973-11-12,1.921875
1973-11-13,1.914063
1973-11-14,1.890625
1973-11-15,1.929688
1973-11-16,2.03125
1973-11-19,1.921875
1973-11-20,1.914063
1973-11-21,1.9375
1973-11-23,1.914063
1973-11-26,1.773438
1973-11-27,1.804688
1973-11-28,1.828125
1973-11-29,1.75
1973-11-30,1.695313
1973-12-03,1.65625
1973-12-04,1.671875
1973-12-05,1.671875
1973-12-06,1.8125
1973-12-07,1.796875
1973-12-10,1.804688
1973-12-11,1.765625
1973-12-12,1.625
1973-12-13,1.6015629999999998
1973-12-14,1.6171879999999998
1973-12-17,1.6171879999999998
1973-12-18,1.703125
1973-12-19,1.65625
1973-12-20,1.609375
1973-12-21,1.546875
1973-12-24,1.375
1973-12-26,1.5078129999999998
1973-12-27,1.5625
1973-12-28,1.5546879999999998
1973-12-31,1.5546879999999998
1974-01-02,1.5546879999999998
1974-01-03,1.6171879999999998
1974-01-04,1.5390629999999998
1974-01-07,1.515625
1974-01-08,1.4296879999999998
1974-01-09,1.390625
1974-01-10,1.421875
1974-01-11,1.375
1974-01-14,1.3125
1974-01-15,1.328125
1974-01-16,1.3671879999999998
1974-01-17,1.46875
1974-01-18,1.421875
1974-01-21,1.46875
1974-01-22,1.4609379999999998
1974-01-23,1.484375
1974-01-24,1.546875
1974-01-25,1.5625
1974-01-28,1.546875
1974-01-29,1.5
1974-01-30,1.546875
1974-01-31,1.578125
1974-02-01,1.5546879999999998
1974-02-04,1.5
1974-02-05,1.5
1974-02-06,1.5546879999999998
1974-02-07,1.578125
1974-02-08,1.515625
1974-02-11,1.5
1974-02-12,1.5
1974-02-13,1.5
1974-02-14,1.5078129999999998
1974-02-15,1.5078129999999998
1974-02-19,1.5078129999999998
1974-02-20,1.5234379999999998
1974-02-21,1.4921879999999998
1974-02-22,1.5
1974-02-25,1.4921879999999998
1974-02-26,1.5
1974-02-27,1.5078129999999998
1974-02-28,1.5234379999999998
1974-03-01,1.546875
1974-03-04,1.6171879999999998
1974-03-05,1.648438
1974-03-06,1.648438
1974-03-07,1.6015629999999998
1974-03-08,1.625
1974-03-11,1.664063
1974-03-12,1.78125
1974-03-13,1.820313
1974-03-14,1.757813
1974-03-15,1.726563
1974-03-18,1.726563
1974-03-19,1.679688
1974-03-20,1.695313
1974-03-21,1.679688
1974-03-22,1.65625
1974-03-25,1.695313
1974-03-26,1.726563
1974-03-27,1.726563
1974-03-28,1.640625
1974-03-29,1.5625
1974-04-01,1.5703129999999998
1974-04-02,1.59375
1974-04-03,1.625
1974-04-04,1.625
1974-04-05,1.6015629999999998
1974-04-08,1.59375
1974-04-09,1.671875
1974-04-10,1.664063
1974-04-11,1.640625
1974-04-15,1.671875
1974-04-16,1.71875
1974-04-17,1.734375
1974-04-18,1.710938
1974-04-19,1.6875
1974-04-22,1.648438
1974-04-23,1.578125
1974-04-24,1.5703129999999998
1974-04-25,1.59375
1974-04-26,1.6328129999999998
1974-04-29,1.6171879999999998
1974-04-30,1.6171879999999998
1974-05-01,1.671875
1974-05-02,1.648438
1974-05-03,1.640625
1974-05-06,1.6171879999999998
1974-05-07,1.625
1974-05-08,1.625
1974-05-09,1.671875
1974-05-10,1.679688
1974-05-13,1.648438
1974-05-14,1.6328129999999998
1974-05-15,1.65625
1974-05-16,1.664063
1974-05-17,1.609375
1974-05-20,1.640625
1974-05-21,1.65625
1974-05-22,1.59375
1974-05-23,1.609375
1974-05-24,1.65625
1974-05-28,1.65625
1974-05-29,1.625
1974-05-30,1.65625
1974-05-31,1.6328129999999998
1974-06-03,1.679688
1974-06-04,1.6875
1974-06-05,1.742188
1974-06-06,1.851563
1974-06-07,1.84375
1974-06-10,1.828125
1974-06-11,1.828125
1974-06-12,1.820313
1974-06-13,1.859375
1974-06-14,1.835938
1974-06-17,1.796875
1974-06-18,1.851563
1974-06-19,1.820313
1974-06-20,1.875
1974-06-21,1.851563
1974-06-24,1.789063
1974-06-25,1.8125
1974-06-26,1.789063
1974-06-27,1.742188
1974-06-28,1.710938
1974-07-01,1.71875
1974-07-02,1.671875
1974-07-03,1.664063
1974-07-05,1.726563
1974-07-08,1.664063
1974-07-09,1.578125
1974-07-10,1.5703129999999998
1974-07-11,1.53125
1974-07-12,1.59375
1974-07-15,1.6328129999999998
1974-07-16,1.5859379999999998
1974-07-17,1.578125
1974-07-18,1.609375
1974-07-19,1.6171879999999998
1974-07-22,1.625
1974-07-23,1.640625
1974-07-24,1.6328129999999998
1974-07-25,1.6328129999999998
1974-07-26,1.640625
1974-07-29,1.5546879999999998
1974-07-30,1.4765629999999998
1974-07-31,1.4765629999999998
1974-08-01,1.5
1974-08-02,1.4921879999999998
1974-08-05,1.4453129999999998
1974-08-06,1.4765629999999998
1974-08-07,1.4921879999999998
1974-08-08,1.484375
1974-08-09,1.5
1974-08-12,1.5
1974-08-13,1.4375
1974-08-14,1.3359379999999998
1974-08-15,1.3671879999999998
1974-08-16,1.3203129999999998
1974-08-19,1.3359379999999998
1974-08-20,1.3828129999999998
1974-08-21,1.359375
1974-08-22,1.34375
1974-08-23,1.2890629999999998
1974-08-26,1.3046879999999998
1974-08-27,1.2890629999999998
1974-08-28,1.234375
1974-08-29,1.234375
1974-08-30,1.3203129999999998
1974-09-03,1.2734379999999998
1974-09-04,1.234375
1974-09-05,1.3359379999999998
1974-09-06,1.3125
1974-09-09,1.234375
1974-09-10,1.2265629999999998
1974-09-11,1.1953129999999998
1974-09-12,1.15625
1974-09-13,1.078125
1974-09-16,1.03125
1974-09-17,1.1015629999999998
1974-09-18,1.09375
1974-09-19,1.2421879999999998
1974-09-20,1.1953129999999998
1974-09-23,1.2109379999999998
1974-09-24,1.203125
1974-09-25,1.1640629999999998
1974-09-26,1.1328129999999998
1974-09-27,1.1171879999999998
1974-09-30,1.046875
1974-10-01,1.0625
1974-10-02,1.125
1974-10-03,1.0625
1974-10-04,1.0859379999999998
1974-10-07,1.140625
1974-10-08,1.125
1974-10-09,1.21875
1974-10-10,1.3125
1974-10-11,1.46875
1974-10-14,1.5
1974-10-15,1.46875
1974-10-16,1.390625
1974-10-17,1.515625
1974-10-18,1.5
1974-10-21,1.4609379999999998
1974-10-22,1.515625
1974-10-23,1.40625
1974-10-24,1.40625
1974-10-25,1.3828129999999998
1974-10-28,1.3984379999999998
1974-10-29,1.5078129999999998
1974-10-30,1.5546879999999998
1974-10-31,1.5625
1974-11-01,1.546875
1974-11-04,1.5390629999999998
1974-11-05,1.59375
1974-11-06,1.5703129999999998
1974-11-07,1.578125
1974-11-08,1.515625
1974-11-11,1.5234379999999998
1974-11-12,1.5078129999999998
1974-11-13,1.5078129999999998
1974-11-14,1.46875
1974-11-15,1.4453129999999998
1974-11-18,1.3984379999999998
1974-11-19,1.3515629999999998
1974-11-20,1.3984379999999998
1974-11-21,1.46875
1974-11-22,1.4453129999999998
1974-11-25,1.4765629999999998
1974-11-26,1.5390629999999998
