Date,PRTK
2009-02-03,50.400002
2009-02-04,49.200001
2009-02-05,45.599998
2009-02-06,46.200001
2009-02-09,47.52
2009-02-10,46.799999
2009-02-11,47.759997999999996
2009-02-12,49.68
2009-02-13,46.799999
2009-02-17,42.240002000000004
2009-02-18,43.799999
2009-02-19,43.799999
2009-02-20,42.0
2009-02-23,42.48
2009-02-24,43.080002
2009-02-25,38.639998999999996
2009-02-26,40.32
2009-02-27,39.959998999999996
2009-03-02,39.119999
2009-03-03,37.080002
2009-03-04,36.119999
2009-03-05,37.200001
2009-03-06,36.0
2009-03-09,36.0
2009-03-10,36.48
2009-03-11,36.0
2009-03-12,37.200001
2009-03-13,35.16
2009-03-16,36.0
2009-03-17,35.639998999999996
2009-03-18,36.0
2009-03-19,36.0
2009-03-20,37.799999
2009-03-23,37.560001
2009-03-24,36.0
2009-03-25,35.639998999999996
2009-03-26,36.959998999999996
2009-03-27,35.759997999999996
2009-03-30,36.119999
2009-03-31,36.0
2009-04-01,36.0
2009-04-02,35.400002
2009-04-03,35.52
2009-04-06,35.400002
2009-04-07,35.400002
2009-04-08,35.16
2009-04-09,34.200001
2009-04-13,34.439999
2009-04-14,34.919998
2009-04-15,34.799999
2009-04-16,35.880001
2009-04-17,34.919998
2009-04-20,34.799999
2009-04-21,34.799999
2009-04-22,34.799999
2009-04-23,34.560001
2009-04-24,34.200001
2009-04-27,33.599998
2009-04-28,33.720001
2009-04-29,33.84
2009-04-30,34.799999
2009-05-01,34.200001
2009-05-04,35.400002
2009-05-05,35.52
2009-05-06,36.720001
2009-05-07,40.439999
2009-05-08,52.799999
2009-05-11,64.91999799999999
2009-05-12,57.360001000000004
2009-05-13,60.0
2009-05-14,62.52
2009-05-15,59.52
2009-05-18,63.84
2009-05-19,60.0
2009-05-20,58.799999
2009-05-21,61.799999
2009-05-22,59.759997999999996
2009-05-26,60.959998999999996
2009-05-27,58.919998
2009-05-28,61.439999
2009-05-29,63.599998
2009-06-01,71.519997
2009-06-02,71.639999
2009-06-03,70.800003
2009-06-04,68.160004
2009-06-05,68.040001
2009-06-08,68.400002
2009-06-09,66.0
2009-06-10,66.0
2009-06-11,59.279999
2009-06-12,56.639998999999996
2009-06-15,57.0
2009-06-16,57.599998
2009-06-17,56.880001
2009-06-18,57.599998
