Date,GLF
2017-11-17,29.5
2017-11-20,30.0
2017-11-21,30.0
2017-11-22,29.989
2017-11-24,29.68
2017-11-27,29.549999
2017-11-28,29.25
2017-11-29,29.0
2017-11-30,29.25
2017-12-01,29.25
2017-12-04,28.879998999999998
2017-12-05,28.799999
2017-12-06,27.950001
2017-12-07,28.327999
2017-12-08,30.84
2017-12-11,28.25
2017-12-12,28.469998999999998
2017-12-13,28.0
2017-12-14,28.0
2017-12-15,28.25
2017-12-18,28.25
2017-12-19,28.75
2017-12-20,28.5
2017-12-21,28.25
2017-12-22,28.25
2017-12-26,28.200001
2017-12-27,27.450001
2017-12-28,27.25
2017-12-29,28.49
2018-01-02,27.5
2018-01-03,27.0
2018-01-04,28.5
2018-01-05,28.459999
2018-01-08,28.485001
2018-01-09,28.4
2018-01-10,28.5
2018-01-11,28.75
2018-01-12,28.75
2018-01-16,28.5
2018-01-17,28.75
2018-01-18,28.5
2018-01-19,28.0
2018-01-22,28.25
2018-01-23,28.49
2018-01-24,28.4
2018-01-25,28.0
2018-01-26,29.219998999999998
2018-01-29,28.49
2018-01-30,28.9
2018-01-31,28.49
2018-02-01,29.200001
2018-02-02,29.0
2018-02-05,28.5
2018-02-06,29.0
2018-02-07,29.25
2018-02-08,28.879998999999998
2018-02-09,28.5
2018-02-12,28.99
2018-02-13,28.5
2018-02-14,28.5
2018-02-15,28.98
2018-02-16,29.0
2018-02-20,29.0
2018-02-21,29.25
2018-02-22,29.25
2018-02-23,29.5
2018-02-26,29.5
2018-02-27,29.530001000000002
2018-02-28,29.5
2018-03-01,29.049999
2018-03-02,29.5
2018-03-05,28.799999
2018-03-06,29.25
2018-03-07,28.530001000000002
2018-03-08,29.1
2018-03-09,27.110001
2018-03-12,28.26
2018-03-13,28.200001
2018-03-14,27.209999
2018-03-15,26.290001
2018-03-16,26.35
2018-03-19,25.469998999999998
2018-03-20,25.530001000000002
2018-03-21,27.549999
2018-03-22,26.98
2018-03-23,29.5
2018-03-26,28.99
2018-03-27,28.99
2018-03-28,29.0
2018-03-29,29.0
2018-04-02,29.0
2018-04-03,27.799999
2018-04-04,28.98
2018-04-05,28.299999
2018-04-06,28.389999
2018-04-09,28.790001
2018-04-10,28.690001000000002
2018-04-11,28.799999
2018-04-12,29.0
2018-04-13,29.0
2018-04-16,29.1
2018-04-17,29.0
2018-04-18,29.190001000000002
2018-04-19,31.49
2018-04-20,31.49
2018-04-23,31.5
2018-04-24,33.84
2018-04-25,34.5
2018-04-26,34.700001
2018-04-27,34.5
2018-04-30,34.0
2018-05-01,34.290001000000004
2018-05-02,34.009997999999996
2018-05-03,34.529999
2018-05-04,34.75
2018-05-07,34.110001000000004
2018-05-08,34.599998
2018-05-09,34.34
2018-05-10,34.689999
2018-05-11,34.25
2018-05-14,33.450001
2018-05-15,34.290001000000004
2018-05-16,34.080002
2018-05-17,34.02
2018-05-18,33.68
2018-05-21,33.5
2018-05-22,34.119999
2018-05-23,34.630001
2018-05-24,33.66
2018-05-25,34.490002000000004
2018-05-29,33.18
2018-05-30,34.740002000000004
2018-05-31,34.200001
2018-06-01,35.290001000000004
2018-06-04,34.73
2018-06-05,34.740002000000004
2018-06-06,35.209998999999996
2018-06-07,34.779999
2018-06-08,35.59
2018-06-11,37.84
2018-06-12,37.32
2018-06-13,36.950001
2018-06-14,35.16
2018-06-15,33.48
2018-06-18,33.540001000000004
2018-06-19,33.419998
2018-06-20,34.139998999999996
2018-06-21,31.860001
2018-06-22,32.84
2018-06-25,32.400002
2018-06-26,33.450001
2018-06-27,33.580002
2018-06-28,33.599998
2018-06-29,33.5
2018-07-02,33.490002000000004
2018-07-03,34.099998
2018-07-05,34.330002
2018-07-06,33.450001
2018-07-09,33.650002
2018-07-10,33.759997999999996
2018-07-11,33.43
2018-07-12,34.040001000000004
2018-07-13,33.310001
2018-07-16,33.869999
2018-07-17,34.279999
2018-07-18,34.349998
2018-07-19,34.360001000000004
2018-07-20,34.32
2018-07-23,34.759997999999996
2018-07-24,35.470001
2018-07-25,35.75
2018-07-26,36.349998
2018-07-27,36.490002000000004
2018-07-30,36.77
2018-07-31,37.689999
2018-08-01,37.490002000000004
2018-08-02,36.700001
2018-08-03,36.990002000000004
2018-08-06,36.990002000000004
2018-08-07,38.200001
2018-08-08,38.240002000000004
2018-08-09,38.5
2018-08-10,38.25
2018-08-13,37.799999
2018-08-14,38.18
2018-08-15,38.25
2018-08-16,37.5
2018-08-17,37.369999
2018-08-20,37.380001
2018-08-21,37.200001
2018-08-22,37.599998
2018-08-23,37.459998999999996
2018-08-24,37.330002
2018-08-27,37.740002000000004
2018-08-28,37.110001000000004
2018-08-29,36.630001
2018-08-30,36.209998999999996
2018-08-31,36.5
2018-09-04,36.400002
2018-09-05,35.720001
2018-09-06,36.279999
2018-09-07,36.400002
2018-09-10,36.5
2018-09-11,36.360001000000004
2018-09-12,36.400002
2018-09-13,36.73
2018-09-14,36.400002
2018-09-17,36.490002000000004
2018-09-18,35.25
2018-09-19,32.610001000000004
2018-09-20,35.43
2018-09-21,34.419998
2018-09-24,35.380001
2018-09-25,36.419998
2018-09-26,36.0
2018-09-27,36.59
2018-09-28,37.299999
2018-10-01,36.279999
2018-10-02,37.240002000000004
2018-10-03,36.439999
2018-10-04,36.240002000000004
2018-10-05,33.43
2018-10-08,34.110001000000004
2018-10-09,37.830002
2018-10-10,36.700001
2018-10-11,35.400002
2018-10-12,38.259997999999996
2018-10-15,37.310001
2018-10-16,37.009997999999996
2018-10-17,34.099998
2018-10-18,34.529999
2018-10-19,32.75
2018-10-22,32.509997999999996
2018-10-23,31.549999
2018-10-24,30.83
2018-10-25,31.08
2018-10-26,32.830002
2018-10-29,32.0
2018-10-30,33.07
2018-10-31,33.689999
2018-11-01,30.32
2018-11-02,29.610001
2018-11-05,29.17
2018-11-06,30.889999
2018-11-07,31.08
2018-11-08,30.51
2018-11-09,29.799999
