Date,SFD
1975-06-05,0.0469
1975-06-06,0.0469
1975-06-09,0.0469
1975-06-10,0.0391
1975-06-11,0.0391
1975-06-12,0.0391
1975-06-13,0.0391
1975-06-16,0.0391
1975-06-17,0.0391
1975-06-18,0.0391
1975-06-19,0.0391
1975-06-20,0.0391
1975-06-23,0.0391
1975-06-24,0.0469
1975-06-25,0.0469
1975-06-26,0.0469
1975-06-27,0.0469
1975-06-30,0.0469
1975-07-01,0.0469
1975-07-02,0.0469
1975-07-03,0.0469
1975-07-07,0.0469
1975-07-08,0.0469
1975-07-09,0.0547
1975-07-10,0.0547
1975-07-11,0.0547
1975-07-14,0.0547
1975-07-15,0.0547
1975-07-16,0.0547
1975-07-17,0.0547
1975-07-18,0.0547
1975-07-21,0.0469
1975-07-22,0.0469
1975-07-23,0.0469
1975-07-24,0.0469
1975-07-25,0.0469
1975-07-28,0.0469
1975-07-29,0.0469
1975-07-30,0.0469
1975-07-31,0.0547
1975-08-01,0.0547
1975-08-04,0.0469
1975-08-05,0.0469
1975-08-06,0.0469
1975-08-07,0.0469
1975-08-08,0.0469
1975-08-11,0.0469
1975-08-12,0.0469
1975-08-13,0.0469
1975-08-14,0.0469
1975-08-15,0.0469
1975-08-18,0.0469
1975-08-19,0.0469
1975-08-20,0.0391
1975-08-21,0.0391
1975-08-22,0.0391
1975-08-25,0.0469
1975-08-26,0.0469
1975-08-27,0.0469
1975-08-28,0.0469
1975-08-29,0.0469
1975-09-02,0.0469
1975-09-03,0.0391
1975-09-04,0.0391
1975-09-05,0.0391
1975-09-08,0.0391
1975-09-09,0.0391
1975-09-10,0.0391
1975-09-11,0.0391
1975-09-12,0.0391
1975-09-15,0.0391
1975-09-16,0.0391
1975-09-17,0.0391
1975-09-18,0.0391
1975-09-19,0.0391
1975-09-22,0.0391
1975-09-23,0.0391
1975-09-24,0.0391
1975-09-25,0.0391
1975-09-26,0.0391
1975-09-29,0.0391
1975-09-30,0.0391
1975-10-01,0.0391
1975-10-02,0.0391
1975-10-03,0.0391
1975-10-06,0.0391
1975-10-07,0.0391
1975-10-08,0.0391
1975-10-09,0.0391
1975-10-10,0.0391
1975-10-13,0.0391
1975-10-14,0.0391
1975-10-15,0.0391
1975-10-16,0.0391
1975-10-17,0.0391
1975-10-20,0.0391
1975-10-21,0.0391
1975-10-22,0.0391
1975-10-23,0.0391
1975-10-24,0.0391
1975-10-27,0.0391
1975-10-28,0.0391
1975-10-29,0.0391
1975-10-30,0.0391
1975-10-31,0.0469
1975-11-03,0.0469
1975-11-04,0.0469
1975-11-05,0.0469
