Date,VIAC
2019-06-26,48.599998
2019-06-27,48.82
2019-06-28,49.900002
2019-07-01,50.549999
2019-07-02,50.98
2019-07-03,51.84
2019-07-05,52.009997999999996
2019-07-08,52.400002
2019-07-09,52.310001
2019-07-10,52.57
2019-07-11,53.080002
2019-07-12,53.18
2019-07-15,53.369999
2019-07-16,53.509997999999996
2019-07-17,52.419998
2019-07-18,51.330002
2019-07-19,50.700001
2019-07-22,50.009997999999996
2019-07-23,50.080002
2019-07-24,51.049999
2019-07-25,51.380001
2019-07-26,51.849998
2019-07-29,52.150002
2019-07-30,52.540001000000004
2019-07-31,51.509997999999996
2019-08-01,50.619999
2019-08-02,50.400002
2019-08-05,49.060001
2019-08-06,49.560001
2019-08-07,49.18
2019-08-08,50.82
2019-08-09,48.91
2019-08-12,48.040001000000004
2019-08-13,48.700001
2019-08-14,44.650002
2019-08-15,43.349998
2019-08-16,43.799999
2019-08-19,44.220001
2019-08-20,44.139998999999996
2019-08-21,44.080002
2019-08-22,43.470001
2019-08-23,41.41
2019-08-26,41.759997999999996
2019-08-27,41.040001000000004
2019-08-28,41.740002000000004
2019-08-29,42.360001000000004
2019-08-30,42.060001
2019-09-03,41.290001000000004
2019-09-04,41.669998
2019-09-05,43.0
2019-09-06,43.630001
2019-09-09,44.110001000000004
2019-09-10,44.459998999999996
2019-09-11,43.810001
2019-09-12,43.82
2019-09-13,43.82
2019-09-16,44.049999
2019-09-17,43.299999
2019-09-18,43.380001
2019-09-19,42.389998999999996
2019-09-20,41.880001
2019-09-23,41.970001
2019-09-24,41.310001
2019-09-25,41.240002000000004
2019-09-26,40.299999
2019-09-27,40.32
2019-09-30,40.369999
2019-10-01,40.169998
2019-10-02,38.52
2019-10-03,38.450001
2019-10-04,39.040001000000004
2019-10-07,38.759997999999996
2019-10-08,37.169998
2019-10-09,37.610001000000004
2019-10-10,37.66
2019-10-11,38.43
2019-10-14,37.939999
2019-10-15,38.07
2019-10-16,38.099998
2019-10-17,37.779999
2019-10-18,36.75
2019-10-21,36.349998
2019-10-22,36.34
2019-10-23,36.490002000000004
2019-10-24,35.75
2019-10-25,36.040001000000004
2019-10-28,35.849998
2019-10-29,36.189999
2019-10-30,35.580002
2019-10-31,36.040001000000004
2019-11-01,36.740002000000004
2019-11-04,37.139998999999996
2019-11-05,37.490002000000004
2019-11-06,36.82
2019-11-07,37.799999
2019-11-08,38.110001000000004
2019-11-11,39.18
2019-11-12,37.759997999999996
2019-11-13,36.849998
2019-11-14,37.630001
2019-11-15,38.57
2019-11-18,39.34
2019-11-19,39.380001
2019-11-20,39.009997999999996
2019-11-21,38.98
2019-11-22,39.52
2019-11-25,40.09
2019-11-26,40.509997999999996
2019-11-27,40.400002
2019-11-29,40.380001
2019-12-02,39.860001000000004
2019-12-03,39.34
2019-12-04,40.77
2019-12-05,40.860001000000004
2019-12-06,39.720001
2019-12-09,38.639998999999996
2019-12-10,37.619999
2019-12-11,37.290001000000004
2019-12-12,37.779999
2019-12-13,38.639998999999996
2019-12-16,39.75
2019-12-17,40.279999
2019-12-18,41.150002
2019-12-19,41.950001
2019-12-20,42.389998999999996
2019-12-23,42.189999
2019-12-24,42.02
2019-12-26,42.66
2019-12-27,41.759997999999996
2019-12-30,41.48
2019-12-31,41.970001
2020-01-02,42.09
2020-01-03,41.450001
2020-01-06,42.060001
2020-01-07,42.130001
2020-01-08,41.869999
2020-01-09,40.810001
2020-01-10,40.310001
2020-01-13,40.799999
2020-01-14,40.330002
2020-01-15,39.689999
2020-01-16,40.040001000000004
2020-01-17,39.490002000000004
2020-01-21,38.73
2020-01-22,38.450001
2020-01-23,36.990002000000004
2020-01-24,35.790001000000004
2020-01-27,35.130001
2020-01-28,35.360001000000004
2020-01-29,34.689999
2020-01-30,34.189999
2020-01-31,34.130001
2020-02-03,33.080002
2020-02-04,33.57
2020-02-05,34.34
2020-02-06,34.599998
2020-02-07,34.709998999999996
2020-02-10,34.209998999999996
2020-02-11,34.970001
2020-02-12,35.290001000000004
2020-02-13,34.98
2020-02-14,34.98
2020-02-18,35.099998
2020-02-19,35.669998
2020-02-20,29.290001
2020-02-21,28.26
2020-02-24,26.93
2020-02-25,25.360001
2020-02-26,24.440001000000002
2020-02-27,23.889999
2020-02-28,24.610001
2020-03-02,24.309998999999998
2020-03-03,23.08
2020-03-04,23.1
2020-03-05,21.48
2020-03-06,21.57
2020-03-09,19.17
2020-03-10,20.530001000000002
2020-03-11,19.799999
2020-03-12,16.139999
2020-03-13,16.4
2020-03-16,13.61
2020-03-17,12.74
2020-03-18,12.21
2020-03-19,12.62
2020-03-20,11.97
2020-03-23,11.28
2020-03-24,14.75
2020-03-25,14.74
2020-03-26,13.99
2020-03-27,12.79
2020-03-30,14.09
2020-03-31,14.01
2020-04-01,12.78
2020-04-02,12.76
2020-04-03,12.43
2020-04-06,13.94
2020-04-07,14.69
2020-04-08,15.8
2020-04-09,16.559998999999998
2020-04-13,16.059998999999998
2020-04-14,16.27
2020-04-15,15.2
2020-04-16,14.63
2020-04-17,15.8
2020-04-20,15.52
2020-04-21,15.15
2020-04-22,14.93
2020-04-23,15.52
2020-04-24,15.63
2020-04-27,16.98
2020-04-28,17.450001
2020-04-29,18.99
2020-04-30,17.26
2020-05-01,16.459999
2020-05-04,16.1
2020-05-05,15.26
2020-05-06,14.88
2020-05-07,16.42
2020-05-08,18.08
