Date,BB
1999-02-04,1.924479
1999-02-05,1.833333
1999-02-08,1.8125
1999-02-09,1.666667
1999-02-10,1.677083
1999-02-11,1.8125
1999-02-12,1.78125
1999-02-16,1.708333
1999-02-17,1.708333
1999-02-18,1.666667
1999-02-19,1.645833
1999-02-22,1.708333
1999-02-23,1.697917
1999-02-24,1.677083
1999-02-25,1.5625
1999-02-26,1.479167
1999-03-01,1.416667
1999-03-02,1.270833
1999-03-03,1.28125
1999-03-04,1.302083
1999-03-05,1.3125
1999-03-08,1.299479
1999-03-09,1.333333
1999-03-10,1.447917
1999-03-11,1.395833
1999-03-12,1.364583
1999-03-15,1.385417
1999-03-16,1.40625
1999-03-17,1.395833
1999-03-18,1.447917
1999-03-19,1.416667
1999-03-22,1.541667
1999-03-23,1.489583
1999-03-24,1.489583
1999-03-25,1.552083
1999-03-26,1.5234379999999998
1999-03-29,1.65625
1999-03-30,1.645833
1999-03-31,1.75
1999-04-01,1.708333
1999-04-05,1.802083
1999-04-06,1.75
1999-04-07,1.885417
1999-04-08,1.947917
1999-04-09,1.958333
1999-04-12,1.958333
1999-04-13,2.0
1999-04-14,1.979167
1999-04-15,1.875
1999-04-16,1.8125
1999-04-19,1.677083
1999-04-20,1.666667
1999-04-21,1.604167
1999-04-22,1.708333
1999-04-23,1.802083
1999-04-26,1.9375
1999-04-27,1.9375
1999-04-28,1.854167
1999-04-29,1.958333
1999-04-30,2.03125
1999-05-03,2.0
1999-05-04,2.03125
1999-05-05,2.0
1999-05-06,1.927083
1999-05-07,1.875
1999-05-10,1.854167
1999-05-11,1.833333
1999-05-12,1.739583
1999-05-13,1.78125
1999-05-14,1.78125
1999-05-17,1.822917
1999-05-18,2.197917
1999-05-19,2.03125
1999-05-20,2.197917
1999-05-21,2.354167
1999-05-24,2.552083
1999-05-25,2.40625
1999-05-26,2.427083
1999-05-27,2.291667
1999-05-28,2.34375
1999-06-01,2.395833
1999-06-02,2.791667
1999-06-03,3.135417
1999-06-04,3.052083
1999-06-07,3.1875
1999-06-08,3.229167
1999-06-09,3.479167
1999-06-10,3.46875
1999-06-11,3.166667
1999-06-14,2.916667
1999-06-15,2.833333
1999-06-16,3.03125
1999-06-17,3.239583
1999-06-18,3.166667
1999-06-21,3.385417
1999-06-22,3.322917
1999-06-23,3.197917
1999-06-24,3.0
1999-06-25,3.0
1999-06-28,3.260417
1999-06-29,3.375
1999-06-30,3.375
1999-07-01,3.28125
1999-07-02,3.416667
1999-07-06,3.583333
1999-07-07,3.697917
1999-07-08,3.677083
1999-07-09,3.697917
1999-07-12,3.96875
1999-07-13,3.979167
1999-07-14,4.2916669999999995
1999-07-15,4.3541669999999995
1999-07-16,4.2916669999999995
1999-07-19,4.3645830000000005
1999-07-20,3.760417
1999-07-21,4.2291669999999995
1999-07-22,4.6041669999999995
1999-07-23,4.5833330000000005
1999-07-26,4.0625
1999-07-27,3.979167
1999-07-28,3.958333
1999-07-29,4.0520830000000005
1999-07-30,3.895833
1999-08-02,3.833333
1999-08-03,3.59375
1999-08-04,3.0
1999-08-05,3.416667
1999-08-06,3.28125
1999-08-09,3.0625
1999-08-10,2.989583
1999-08-11,3.177083
1999-08-12,3.3125
1999-08-13,3.729167
1999-08-16,4.1458330000000005
1999-08-17,4.0
1999-08-18,4.2708330000000005
1999-08-19,4.4583330000000005
1999-08-20,4.9791669999999995
1999-08-23,5.0833330000000005
1999-08-24,4.7708330000000005
1999-08-25,4.8541669999999995
1999-08-26,4.8333330000000005
1999-08-27,5.0
1999-08-30,4.9166669999999995
1999-08-31,4.9583330000000005
1999-09-01,5.1041669999999995
1999-09-02,5.03125
1999-09-03,5.2083330000000005
1999-09-07,5.8229169999999995
1999-09-08,5.9583330000000005
1999-09-09,6.1666669999999995
1999-09-10,6.1354169999999995
1999-09-13,6.0833330000000005
1999-09-14,6.0520830000000005
1999-09-15,5.7916669999999995
1999-09-16,5.6458330000000005
1999-09-17,5.5520830000000005
1999-09-20,5.3854169999999995
1999-09-21,5.0416669999999995
1999-09-22,4.96875
1999-09-23,4.7916669999999995
1999-09-24,4.4166669999999995
1999-09-27,5.1458330000000005
1999-09-28,5.125
1999-09-29,5.0833330000000005
1999-09-30,5.15625
1999-10-01,4.9791669999999995
1999-10-04,5.0729169999999995
1999-10-05,4.9895830000000005
1999-10-06,4.9791669999999995
1999-10-07,4.9583330000000005
1999-10-08,5.15625
1999-10-11,5.5625
1999-10-12,5.4270830000000005
1999-10-13,5.2083330000000005
1999-10-14,5.2083330000000005
1999-10-15,5.03125
1999-10-18,4.8229169999999995
1999-10-19,4.9583330000000005
1999-10-20,5.125
1999-10-21,5.0520830000000005
1999-10-22,5.4583330000000005
1999-10-25,5.3958330000000005
1999-10-26,5.4479169999999995
1999-10-27,5.2395830000000005
1999-10-28,5.1666669999999995
1999-10-29,5.125
1999-11-01,5.2291669999999995
1999-11-02,5.2291669999999995
1999-11-03,5.625
1999-11-04,6.2291669999999995
1999-11-05,6.4479169999999995
1999-11-08,6.7083330000000005
1999-11-09,6.40625
1999-11-10,6.6145830000000005
1999-11-11,7.0416669999999995
1999-11-12,6.9791669999999995
1999-11-15,7.90625
1999-11-16,8.75
1999-11-17,9.166667
1999-11-18,9.197917
1999-11-19,9.135417
1999-11-22,8.833333
1999-11-23,8.145833
1999-11-24,7.8541669999999995
1999-11-26,8.770833
1999-11-29,8.958333
1999-11-30,8.541667
1999-12-01,9.0625
1999-12-02,9.208333
1999-12-03,9.333333
1999-12-06,9.416667
1999-12-07,9.177083
1999-12-08,8.635417
1999-12-09,8.5625
1999-12-10,8.322917
1999-12-13,8.208333
1999-12-14,7.53125
1999-12-15,7.1875
