Date,TPR
2000-10-06,2.4375
2000-10-09,2.265625
2000-10-10,2.296875
2000-10-11,2.21875
2000-10-12,2.109375
2000-10-13,2.15625
2000-10-16,2.164063
2000-10-17,2.296875
2000-10-18,2.179688
2000-10-19,2.132813
2000-10-20,2.125
2000-10-23,2.09375
2000-10-24,2.1875
2000-10-25,2.28125
2000-10-26,2.265625
2000-10-27,2.4375
2000-10-30,2.6875
2000-10-31,2.921875
2000-11-01,2.898438
2000-11-02,2.984375
2000-11-03,3.15625
2000-11-06,3.007813
2000-11-07,2.96875
2000-11-08,3.0
2000-11-09,2.992188
2000-11-10,3.09375
2000-11-13,2.765625
2000-11-14,2.84375
2000-11-15,2.875
2000-11-16,2.867188
2000-11-17,2.921875
2000-11-20,2.84375
2000-11-21,2.828125
2000-11-22,2.875
2000-11-24,2.875
2000-11-27,2.96875
2000-11-28,2.9375
2000-11-29,2.78125
2000-11-30,2.765625
2000-12-01,2.75
2000-12-04,2.890625
2000-12-05,2.78125
2000-12-06,2.882813
2000-12-07,3.0
2000-12-08,3.171875
2000-12-11,3.226563
2000-12-12,3.117188
2000-12-13,3.0
2000-12-14,2.632813
2000-12-15,2.632813
2000-12-18,2.578125
2000-12-19,2.59375
2000-12-20,2.53125
2000-12-21,2.625
2000-12-22,2.796875
2000-12-26,2.9375
2000-12-27,3.125
2000-12-28,3.53125
2000-12-29,3.59375
2001-01-02,3.265625
2001-01-03,3.257813
2001-01-04,3.125
2001-01-05,3.046875
2001-01-08,2.804688
2001-01-09,2.90625
2001-01-10,3.140625
2001-01-11,3.40625
2001-01-12,3.328125
2001-01-16,3.5546879999999996
2001-01-17,3.625
2001-01-18,3.75
2001-01-19,3.796875
2001-01-22,3.875
2001-01-23,3.875
2001-01-24,3.84375
2001-01-25,3.78125
2001-01-26,3.8125
2001-01-29,3.8725
2001-01-30,3.91875
2001-01-31,4.21875
2001-02-01,4.45375
2001-02-02,4.5
2001-02-05,4.3975
2001-02-06,4.265
2001-02-07,4.28125
2001-02-08,4.225
2001-02-09,4.21875
2001-02-12,4.1
2001-02-13,4.1
2001-02-14,4.24375
2001-02-15,4.28125
2001-02-16,4.25625
2001-02-20,4.23125
2001-02-21,4.32375
2001-02-22,4.25
2001-02-23,4.125
2001-02-26,4.11875
2001-02-27,4.05625
2001-02-28,3.7675
2001-03-01,3.5625
2001-03-02,3.49
2001-03-05,3.50375
2001-03-06,3.3
2001-03-07,3.33625
2001-03-08,3.5125
2001-03-09,3.52625
2001-03-12,3.52
2001-03-13,3.475
2001-03-14,3.4125
2001-03-15,3.4
2001-03-16,3.40875
2001-03-19,3.4925
2001-03-20,3.50125
2001-03-21,3.4375
2001-03-22,3.3525
2001-03-23,3.425
2001-03-26,3.375
2001-03-27,3.375
