Date,ING
1994-05-18,8.140625
1994-05-19,8.1
1994-05-20,8.16875
1994-05-23,8.15
1994-05-24,8.15
1994-05-25,8.25
1994-05-26,8.3
1994-05-27,8.25
1994-05-31,8.25
1994-06-01,8.275
1994-06-02,8.275
1994-06-03,8.275
1994-06-06,8.45
1994-06-07,8.65
1994-06-08,8.675
1994-06-09,8.675
1994-06-10,8.675
1994-06-13,8.65
1994-06-14,8.6
1994-06-15,8.675
1994-06-16,8.475
1994-06-17,8.575
1994-06-20,8.375
1994-06-21,8.45
1994-06-22,8.525
1994-06-23,8.575
1994-06-24,8.5
1994-06-27,8.5
1994-06-28,8.5
1994-06-29,8.675
1994-06-30,8.45
1994-07-01,8.625
1994-07-05,8.625
1994-07-06,8.75
1994-07-07,8.7
1994-07-08,8.7
1994-07-11,8.9
1994-07-12,9.0
1994-07-13,9.0
1994-07-14,8.925
1994-07-15,8.875
1994-07-18,9.025
1994-07-19,8.975
1994-07-20,8.875
1994-07-21,8.75
1994-07-22,8.725
1994-07-25,8.75
1994-07-26,8.825
1994-07-27,8.8
1994-07-28,9.05
1994-07-29,9.05
1994-08-01,9.375
1994-08-02,9.4
1994-08-03,9.4
1994-08-04,9.475
1994-08-05,9.25
1994-08-08,9.3
1994-08-09,9.3
1994-08-10,9.25
1994-08-11,9.25
1994-08-12,9.25
1994-08-15,9.25
1994-08-16,9.0
1994-08-17,9.15
1994-08-18,9.05
1994-08-19,8.9
1994-08-22,8.9
1994-08-23,9.05
1994-08-24,9.15
1994-08-25,9.45
1994-08-26,9.45
1994-08-29,9.15
1994-08-30,9.225
1994-08-31,9.075
1994-09-01,9.075
1994-09-02,9.15
1994-09-06,9.2
1994-09-07,9.15
1994-09-08,9.0
1994-09-09,8.9
1994-09-12,8.9
1994-09-13,9.0
1994-09-14,8.9
1994-09-15,9.0
1994-09-16,9.0
1994-09-19,8.925
1994-09-20,8.525
1994-09-21,8.725
1994-09-22,8.725
1994-09-23,8.775
1994-09-26,8.775
1994-09-27,8.775
1994-09-28,8.775
1994-09-29,8.625
1994-09-30,8.7
1994-10-03,8.625
1994-10-04,8.6
1994-10-05,8.6
1994-10-06,8.35
1994-10-07,8.55
1994-10-10,8.55
1994-10-11,8.775
1994-10-12,8.775
1994-10-13,8.775
1994-10-14,8.775
1994-10-17,9.5
1994-10-18,9.3
