Date,UPS
1999-11-10,68.25
1999-11-11,75.0
1999-11-12,70.5
1999-11-15,69.0
1999-11-16,66.0
1999-11-17,67.6875
1999-11-18,66.3125
1999-11-19,65.0
1999-11-22,63.125
1999-11-23,66.1875
1999-11-24,67.6875
1999-11-26,69.125
1999-11-29,68.125
1999-11-30,66.0625
1999-12-01,65.875
1999-12-02,67.0625
1999-12-03,66.4375
1999-12-06,66.25
1999-12-07,68.0
1999-12-08,68.375
1999-12-09,67.5
1999-12-10,66.125
1999-12-13,66.0
1999-12-14,65.0
1999-12-15,63.75
1999-12-16,64.0
1999-12-17,66.625
1999-12-20,68.5
1999-12-21,69.0
1999-12-22,67.0
1999-12-23,67.75
1999-12-27,69.6875
1999-12-28,69.0
1999-12-29,68.0
1999-12-30,68.0
1999-12-31,69.0
2000-01-03,67.0625
2000-01-04,64.9375
2000-01-05,68.0
2000-01-06,68.0
2000-01-07,66.375
2000-01-10,67.0625
2000-01-11,65.25
2000-01-12,67.375
2000-01-13,68.3125
2000-01-14,69.0625
2000-01-18,68.6875
2000-01-19,68.25
2000-01-20,68.875
2000-01-21,67.25
2000-01-24,66.0
2000-01-25,65.875
2000-01-26,65.125
2000-01-27,65.125
2000-01-28,64.9375
2000-01-31,60.0
2000-02-01,61.375
2000-02-02,58.25
2000-02-03,57.625
2000-02-04,56.375
2000-02-07,55.75
2000-02-08,59.375
2000-02-09,58.0
2000-02-10,57.0625
2000-02-11,55.125
2000-02-14,54.375
2000-02-15,54.9375
2000-02-16,56.0
2000-02-17,58.0
2000-02-18,56.9375
2000-02-22,55.0
2000-02-23,54.9375
2000-02-24,54.0625
2000-02-25,55.5
2000-02-28,55.0
2000-02-29,54.625
2000-03-01,52.5
2000-03-02,53.3125
2000-03-03,52.6875
2000-03-06,52.75
2000-03-07,50.625
2000-03-08,54.3125
2000-03-09,53.0
2000-03-10,53.4375
2000-03-13,52.75
2000-03-14,52.5625
2000-03-15,54.9375
2000-03-16,56.25
2000-03-17,55.5
2000-03-20,56.5625
2000-03-21,58.1875
2000-03-22,56.875
2000-03-23,59.625
2000-03-24,63.75
2000-03-27,63.1875
2000-03-28,60.25
2000-03-29,59.0625
2000-03-30,58.5625
2000-03-31,62.984375
2000-04-03,59.375
2000-04-04,57.8125
2000-04-05,58.1875
2000-04-06,59.875
2000-04-07,60.875
2000-04-10,64.0
2000-04-11,63.1875
2000-04-12,61.5
2000-04-13,60.25
2000-04-14,55.0
2000-04-17,58.0
2000-04-18,60.6875
2000-04-19,59.0625
2000-04-20,63.5
2000-04-24,62.625
2000-04-25,66.4375
2000-04-26,66.1875
2000-04-27,65.9375
2000-04-28,66.5
2000-05-01,64.25
2000-05-02,63.8125
2000-05-03,62.375
2000-05-04,60.9375
2000-05-05,59.875
2000-05-08,61.0625
2000-05-09,62.5
2000-05-10,60.8125
2000-05-11,61.25
2000-05-12,61.5625
2000-05-15,63.3125
2000-05-16,62.0
2000-05-17,62.3125
2000-05-18,62.125
2000-05-19,61.875
2000-05-22,61.4375
2000-05-23,61.875
2000-05-24,59.625
2000-05-25,58.875
2000-05-26,57.1875
2000-05-30,59.0625
2000-05-31,59.875
2000-06-01,61.5
2000-06-02,61.0
2000-06-05,61.5625
2000-06-06,61.75
2000-06-07,62.0625
2000-06-08,60.25
2000-06-09,59.3125
2000-06-12,59.34375
2000-06-13,61.3125
2000-06-14,61.25
2000-06-15,62.375
2000-06-16,61.75
2000-06-19,62.125
2000-06-20,61.4375
2000-06-21,61.75
2000-06-22,62.9375
2000-06-23,61.4375
2000-06-26,60.75
2000-06-27,60.125
2000-06-28,59.625
2000-06-29,60.25
2000-06-30,58.90625
2000-07-03,59.4375
2000-07-05,61.0
2000-07-06,61.3125
2000-07-07,60.6875
2000-07-10,61.0
2000-07-11,60.8125
2000-07-12,60.6875
2000-07-13,60.3125
2000-07-14,60.875
2000-07-17,60.4375
2000-07-18,60.75
2000-07-19,61.25
2000-07-20,59.5625
2000-07-21,59.5
2000-07-24,59.0
2000-07-25,58.6875
2000-07-26,58.125
2000-07-27,58.125
2000-07-28,57.375
2000-07-31,58.75
2000-08-01,58.3125
2000-08-02,58.1875
2000-08-03,57.9375
2000-08-04,57.6875
2000-08-07,57.375
2000-08-08,56.875
2000-08-09,55.75
2000-08-10,58.5
2000-08-11,59.0
2000-08-14,58.625
2000-08-15,57.875
2000-08-16,57.3125
2000-08-17,56.75
2000-08-18,56.1875
2000-08-21,55.8125
2000-08-22,56.25
2000-08-23,55.75
2000-08-24,56.4375
2000-08-25,57.625
2000-08-28,56.75
2000-08-29,56.25
2000-08-30,55.125
2000-08-31,55.4375
2000-09-01,55.875
2000-09-05,55.5625
2000-09-06,55.8125
2000-09-07,54.5625
2000-09-08,53.3125
2000-09-11,52.375
2000-09-12,53.5625
2000-09-13,55.0
2000-09-14,55.4375
2000-09-15,55.375
2000-09-18,53.0
2000-09-19,52.5
2000-09-20,54.0
2000-09-21,55.25
2000-09-22,56.0
2000-09-25,56.75
2000-09-26,56.9375
2000-09-27,56.625
2000-09-28,57.3125
2000-09-29,56.375
2000-10-02,56.6875
2000-10-03,56.625
2000-10-04,58.75
2000-10-05,58.5
2000-10-06,58.0625
2000-10-09,56.875
2000-10-10,58.875
2000-10-11,57.5
2000-10-12,54.75
2000-10-13,56.625
2000-10-16,55.9375
2000-10-17,55.125
2000-10-18,53.0625
2000-10-19,60.0
2000-10-20,62.0
2000-10-23,60.8125
2000-10-24,59.75
2000-10-25,59.625
2000-10-26,59.75
2000-10-27,59.3125
2000-10-30,61.125
2000-10-31,60.75
2000-11-01,59.625
2000-11-02,61.375
2000-11-03,60.5625
2000-11-06,60.0
2000-11-07,59.9375
2000-11-08,59.75
2000-11-09,58.625
2000-11-10,58.3125
2000-11-13,59.0
2000-11-14,59.75
2000-11-15,59.0
2000-11-16,58.4375
2000-11-17,59.25
2000-11-20,59.3125
2000-11-21,60.3125
2000-11-22,60.1875
2000-11-24,60.875
2000-11-27,61.125
2000-11-28,61.0625
2000-11-29,60.375
2000-11-30,60.6875
2000-12-01,60.875
2000-12-04,60.3125
2000-12-05,61.0
2000-12-06,62.3125
2000-12-07,61.6875
2000-12-08,63.6875
2000-12-11,64.0
2000-12-12,63.5625
2000-12-13,62.625
2000-12-14,58.6875
2000-12-15,57.4375
2000-12-18,56.875
2000-12-19,55.75
2000-12-20,54.4375
2000-12-21,53.5
2000-12-22,56.5
2000-12-26,57.4375
2000-12-27,57.3125
2000-12-28,59.1875
2000-12-29,58.75
2001-01-02,56.375
2001-01-03,60.5625
2001-01-04,61.0625
2001-01-05,60.625
2001-01-08,61.0625
2001-01-09,61.0
2001-01-10,58.5
2001-01-11,59.25
2001-01-12,58.9375
2001-01-16,59.4375
2001-01-17,59.375
2001-01-18,60.25
2001-01-19,60.0
2001-01-22,60.3125
2001-01-23,60.9375
2001-01-24,60.25
2001-01-25,60.375
2001-01-26,60.375
2001-01-29,60.799999
2001-01-30,61.599998
2001-01-31,61.900002
2001-02-01,61.57
2001-02-02,61.099998
2001-02-05,60.240002000000004
2001-02-06,59.610001000000004
2001-02-07,59.68
2001-02-08,59.959998999999996
2001-02-09,59.82
2001-02-12,60.200001
2001-02-13,60.029999
2001-02-14,60.09
2001-02-15,60.139998999999996
2001-02-16,60.029999
2001-02-20,60.099998
2001-02-21,58.900002
2001-02-22,58.290001000000004
2001-02-23,57.599998
