Date,SWI
2018-10-19,15.03
2018-10-22,15.44
2018-10-23,15.0
2018-10-24,14.5
2018-10-25,14.54
2018-10-26,14.21
2018-10-29,14.25
2018-10-30,14.45
2018-10-31,14.59
2018-11-01,14.72
2018-11-02,14.95
2018-11-05,14.8
2018-11-06,14.97
2018-11-07,15.09
2018-11-08,14.96
2018-11-09,15.07
2018-11-12,14.7
2018-11-13,15.06
2018-11-14,14.95
2018-11-15,15.0
2018-11-16,15.11
2018-11-19,14.75
2018-11-20,13.9
2018-11-21,14.06
2018-11-23,13.98
2018-11-26,14.45
2018-11-27,14.46
2018-11-28,15.23
2018-11-29,15.29
2018-11-30,15.91
2018-12-03,16.24
2018-12-04,15.92
2018-12-06,16.1
2018-12-07,16.16
2018-12-10,17.0
2018-12-11,17.73
2018-12-12,18.66
2018-12-13,16.26
2018-12-14,15.74
2018-12-17,14.33
2018-12-18,14.05
2018-12-19,14.0
2018-12-20,13.4
2018-12-21,13.13
2018-12-24,12.35
2018-12-26,13.02
2018-12-27,13.5
2018-12-28,13.47
2018-12-31,13.83
2019-01-02,13.71
2019-01-03,13.08
2019-01-04,14.23
2019-01-07,14.75
2019-01-08,15.15
2019-01-09,15.37
2019-01-10,15.74
2019-01-11,15.76
2019-01-14,15.63
2019-01-15,15.97
2019-01-16,16.200001
2019-01-17,16.540001
2019-01-18,16.9
2019-01-22,16.48
2019-01-23,16.549999
2019-01-24,16.809998999999998
2019-01-25,17.139999
2019-01-28,17.049999
2019-01-29,17.16
2019-01-30,17.299999
2019-01-31,17.549999
2019-02-01,17.799999
2019-02-04,18.0
2019-02-05,18.059998999999998
2019-02-06,17.700001
2019-02-07,17.549999
2019-02-08,18.049999
2019-02-11,18.17
2019-02-12,18.469998999999998
2019-02-13,18.889999
2019-02-14,18.700001
2019-02-15,19.02
2019-02-19,19.1
2019-02-20,18.969998999999998
2019-02-21,18.49
2019-02-22,18.809998999999998
2019-02-25,18.889999
2019-02-26,18.92
2019-02-27,19.16
2019-02-28,19.01
2019-03-01,18.74
2019-03-04,18.42
2019-03-05,18.059998999999998
2019-03-06,17.9
2019-03-07,17.9
2019-03-08,17.9
2019-03-11,18.02
2019-03-12,18.16
2019-03-13,18.65
2019-03-14,18.98
2019-03-15,20.1
2019-03-18,20.540001
2019-03-19,20.16
2019-03-20,19.48
2019-03-21,19.76
2019-03-22,19.120001000000002
2019-03-25,18.74
2019-03-26,19.07
2019-03-27,18.780001000000002
2019-03-28,18.959999
2019-03-29,19.52
2019-04-01,19.469998999999998
2019-04-02,19.799999
2019-04-03,19.379998999999998
2019-04-04,18.85
2019-04-05,18.629998999999998
2019-04-08,18.370001000000002
2019-04-09,18.76
2019-04-10,18.93
2019-04-11,18.99
2019-04-12,18.73
2019-04-15,18.950001
2019-04-16,18.48
2019-04-17,19.040001
2019-04-18,18.629998999999998
2019-04-22,19.059998999999998
2019-04-23,19.469998999999998
2019-04-24,19.719998999999998
2019-04-25,19.4
2019-04-26,19.51
2019-04-29,19.15
2019-04-30,19.549999
2019-05-01,19.290001
2019-05-02,18.9
2019-05-03,19.49
2019-05-06,19.17
2019-05-07,18.889999
2019-05-08,18.98
2019-05-09,19.17
2019-05-10,19.360001
2019-05-13,18.690001000000002
2019-05-14,18.950001
2019-05-15,19.0
2019-05-16,19.35
2019-05-17,19.18
2019-05-20,19.16
2019-05-21,18.67
2019-05-22,17.99
2019-05-23,17.719998999999998
2019-05-24,18.030001000000002
2019-05-28,17.99
