Date,PAY
2012-06-18,32.200001
2012-06-19,32.220001
2012-06-20,33.09
2012-06-21,31.99
2012-06-22,31.85
2012-06-25,31.02
2012-06-26,31.629998999999998
2012-06-27,31.209999
2012-06-28,31.110001
2012-06-29,33.09
2012-07-02,32.619999
2012-07-03,33.150002
2012-07-05,33.389998999999996
2012-07-06,32.599998
2012-07-09,32.450001
2012-07-10,31.92
2012-07-11,35.41
2012-07-12,35.130001
2012-07-13,36.59
2012-07-16,36.02
2012-07-17,35.619999
2012-07-18,36.369999
2012-07-19,36.619999
2012-07-20,36.220001
2012-07-23,34.689999
2012-07-24,33.98
2012-07-25,34.59
2012-07-26,36.68
2012-07-27,37.82
2012-07-30,37.16
2012-07-31,36.290001000000004
2012-08-01,35.779999
2012-08-02,36.110001000000004
2012-08-03,37.490002000000004
2012-08-06,37.830002
2012-08-07,38.799999
2012-08-08,34.18
2012-08-09,33.740002000000004
2012-08-10,34.0
2012-08-13,34.450001
2012-08-14,33.709998999999996
2012-08-15,34.0
2012-08-16,34.07
2012-08-17,32.950001
2012-08-20,31.879998999999998
2012-08-21,32.290001000000004
2012-08-22,32.810001
2012-08-23,33.599998
2012-08-24,34.0
2012-08-27,34.490002000000004
2012-08-28,35.490002000000004
2012-08-29,34.66
2012-08-30,34.549999
2012-08-31,34.740002000000004
2012-09-04,34.720001
2012-09-05,35.380001
2012-09-06,30.549999
2012-09-07,32.48
2012-09-10,32.169998
2012-09-11,31.76
2012-09-12,31.65
2012-09-13,31.35
2012-09-14,31.73
2012-09-17,31.91
2012-09-18,32.790001000000004
2012-09-19,32.32
2012-09-20,31.77
2012-09-21,31.799999
2012-09-24,31.08
2012-09-25,30.02
2012-09-26,28.190001000000002
2012-09-27,28.49
2012-09-28,27.85
2012-10-01,28.049999
2012-10-02,27.860001
2012-10-03,27.860001
2012-10-04,29.59
2012-10-05,31.370001000000002
2012-10-08,30.84
2012-10-09,30.58
2012-10-10,29.889999
2012-10-11,30.68
2012-10-12,31.059998999999998
2012-10-15,31.49
2012-10-16,32.299999
2012-10-17,31.93
2012-10-18,32.09
2012-10-19,31.68
2012-10-22,31.49
2012-10-23,30.65
2012-10-24,30.030001000000002
2012-10-25,29.799999
2012-10-26,29.549999
2012-10-31,29.639999
2012-11-01,31.5
2012-11-02,31.4
2012-11-05,31.51
2012-11-06,32.310001
2012-11-07,31.530001000000002
2012-11-08,30.74
2012-11-09,31.24
2012-11-12,30.950001
2012-11-13,30.02
2012-11-14,29.57
2012-11-15,29.450001
2012-11-16,28.9
2012-11-19,30.1
2012-11-20,30.540001
2012-11-21,30.74
2012-11-23,30.809998999999998
2012-11-26,31.16
2012-11-27,30.969998999999998
2012-11-28,30.219998999999998
2012-11-29,30.389999
2012-11-30,30.389999
2012-12-03,29.969998999999998
2012-12-04,30.25
2012-12-05,32.540001000000004
2012-12-06,33.41
2012-12-07,32.560001
2012-12-10,33.0
2012-12-11,33.139998999999996
2012-12-12,33.389998999999996
2012-12-13,33.23
2012-12-14,29.6
2012-12-17,28.82
2012-12-18,29.030001000000002
2012-12-19,29.459999
2012-12-20,29.42
2012-12-21,28.450001
2012-12-24,28.719998999999998
2012-12-26,28.549999
2012-12-27,28.450001
