Date,FBHS
2016-06-09,58.560001
2016-06-10,57.009997999999996
2016-06-13,56.34
2016-06-14,55.970001
2016-06-15,55.93
2016-06-16,56.41
2016-06-17,56.490002000000004
2016-06-20,57.639998999999996
2016-06-21,57.57
2016-06-22,57.16
2016-06-23,56.84
2016-06-24,55.740002000000004
2016-06-27,55.110001000000004
2016-06-28,56.150002
2016-06-29,56.709998999999996
2016-06-30,57.970001
2016-07-01,58.099998
2016-07-05,57.759997999999996
2016-07-06,58.59
2016-07-07,58.779999
2016-07-08,60.209998999999996
2016-07-11,61.099998
2016-07-12,61.060001
2016-07-13,61.380001
2016-07-14,61.330002
2016-07-15,61.290001000000004
2016-07-18,61.299999
2016-07-19,61.139998999999996
2016-07-20,61.59
2016-07-21,60.130001
2016-07-22,60.450001
2016-07-25,60.799999
2016-07-26,61.619999
2016-07-27,61.759997999999996
2016-07-28,63.84
2016-07-29,63.27
2016-08-01,63.599998
2016-08-02,63.189999
2016-08-03,63.439999
2016-08-04,63.459998999999996
2016-08-05,63.75
2016-08-08,63.959998999999996
2016-08-09,63.869999
2016-08-10,63.950001
2016-08-11,64.040001
2016-08-12,63.889998999999996
2016-08-15,63.880001
2016-08-16,62.959998999999996
2016-08-17,62.450001
2016-08-18,62.57
2016-08-19,62.700001
2016-08-22,62.830002
2016-08-23,63.73
2016-08-24,63.099998
2016-08-25,63.52
2016-08-26,63.400002
2016-08-29,63.830002
2016-08-30,63.66
2016-08-31,63.560001
2016-09-01,63.830002
2016-09-02,63.790001000000004
2016-09-06,63.0
2016-09-07,62.52
2016-09-08,61.93
2016-09-09,58.720001
2016-09-12,59.0
2016-09-13,58.200001
2016-09-14,57.5
2016-09-15,57.830002
2016-09-16,56.099998
2016-09-19,56.450001
2016-09-20,56.419998
2016-09-21,57.029999
2016-09-22,58.200001
2016-09-23,58.669998
2016-09-26,58.68
2016-09-27,58.990002000000004
2016-09-28,58.540001000000004
2016-09-29,57.91
2016-09-30,58.099998
2016-10-03,57.02
2016-10-04,57.150002
2016-10-05,56.48
2016-10-06,57.540001000000004
2016-10-07,55.700001
2016-10-10,56.099998
2016-10-11,54.779999
2016-10-12,55.529999
2016-10-13,55.130001
2016-10-14,55.040001000000004
2016-10-17,55.610001000000004
2016-10-18,54.810001
2016-10-19,53.889998999999996
2016-10-20,54.119999
2016-10-21,54.290001000000004
2016-10-24,55.369999
2016-10-25,52.310001
2016-10-26,53.16
2016-10-27,54.02
2016-10-28,53.73
2016-10-31,54.630001
2016-11-01,53.34
2016-11-02,53.139998999999996
2016-11-03,52.84
2016-11-04,52.860001000000004
2016-11-07,54.549999
2016-11-08,54.389998999999996
2016-11-09,54.700001
2016-11-10,55.740002000000004
2016-11-11,55.240002000000004
2016-11-14,56.080002
2016-11-15,57.110001000000004
2016-11-16,56.16
2016-11-17,57.400002
2016-11-18,57.59
2016-11-21,58.07
2016-11-22,56.75
2016-11-23,57.080002
2016-11-25,57.360001000000004
2016-11-28,56.18
2016-11-29,56.200001
2016-11-30,55.150002
2016-12-01,53.82
2016-12-02,53.799999
2016-12-05,54.970001
2016-12-06,55.150002
2016-12-07,55.669998
2016-12-08,56.439999
2016-12-09,56.369999
2016-12-12,55.27
2016-12-13,55.43
2016-12-14,56.02
2016-12-15,54.599998
2016-12-16,55.259997999999996
2016-12-19,55.150002
2016-12-20,54.900002
2016-12-21,55.389998999999996
2016-12-22,54.98
2016-12-23,54.98
2016-12-27,55.220001
2016-12-28,54.18
2016-12-29,54.049999
2016-12-30,53.459998999999996
2017-01-03,53.889998999999996
2017-01-04,54.459998999999996
2017-01-05,53.950001
2017-01-06,54.779999
2017-01-09,53.900002
2017-01-10,54.169998
2017-01-11,54.470001
2017-01-12,54.240002000000004
2017-01-13,54.27
2017-01-17,54.0
2017-01-18,54.299999
2017-01-19,54.860001000000004
2017-01-20,55.41
2017-01-23,55.619999
2017-01-24,56.759997999999996
2017-01-25,57.02
2017-01-26,56.459998999999996
2017-01-27,56.0
2017-01-30,55.639998999999996
2017-01-31,55.130001
2017-02-01,56.299999
2017-02-02,55.639998999999996
2017-02-03,56.099998
2017-02-06,55.860001000000004
2017-02-07,55.82
2017-02-08,55.939999
2017-02-09,56.279999
2017-02-10,57.07
2017-02-13,57.080002
2017-02-14,56.860001000000004
2017-02-15,57.389998999999996
2017-02-16,57.0
2017-02-17,57.060001
2017-02-21,57.380001
2017-02-22,56.91
2017-02-23,57.07
2017-02-24,57.400002
2017-02-27,58.209998999999996
2017-02-28,57.830002
2017-03-01,58.720001
2017-03-02,58.5
2017-03-03,58.720001
2017-03-06,57.900002
2017-03-07,57.919998
2017-03-08,58.700001
2017-03-09,59.380001
2017-03-10,60.07
2017-03-13,60.099998
2017-03-14,60.02
2017-03-15,61.139998999999996
2017-03-16,61.080002
2017-03-17,61.040001000000004
2017-03-20,60.939999
2017-03-21,59.740002000000004
2017-03-22,59.77
2017-03-23,60.18
2017-03-24,60.380001
2017-03-27,60.279999
2017-03-28,60.66
2017-03-29,60.900002
2017-03-30,60.970001
2017-03-31,60.849998
2017-04-03,60.619999
2017-04-04,60.619999
2017-04-05,60.48
2017-04-06,61.849998
2017-04-07,61.860001000000004
2017-04-10,61.970001
2017-04-11,62.060001
2017-04-12,61.709998999999996
2017-04-13,61.5
2017-04-17,61.919998
2017-04-18,62.049999
2017-04-19,62.150002
2017-04-20,62.32
2017-04-21,62.82
2017-04-24,63.66
2017-04-25,64.93
2017-04-26,65.599998
2017-04-27,64.190002
2017-04-28,63.740002000000004
2017-05-01,63.32
2017-05-02,63.720001
2017-05-03,63.189999
2017-05-04,63.34
2017-05-05,63.48
2017-05-08,63.43
2017-05-09,63.5
2017-05-10,63.639998999999996
2017-05-11,63.07
2017-05-12,62.57
2017-05-15,63.16
2017-05-16,62.889998999999996
2017-05-17,62.349998
2017-05-18,62.84
2017-05-19,63.310001
2017-05-22,63.07
2017-05-23,62.610001000000004
2017-05-24,63.119999
2017-05-25,63.169998
2017-05-26,62.849998
2017-05-30,62.889998999999996
2017-05-31,63.099998
2017-06-01,63.34
2017-06-02,63.5
2017-06-05,62.990002000000004
2017-06-06,62.43
2017-06-07,62.66
2017-06-08,62.75
2017-06-09,63.310001
2017-06-12,63.380001
2017-06-13,64.589996
2017-06-14,65.33000200000001
2017-06-15,64.800003
2017-06-16,64.360001
2017-06-19,65.440002
2017-06-20,65.339996
2017-06-21,65.029999
2017-06-22,65.089996
2017-06-23,66.050003
2017-06-26,65.900002
2017-06-27,65.470001
2017-06-28,65.870003
2017-06-29,64.91999799999999
2017-06-30,65.239998
2017-07-03,65.410004
2017-07-05,65.410004
2017-07-06,65.050003
2017-07-07,65.93
2017-07-10,66.449997
2017-07-11,66.559998
2017-07-12,66.800003
2017-07-13,67.300003
2017-07-14,67.099998
2017-07-17,67.07
2017-07-18,66.760002
2017-07-19,67.110001
2017-07-20,65.629997
2017-07-21,65.879997
2017-07-24,65.709999
2017-07-25,65.93
2017-07-26,65.910004
2017-07-27,65.739998
2017-07-28,65.660004
2017-07-31,65.66999799999999
2017-08-01,66.160004
2017-08-02,66.25
2017-08-03,65.040001
2017-08-04,65.230003
2017-08-07,65.260002
2017-08-08,64.349998
2017-08-09,63.869999
2017-08-10,62.889998999999996
2017-08-11,63.310001
2017-08-14,64.25
2017-08-15,63.889998999999996
2017-08-16,64.160004
2017-08-17,62.689999
2017-08-18,62.5
2017-08-21,62.82
2017-08-22,63.25
2017-08-23,62.580002
2017-08-24,62.459998999999996
2017-08-25,62.349998
2017-08-28,61.950001
2017-08-29,61.939999
2017-08-30,62.009997999999996
2017-08-31,62.529999
2017-09-01,62.970001
2017-09-05,62.639998999999996
2017-09-06,63.32
2017-09-07,62.959998999999996
2017-09-08,64.43
2017-09-11,64.5
2017-09-12,65.440002
2017-09-13,64.75
2017-09-14,64.43
2017-09-15,64.739998
2017-09-18,64.25
2017-09-19,64.309998
2017-09-20,64.510002
2017-09-21,64.889999
2017-09-22,64.910004
2017-09-25,65.300003
2017-09-26,65.43
2017-09-27,66.410004
2017-09-28,67.260002
2017-09-29,67.230003
2017-10-02,67.68
2017-10-03,66.779999
2017-10-04,66.33000200000001
2017-10-05,65.75
2017-10-06,65.959999
2017-10-09,66.0
2017-10-10,65.620003
2017-10-11,66.059998
2017-10-12,66.25
2017-10-13,66.239998
2017-10-16,66.300003
2017-10-17,66.08000200000001
2017-10-18,65.349998
2017-10-19,65.58000200000001
2017-10-20,67.0
2017-10-23,67.540001
2017-10-24,68.120003
2017-10-25,66.879997
2017-10-26,68.349998
2017-10-27,66.83000200000001
2017-10-30,66.150002
2017-10-31,66.059998
2017-11-01,65.199997
2017-11-02,64.559998
2017-11-03,64.16999799999999
2017-11-06,64.220001
2017-11-07,64.459999
2017-11-08,64.120003
2017-11-09,64.0
2017-11-10,63.970001
2017-11-13,64.43
2017-11-14,64.690002
2017-11-15,64.059998
2017-11-16,64.440002
2017-11-17,64.760002
2017-11-20,64.870003
2017-11-21,65.370003
2017-11-22,64.849998
2017-11-24,64.68
2017-11-27,64.519997
2017-11-28,65.720001
2017-11-29,66.870003
2017-11-30,68.41999799999999
2017-12-01,67.519997
2017-12-04,68.889999
2017-12-05,68.480003
2017-12-06,67.760002
2017-12-07,68.239998
2017-12-08,68.220001
2017-12-11,68.120003
2017-12-12,67.230003
2017-12-13,67.32
2017-12-14,66.699997
2017-12-15,66.41999799999999
2017-12-18,67.480003
2017-12-19,67.690002
2017-12-20,67.900002
2017-12-21,69.32
2017-12-22,68.529999
2017-12-26,68.940002
2017-12-27,68.739998
2017-12-28,68.779999
2017-12-29,68.440002
2018-01-02,68.739998
2018-01-03,69.550003
2018-01-04,70.129997
2018-01-05,71.620003
2018-01-08,71.43
2018-01-09,70.32
2018-01-10,69.08000200000001
2018-01-11,69.779999
2018-01-12,70.620003
2018-01-16,70.400002
2018-01-17,71.809998
2018-01-18,72.629997
2018-01-19,72.639999
2018-01-22,72.839996
2018-01-23,72.5
2018-01-24,73.129997
2018-01-25,72.480003
2018-01-26,73.07
2018-01-29,71.599998
2018-01-30,70.82
2018-01-31,70.93
2018-02-01,69.82
2018-02-02,64.900002
2018-02-05,62.98
2018-02-06,64.160004
2018-02-07,63.400002
2018-02-08,62.439999
2018-02-09,61.709998999999996
2018-02-12,63.150002
2018-02-13,63.080002
2018-02-14,63.16
2018-02-15,62.91
2018-02-16,63.82
2018-02-20,63.830002
2018-02-21,63.48
2018-02-22,63.259997999999996
2018-02-23,63.52
2018-02-26,63.509997999999996
2018-02-27,62.52
2018-02-28,60.66
2018-03-01,59.900002
2018-03-02,60.009997999999996
2018-03-05,61.099998
2018-03-06,62.23
2018-03-07,61.790001000000004
2018-03-08,61.970001
2018-03-09,63.52
2018-03-12,62.759997999999996
2018-03-13,62.57
2018-03-14,61.700001
2018-03-15,61.66
2018-03-16,62.080002
2018-03-19,60.970001
2018-03-20,60.68
2018-03-21,60.869999
2018-03-22,59.689999
2018-03-23,57.889998999999996
2018-03-26,59.419998
2018-03-27,58.27
2018-03-28,58.299999
2018-03-29,58.889998999999996
2018-04-02,57.119999
2018-04-03,57.799999
2018-04-04,58.970001
2018-04-05,59.950001
2018-04-06,58.720001
2018-04-09,58.169998
2018-04-10,58.709998999999996
2018-04-11,58.720001
2018-04-12,58.849998
2018-04-13,58.349998
2018-04-16,58.919998
2018-04-17,59.16
2018-04-18,58.93
2018-04-19,57.509997999999996
2018-04-20,57.099998
2018-04-23,57.259997999999996
2018-04-24,55.130001
2018-04-25,56.029999
2018-04-26,56.639998999999996
2018-04-27,56.880001
2018-04-30,54.689999
2018-05-01,55.740002000000004
2018-05-02,54.57
2018-05-03,54.299999
2018-05-04,55.360001000000004
2018-05-07,55.02
2018-05-08,55.419998
2018-05-09,55.25
2018-05-10,55.810001
2018-05-11,56.119999
2018-05-14,56.150002
2018-05-15,55.959998999999996
2018-05-16,56.41
2018-05-17,56.990002000000004
2018-05-18,57.779999
2018-05-21,57.740002000000004
2018-05-22,56.919998
2018-05-23,57.080002
2018-05-24,56.970001
2018-05-25,57.5
2018-05-29,56.799999
2018-05-30,57.419998
2018-05-31,56.169998
2018-06-01,56.799999
2018-06-04,57.130001
2018-06-05,57.919998
2018-06-06,57.919998
2018-06-07,57.639998999999996
2018-06-08,58.52
2018-06-11,57.82
2018-06-12,57.990002000000004
2018-06-13,56.240002000000004
2018-06-14,56.799999
2018-06-15,56.869999
2018-06-18,56.0
2018-06-19,56.610001000000004
2018-06-20,56.360001000000004
2018-06-21,55.5
2018-06-22,55.25
2018-06-25,54.330002
2018-06-26,54.57
2018-06-27,53.299999
2018-06-28,53.389998999999996
2018-06-29,53.689999
2018-07-02,53.380001
2018-07-03,53.400002
2018-07-05,54.259997999999996
2018-07-06,54.549999
2018-07-09,55.220001
2018-07-10,55.189999
2018-07-11,54.400002
