Date,LBRDK
2014-11-05,48.718928999999996
2014-11-06,47.294456
2014-11-07,47.208412
2014-11-10,44.608032
2014-11-11,43.164436
2014-11-12,44.65583
2014-11-13,46.032505
2014-11-14,45.77438
2014-11-17,46.338432
2014-11-18,46.768642
2014-11-19,48.403442
2014-11-20,48.891014
2014-11-21,49.273422
2014-11-24,50.353729
2014-11-25,51.376675
2014-11-26,51.6348
2014-11-28,52.007647999999996
2014-12-01,51.414913
2014-12-02,51.778202
2014-12-03,51.108986
2014-12-04,51.347992
2014-12-05,51.529635999999996
2014-12-08,51.529635999999996
2014-12-09,51.625240000000005
2014-12-10,51.118546
2014-12-11,50.650002
2014-12-12,48.98
2014-12-15,48.240002000000004
2014-12-16,47.869999
2014-12-17,48.099998
2014-12-18,48.360001000000004
2014-12-19,49.66
2014-12-22,50.82
2014-12-23,51.470001
2014-12-24,51.02
2014-12-26,50.68
2014-12-29,50.23
2014-12-30,50.360001000000004
2014-12-31,49.82
2015-01-02,49.389998999999996
2015-01-05,48.32
2015-01-06,47.330002
2015-01-07,47.439999
2015-01-08,48.849998
2015-01-09,48.75
2015-01-12,48.900002
2015-01-13,49.75
2015-01-14,47.990002000000004
2015-01-15,48.77
2015-01-16,48.990002000000004
2015-01-20,47.330002
2015-01-21,47.009997999999996
2015-01-22,47.59
2015-01-23,47.139998999999996
2015-01-26,47.34
2015-01-27,47.189999
2015-01-28,45.599998
2015-01-29,45.189999
2015-01-30,44.400002
2015-02-02,45.189999
2015-02-03,46.939999
2015-02-04,48.669998
2015-02-05,50.950001
2015-02-06,49.990002000000004
2015-02-09,49.470001
2015-02-10,49.990002000000004
2015-02-11,49.25
2015-02-12,50.0
2015-02-13,49.82
2015-02-17,50.400002
2015-02-18,50.509997999999996
2015-02-19,50.18
2015-02-20,50.279999
2015-02-23,50.560001
2015-02-24,50.935001
2015-02-25,52.540001000000004
2015-02-26,52.200001
2015-02-27,52.060001
2015-03-02,53.060001
2015-03-03,53.790001000000004
2015-03-04,53.110001000000004
2015-03-05,52.73
2015-03-06,52.189999
2015-03-09,53.580002
2015-03-10,52.73
2015-03-11,52.799999
2015-03-12,55.84
2015-03-13,55.09
2015-03-16,55.029999
2015-03-17,54.599998
2015-03-18,54.259997999999996
2015-03-19,53.880001
2015-03-20,53.900002
2015-03-23,53.709998999999996
2015-03-24,54.560001
2015-03-25,53.860001000000004
2015-03-26,53.459998999999996
2015-03-27,53.959998999999996
2015-03-30,53.759997999999996
2015-03-31,56.599998
2015-04-01,55.48
2015-04-02,55.630001
2015-04-06,55.599998
2015-04-07,55.450001
2015-04-08,55.5
2015-04-09,55.849998
2015-04-10,56.049999
2015-04-13,55.669998
2015-04-14,55.580002
2015-04-15,55.549999
2015-04-16,55.599998
2015-04-17,54.5
2015-04-20,53.91
2015-04-21,54.529999
2015-04-22,53.650002
2015-04-23,52.970001
2015-04-24,53.34
2015-04-27,53.450001
2015-04-28,53.490002000000004
2015-04-29,54.98
2015-04-30,54.259997999999996
2015-05-01,54.110001000000004
2015-05-04,54.950001
2015-05-05,54.549999
2015-05-06,53.91
2015-05-07,53.43
2015-05-08,52.459998999999996
2015-05-11,52.299999
2015-05-12,51.59
2015-05-13,51.990002000000004
2015-05-14,51.48
2015-05-15,51.759997999999996
2015-05-18,52.349998
2015-05-19,52.799999
2015-05-20,52.639998999999996
2015-05-21,52.619999
2015-05-22,52.130001
2015-05-26,53.66
2015-05-27,53.68
2015-05-28,53.360001000000004
2015-05-29,53.48
2015-06-01,53.220001
2015-06-02,53.189999
2015-06-03,52.16
2015-06-04,52.23
2015-06-05,52.740002000000004
2015-06-08,52.119999
2015-06-09,52.259997999999996
2015-06-10,52.560001
2015-06-11,52.66
2015-06-12,52.529999
2015-06-15,51.82
2015-06-16,51.779999
2015-06-17,51.970001
2015-06-18,52.16
2015-06-19,52.040001000000004
2015-06-22,52.209998999999996
2015-06-23,51.849998
2015-06-24,50.810001
2015-06-25,50.27
2015-06-26,52.029999
2015-06-29,51.09
2015-06-30,51.16
2015-07-01,52.07
2015-07-02,51.830002
2015-07-06,51.990002000000004
