Date,URBN
1993-11-09,1.484375
1993-11-10,1.515625
1993-11-11,1.46875
1993-11-12,1.546875
1993-11-15,1.484375
1993-11-16,1.453125
1993-11-17,1.46875
1993-11-18,1.5
1993-11-19,1.484375
1993-11-22,1.4921879999999998
1993-11-23,1.515625
1993-11-24,1.65625
1993-11-26,1.835938
1993-11-29,1.890625
1993-11-30,1.859375
1993-12-01,1.9375
1993-12-02,1.9375
1993-12-03,1.84375
1993-12-06,1.75
1993-12-07,1.71875
1993-12-08,1.71875
1993-12-09,1.625
1993-12-10,1.609375
1993-12-13,1.609375
1993-12-14,1.53125
1993-12-15,1.609375
1993-12-16,1.5078129999999998
1993-12-17,1.515625
1993-12-20,1.5
1993-12-21,1.484375
1993-12-22,1.3984379999999998
1993-12-23,1.3359379999999998
1993-12-27,1.5
1993-12-28,1.5
1993-12-29,1.53125
1993-12-30,1.609375
1993-12-31,1.671875
1994-01-03,1.578125
1994-01-04,1.625
1994-01-05,1.578125
1994-01-06,1.640625
1994-01-07,1.578125
1994-01-10,1.578125
1994-01-11,1.53125
1994-01-12,1.578125
1994-01-13,1.546875
1994-01-14,1.578125
1994-01-17,1.53125
1994-01-18,1.5546879999999998
1994-01-19,1.5
1994-01-20,1.5
1994-01-21,1.46875
1994-01-24,1.4375
1994-01-25,1.421875
1994-01-26,1.40625
1994-01-27,1.515625
1994-01-28,1.609375
1994-01-31,1.625
1994-02-01,1.578125
1994-02-02,1.578125
1994-02-03,1.546875
1994-02-04,1.4375
1994-02-07,1.421875
1994-02-08,1.4375
1994-02-09,1.515625
1994-02-10,1.546875
1994-02-11,1.5625
1994-02-14,1.578125
1994-02-15,1.6015629999999998
1994-02-16,1.703125
1994-02-17,1.695313
1994-02-18,1.625
1994-02-22,1.625
1994-02-23,1.6171879999999998
1994-02-24,1.59375
1994-02-25,1.578125
1994-02-28,1.625
1994-03-01,1.59375
1994-03-02,1.578125
1994-03-03,1.546875
1994-03-04,1.578125
1994-03-07,1.59375
1994-03-08,1.578125
1994-03-09,1.53125
1994-03-10,1.484375
1994-03-11,1.53125
1994-03-14,1.59375
1994-03-15,1.640625
1994-03-16,1.59375
1994-03-17,1.6875
1994-03-18,1.703125
1994-03-21,1.65625
