Date,IDWM
2010-04-05,5.0
2010-04-06,5.0
2010-04-07,5.0
2010-04-08,5.0
2010-04-09,5.0
2010-04-12,5.08
2010-04-13,5.0
2010-04-14,4.98
2010-04-15,5.0
2010-04-16,5.0
2010-04-19,4.92
2010-04-20,4.86
2010-04-21,4.8
2010-04-22,5.0
2010-04-23,5.0
2010-04-26,5.0
2010-04-27,5.1
2010-04-28,5.1
2010-04-29,5.1
2010-04-30,4.9
2010-05-03,5.0
2010-05-04,4.8
2010-05-05,4.8
2010-05-06,4.8
2010-05-07,4.8
2010-05-10,5.0
2010-05-11,5.0
2010-05-12,5.0
2010-05-13,5.0
2010-05-14,5.0
2010-05-17,5.0
2010-05-18,5.0
2010-05-19,5.02
2010-05-20,5.0
2010-05-21,5.0
2010-05-24,5.0
2010-05-25,5.0
2010-05-26,5.5
2010-05-27,5.5
2010-05-28,5.5
2010-06-01,5.4
2010-06-02,5.1
2010-06-03,5.1
2010-06-04,5.1
2010-06-07,5.16
2010-06-08,5.16
2010-06-09,5.16
2010-06-10,5.0
2010-06-11,5.0
2010-06-14,5.0
2010-06-15,5.18
2010-06-16,5.18
2010-06-17,5.08
2010-06-18,4.8
2010-06-21,5.0
2010-06-22,5.0
2010-06-23,5.0
2010-06-24,4.8
2010-06-25,5.0
2010-06-28,4.48
2010-06-29,4.2
2010-06-30,4.5
2010-07-01,4.32
2010-07-02,4.9
2010-07-06,4.9
2010-07-07,4.9
2010-07-08,4.9
2010-07-09,4.9
2010-07-12,4.9
2010-07-13,4.9
2010-07-14,5.0
2010-07-15,4.9
2010-07-16,4.9
2010-07-19,4.9
2010-07-20,4.9
2010-07-21,4.9
2010-07-22,4.9
2010-07-23,4.9
2010-07-26,4.9
2010-07-27,5.0
2010-07-28,5.0
2010-07-29,5.0
2010-07-30,4.4
2010-08-02,5.0
2010-08-03,5.18
2010-08-04,5.18
2010-08-05,5.18
2010-08-06,5.18
2010-08-09,5.0
2010-08-10,5.0
2010-08-11,4.4
2010-08-12,4.4
2010-08-13,4.4
2010-08-16,4.0
2010-08-17,4.2
2010-08-18,4.2
2010-08-19,4.2
2010-08-20,4.2
2010-08-23,4.22
2010-08-24,4.22
2010-08-25,4.2
2010-08-26,4.22
2010-08-27,4.22
2010-08-30,4.22
2010-08-31,4.2
2010-09-01,4.2
2010-09-02,4.5
2010-09-03,4.22
2010-09-07,4.22
2010-09-08,4.3
2010-09-09,4.3
2010-09-10,4.5
2010-09-13,4.5
2010-09-14,4.5
2010-09-15,4.3
2010-09-16,4.32
2010-09-17,4.32
2010-09-20,4.22
2010-09-21,4.22
2010-09-22,4.3
2010-09-23,4.22
2010-09-24,4.22
2010-09-27,4.22
2010-09-28,4.2
2010-09-29,4.0
2010-09-30,4.0
2010-10-01,4.0
2010-10-04,4.0
2010-10-05,4.0
2010-10-06,4.0
2010-10-07,4.0
2010-10-08,4.0
2010-10-11,4.0
2010-10-12,4.0
2010-10-13,4.0
2010-10-14,4.1
2010-10-15,4.2
2010-10-18,4.4
2010-10-19,4.4
2010-10-20,4.4
2010-10-21,4.42
2010-10-22,4.42
2010-10-25,4.7
2010-10-26,4.96
2010-10-27,4.84
2010-10-28,5.2
2010-10-29,5.0
2010-11-01,5.0
2010-11-02,4.86
2010-11-03,5.0
2010-11-04,4.86
2010-11-05,4.86
2010-11-08,4.86
2010-11-09,4.8
2010-11-10,5.5
2010-11-11,5.0
2010-11-12,5.0
2010-11-15,4.62
2010-11-16,4.62
2010-11-17,4.12
2010-11-18,5.2
2010-11-19,4.3
2010-11-22,4.3
2010-11-23,4.4
2010-11-24,4.8
2010-11-26,5.0
2010-11-29,4.26
2010-11-30,4.26
2010-12-01,4.3
2010-12-02,4.3
2010-12-03,4.26
2010-12-06,4.2
2010-12-07,4.32
2010-12-08,4.32
2010-12-09,4.26
2010-12-10,4.26
2010-12-13,4.5
2010-12-14,4.5
2010-12-15,4.4
2010-12-16,4.4
2010-12-17,4.4
2010-12-20,4.32
2010-12-21,4.32
2010-12-22,4.4
