Date,KRNY
2005-02-24,8.251231
2005-02-25,8.193277
2005-02-28,8.178789
2005-03-01,8.272964
2005-03-02,8.280209
2005-03-03,8.330917999999999
2005-03-04,8.46856
2005-03-07,8.656911000000001
2005-03-08,8.656911000000001
2005-03-09,8.512025999999999
2005-03-10,8.432339
2005-03-11,8.425094999999999
2005-03-14,8.46856
2005-03-15,8.432339
2005-03-16,8.258476
2005-03-17,8.200521
2005-03-18,8.258476
2005-03-21,8.272964
2005-03-22,8.099102
2005-03-23,8.026659
2005-03-24,8.062880999999999
2005-03-28,8.077369000000001
2005-03-29,8.330917999999999
2005-03-30,8.309186
2005-03-31,8.055636
2005-04-01,8.041147
2005-04-04,7.990438
2005-04-05,8.012171
2005-04-06,7.867285000000001
2005-04-07,7.816575
2005-04-08,7.751377000000001
2005-04-11,7.715155
2005-04-12,7.534047999999999
2005-04-13,7.425383999999999
2005-04-14,7.425383999999999
2005-04-15,7.31672
2005-04-18,7.541291999999999
2005-04-19,7.961461
2005-04-20,7.693422
2005-04-21,7.758621000000001
2005-04-22,7.606491
2005-04-25,7.628224
2005-04-26,7.483338000000001
2005-04-27,7.541291999999999
2005-04-28,7.4471169999999995
2005-04-29,7.526803999999999
2005-05-02,7.606491
2005-05-03,7.432628
2005-05-04,7.548537
2005-05-05,7.599247
2005-05-06,7.678934
2005-05-09,7.729642999999999
2005-05-10,7.628224
2005-05-11,7.490582000000001
2005-05-12,7.439872
2005-05-13,7.432628
2005-05-16,7.577514
2005-05-17,7.707911
2005-05-18,7.787598
2005-05-19,7.700666
2005-05-20,7.773109
2005-05-23,7.678934
2005-05-24,7.606491
2005-05-25,7.57027
2005-05-26,7.606491
2005-05-27,7.6427119999999995
2005-05-31,7.599247
2005-06-01,7.773109
2005-06-02,7.7441320000000005
2005-06-03,7.729642999999999
2005-06-06,7.831063
2005-06-07,7.729642999999999
2005-06-08,7.722399
2005-06-09,7.816575
2005-06-10,7.8527960000000006
2005-06-13,7.860041000000001
2005-06-14,7.896261999999999
2005-06-15,7.932483
2005-06-16,8.004926
2005-06-17,8.149811999999999
2005-06-20,8.193277
2005-06-21,8.41785
2005-06-22,8.526514
2005-06-23,8.483048
2005-06-24,8.656911000000001
2005-06-27,8.591713
2005-06-28,8.620689
2005-06-29,8.598957
2005-06-30,8.548247
2005-07-01,8.598957
2005-07-05,8.620689
2005-07-06,8.613445
2005-07-07,8.627934
2005-07-08,8.685888
2005-07-11,8.823528999999999
2005-07-12,8.758331
2005-07-13,8.693132
2005-07-14,8.627934
2005-07-15,8.6714
2005-07-18,8.533758
2005-07-19,8.555491
2005-07-20,8.678644
2005-07-21,8.598957
2005-07-22,8.693132
2005-07-25,8.584468
2005-07-26,8.598957
2005-07-27,8.613445
2005-07-28,8.649666999999999
2005-07-29,8.620689
2005-08-01,8.685888
2005-08-02,8.584468
2005-08-03,8.541002
2005-08-04,8.483048
2005-08-05,8.446827
2005-08-08,8.41785
2005-08-09,8.374384
2005-08-10,8.36714
2005-08-11,8.46856
2005-08-12,8.439583
2005-08-15,8.475804
2005-08-16,8.36714
2005-08-17,8.475804
2005-08-18,8.439583
2005-08-19,8.425094999999999
2005-08-22,8.461314999999999
2005-08-23,8.439583
2005-08-24,8.439583
2005-08-25,8.454071
2005-08-26,8.388873
2005-08-29,8.330917999999999
2005-08-30,8.512025999999999
2005-08-31,8.700377
2005-09-01,8.765575
2005-09-02,8.649666999999999
2005-09-06,8.823528999999999
2005-09-07,8.852507000000001
2005-09-08,8.838018
2005-09-09,8.859751
2005-09-12,9.229208999999999
2005-09-13,9.185742999999999
2005-09-14,9.055346
2005-09-15,9.040857
2005-09-16,9.185742999999999
2005-09-19,9.192986999999999
2005-09-20,9.011880999999999
2005-09-21,8.903216
2005-09-22,8.823528999999999
2005-09-23,8.91046
2005-09-26,9.055346
2005-09-27,9.019125
2005-09-28,8.895972
2005-09-29,8.975659
2005-09-30,9.055346
2005-10-03,9.040857
2005-10-04,8.961171
2005-10-05,8.743841999999999
2005-10-06,8.627934
2005-10-07,8.41785
2005-10-10,8.403361
2005-10-11,8.091857000000001
2005-10-12,7.946972
2005-10-13,8.222255
2005-10-14,8.229499
2005-10-17,8.323674
2005-10-18,8.193277
2005-10-19,8.36714
2005-10-20,8.200521
2005-10-21,8.31643
2005-10-24,8.36714
2005-10-25,8.338161999999999
2005-10-26,8.31643
2005-10-27,8.091857000000001
2005-10-28,8.309186
2005-10-31,8.533758
2005-11-01,8.352652
2005-11-02,8.548247
2005-11-03,8.541002
2005-11-04,8.635178999999999
2005-11-07,8.562736
2005-11-08,8.497537
2005-11-09,8.780064
2005-11-10,9.004636999999999
2005-11-11,9.048102
2005-11-14,8.874239
2005-11-15,8.866995
2005-11-16,8.823528999999999
2005-11-17,9.048102
2005-11-18,9.069835000000001
2005-11-21,9.077079
