Date,SNAP
2017-03-02,24.48
2017-03-03,27.09
2017-03-06,23.77
2017-03-07,21.440001000000002
2017-03-08,22.809998999999998
2017-03-09,22.709999
2017-03-10,22.07
2017-03-13,21.09
2017-03-14,20.58
2017-03-15,20.77
2017-03-16,19.889999
2017-03-17,19.540001
2017-03-20,19.93
2017-03-21,20.379998999999998
2017-03-22,21.82
2017-03-23,23.129998999999998
2017-03-24,22.74
2017-03-27,23.83
2017-03-28,22.209999
2017-03-29,22.549999
2017-03-30,22.23
2017-03-31,22.530001000000002
2017-04-03,22.35
2017-04-04,22.139999
2017-04-05,20.700001
2017-04-06,20.57
2017-04-07,20.82
2017-04-10,20.969998999999998
2017-04-11,20.700001
2017-04-12,20.219998999999998
2017-04-13,20.190001000000002
2017-04-17,19.940001000000002
2017-04-18,20.549999
2017-04-19,20.620001000000002
2017-04-20,21.15
2017-04-21,20.93
2017-04-24,21.200001
2017-04-25,21.34
2017-04-26,21.58
2017-04-27,22.01
2017-04-28,22.549999
2017-05-01,22.209999
2017-05-02,21.99
2017-05-03,21.82
2017-05-04,22.59
2017-05-05,23.190001000000002
2017-05-08,22.459999
2017-05-09,23.32
2017-05-10,22.98
2017-05-11,18.049999
2017-05-12,19.139999
2017-05-15,20.74
2017-05-16,20.780001000000002
2017-05-17,19.9
2017-05-18,20.27
2017-05-19,20.0
2017-05-22,20.08
2017-05-23,20.030001000000002
2017-05-24,20.530001000000002
2017-05-25,21.93
2017-05-26,21.219998999999998
2017-05-30,21.450001
2017-05-31,21.209999
2017-06-01,21.34
2017-06-02,21.09
2017-06-05,20.209999
2017-06-06,20.360001
2017-06-07,19.559998999999998
2017-06-08,18.85
2017-06-09,18.08
2017-06-12,18.200001
2017-06-13,18.1
2017-06-14,17.879998999999998
2017-06-15,17.0
2017-06-16,17.540001
2017-06-19,17.879998999999998
2017-06-20,17.309998999999998
2017-06-21,17.27
2017-06-22,17.639999
2017-06-23,17.540001
2017-06-26,17.290001
2017-06-27,17.34
2017-06-28,17.76
2017-06-29,17.889999
