Date,AROC
2007-08-21,78.5
2007-08-22,78.25
2007-08-23,76.25
2007-08-24,77.120003
2007-08-27,75.370003
2007-08-28,75.400002
2007-08-29,77.33000200000001
2007-08-30,77.43
2007-08-31,77.5
2007-09-04,79.099998
2007-09-05,79.349998
2007-09-06,79.489998
2007-09-07,77.550003
2007-09-10,78.33000200000001
2007-09-11,78.980003
2007-09-12,78.809998
2007-09-13,79.410004
2007-09-14,78.93
2007-09-17,77.050003
2007-09-18,78.370003
2007-09-19,78.389999
2007-09-20,78.0
2007-09-21,79.5
2007-09-24,78.449997
2007-09-25,78.769997
2007-09-26,78.25
2007-09-27,79.989998
2007-09-28,80.339996
2007-10-01,82.58000200000001
2007-10-02,84.980003
2007-10-03,84.58000200000001
2007-10-04,83.0
2007-10-05,83.199997
2007-10-08,83.400002
2007-10-09,84.699997
2007-10-10,87.879997
2007-10-11,88.949997
2007-10-12,86.849998
2007-10-15,86.660004
2007-10-16,85.730003
2007-10-17,85.650002
2007-10-18,85.620003
2007-10-19,82.300003
2007-10-22,82.050003
2007-10-23,85.0
2007-10-24,84.879997
2007-10-25,85.25
2007-10-26,85.5
2007-10-29,84.800003
2007-10-30,83.290001
2007-10-31,84.199997
2007-11-01,82.269997
2007-11-02,83.300003
2007-11-05,84.489998
2007-11-06,88.510002
2007-11-07,87.0
2007-11-08,86.900002
2007-11-09,87.629997
2007-11-12,85.199997
2007-11-13,87.33000200000001
2007-11-14,86.629997
2007-11-15,84.370003
2007-11-16,84.949997
2007-11-19,81.32
2007-11-20,81.860001
2007-11-21,82.08000200000001
2007-11-23,83.58000200000001
2007-11-26,81.139999
2007-11-27,80.099998
2007-11-28,81.160004
2007-11-29,81.010002
2007-11-30,80.040001
2007-12-03,79.440002
2007-12-04,77.160004
2007-12-05,77.889999
2007-12-06,80.25
2007-12-07,80.83000200000001
2007-12-10,81.82
2007-12-11,79.949997
2007-12-12,82.599998
2007-12-13,81.309998
2007-12-14,78.300003
2007-12-17,76.32
2007-12-18,77.400002
2007-12-19,75.949997
2007-12-20,77.889999
2007-12-21,81.230003
2007-12-24,81.82
2007-12-26,82.93
2007-12-27,80.900002
2007-12-28,81.989998
2007-12-31,81.800003
2008-01-02,81.41999799999999
2008-01-03,80.550003
2008-01-04,78.629997
2008-01-07,78.059998
2008-01-08,76.949997
2008-01-09,75.900002
2008-01-10,76.239998
2008-01-11,76.400002
2008-01-14,77.660004
2008-01-15,75.709999
2008-01-16,73.0
2008-01-17,66.860001
2008-01-18,67.129997
2008-01-22,65.300003
2008-01-23,67.050003
2008-01-24,68.75
2008-01-25,67.800003
2008-01-28,69.0
2008-01-29,68.529999
2008-01-30,65.550003
2008-01-31,65.41999799999999
2008-02-01,67.120003
2008-02-04,69.08000200000001
2008-02-05,66.5
2008-02-06,65.120003
2008-02-07,66.08000200000001
2008-02-08,67.639999
2008-02-11,69.089996
2008-02-12,69.220001
2008-02-13,71.610001
2008-02-14,70.339996
2008-02-15,70.529999
2008-02-19,71.82
2008-02-20,71.400002
2008-02-21,68.43
2008-02-22,66.449997
2008-02-25,66.160004
2008-02-26,68.290001
2008-02-27,70.199997
2008-02-28,72.019997
2008-02-29,69.650002
2008-03-03,68.209999
2008-03-04,67.300003
2008-03-05,68.040001
2008-03-06,66.150002
2008-03-07,65.029999
2008-03-10,65.08000200000001
2008-03-11,67.5
2008-03-12,66.360001
2008-03-13,67.150002
2008-03-14,65.91999799999999
2008-03-17,63.099998
2008-03-18,64.0
2008-03-19,61.41
2008-03-20,60.189999
2008-03-24,60.16
2008-03-25,61.049999
2008-03-26,61.669998
2008-03-27,64.190002
2008-03-28,63.59
2008-03-31,64.540001
2008-04-01,64.360001
2008-04-02,64.099998
2008-04-03,65.959999
2008-04-04,67.019997
2008-04-07,67.029999
2008-04-08,67.610001
2008-04-09,64.699997
2008-04-10,65.349998
2008-04-11,64.0
2008-04-14,63.299999
2008-04-15,64.16999799999999
2008-04-16,65.349998
2008-04-17,66.459999
2008-04-18,69.489998
2008-04-21,69.43
2008-04-22,67.459999
2008-04-23,65.769997
2008-04-24,65.370003
2008-04-25,66.25
2008-04-28,67.25
2008-04-29,66.389999
2008-04-30,66.790001
2008-05-01,66.540001
2008-05-02,66.550003
2008-05-05,67.209999
2008-05-06,68.730003
2008-05-07,69.139999
2008-05-08,72.910004
2008-05-09,74.139999
2008-05-12,73.110001
2008-05-13,74.480003
2008-05-14,73.480003
2008-05-15,74.709999
2008-05-16,74.18
2008-05-19,74.400002
2008-05-20,75.900002
2008-05-21,75.699997
2008-05-22,73.470001
2008-05-23,72.239998
2008-05-27,71.690002
2008-05-28,74.620003
2008-05-29,74.309998
2008-05-30,73.519997
2008-06-02,72.089996
2008-06-03,69.970001
2008-06-04,70.07
2008-06-05,71.620003
2008-06-06,72.349998
2008-06-09,72.66999799999999
2008-06-10,72.029999
2008-06-11,70.699997
2008-06-12,70.709999
2008-06-13,71.32
2008-06-16,72.0
2008-06-17,74.089996
2008-06-18,74.519997
2008-06-19,73.870003
2008-06-20,72.160004
2008-06-23,74.43
2008-06-24,72.5
2008-06-25,73.25
2008-06-26,71.989998
2008-06-27,72.849998
2008-06-30,71.489998
2008-07-01,71.690002
2008-07-02,68.370003
2008-07-03,67.900002
2008-07-07,66.410004
2008-07-08,66.589996
2008-07-09,65.18
2008-07-10,67.5
2008-07-11,66.199997
2008-07-14,66.599998
2008-07-15,63.98
2008-07-16,63.209998999999996
2008-07-17,63.119999
2008-07-18,61.790001000000004
2008-07-21,63.610001000000004
2008-07-22,61.970001
2008-07-23,61.52
2008-07-24,58.990002000000004
2008-07-25,58.860001000000004
2008-07-28,58.650002
2008-07-29,57.540001000000004
2008-07-30,57.029999
2008-07-31,56.439999
2008-08-01,56.380001
2008-08-04,55.470001
2008-08-05,55.419998
2008-08-06,49.709998999999996
2008-08-07,48.639998999999996
2008-08-08,48.900002
2008-08-11,48.779999
2008-08-12,47.860001000000004
2008-08-13,48.830002
2008-08-14,49.0
2008-08-15,48.77
2008-08-18,47.209998999999996
2008-08-19,47.75
2008-08-20,48.200001
2008-08-21,49.400002
2008-08-22,47.5
2008-08-25,46.970001
2008-08-26,48.34
2008-08-27,48.490002000000004
2008-08-28,47.450001
2008-08-29,45.709998999999996
2008-09-02,43.25
2008-09-03,43.790001000000004
2008-09-04,43.650002
2008-09-05,43.5
2008-09-08,42.560001
2008-09-09,39.959998999999996
2008-09-10,40.299999
2008-09-11,40.369999
2008-09-12,40.099998
2008-09-15,36.849998
2008-09-16,37.0
2008-09-17,36.0
2008-09-18,36.900002
2008-09-19,40.150002
2008-09-22,39.139998999999996
2008-09-23,37.25
2008-09-24,36.009997999999996
2008-09-25,35.5
2008-09-26,34.790001000000004
2008-09-29,31.82
2008-09-30,31.959999
2008-10-01,30.68
2008-10-02,26.92
2008-10-03,26.15
2008-10-06,24.959999
2008-10-07,23.33
2008-10-08,23.629998999999998
2008-10-09,22.16
2008-10-10,20.450001
2008-10-13,25.059998999999998
2008-10-14,24.67
2008-10-15,20.01
2008-10-16,21.32
2008-10-17,21.4
2008-10-20,24.700001
2008-10-21,22.809998999999998
2008-10-22,19.860001
2008-10-23,19.059998999999998
2008-10-24,19.07
2008-10-27,16.43
2008-10-28,17.75
2008-10-29,19.120001000000002
2008-10-30,21.469998999999998
2008-10-31,22.41
2008-11-03,21.790001
2008-11-04,23.360001
2008-11-05,22.77
2008-11-06,20.549999
2008-11-07,20.26
2008-11-10,19.25
2008-11-11,18.200001
2008-11-12,16.0
2008-11-13,19.219998999999998
2008-11-14,17.34
2008-11-17,16.84
2008-11-18,17.209999
2008-11-19,14.95
2008-11-20,12.49
2008-11-21,13.52
2008-11-24,15.5
2008-11-25,14.9
2008-11-26,17.09
2008-11-28,17.549999
2008-12-01,15.85
2008-12-02,16.52
2008-12-03,17.65
2008-12-04,17.370001000000002
2008-12-05,18.84
2008-12-08,18.879998999999998
2008-12-09,18.950001
2008-12-10,19.98
2008-12-11,19.110001
2008-12-12,20.01
2008-12-15,19.84
2008-12-16,21.559998999999998
2008-12-17,22.07
2008-12-18,20.24
2008-12-19,20.66
2008-12-22,19.27
2008-12-23,19.65
2008-12-24,18.84
2008-12-26,19.5
2008-12-29,19.82
2008-12-30,20.549999
2008-12-31,21.299999
2009-01-02,22.959999
2009-01-05,24.629998999999998
2009-01-06,26.799999
2009-01-07,25.280001000000002
2009-01-08,25.709999
2009-01-09,24.0
2009-01-12,22.780001000000002
2009-01-13,23.690001000000002
2009-01-14,22.049999
2009-01-15,21.950001
2009-01-16,22.780001000000002
2009-01-20,20.74
2009-01-21,21.440001000000002
