Date,COR
2010-09-23,16.01
2010-09-24,16.25
2010-09-27,16.0
2010-09-28,15.98
2010-09-29,16.42
2010-09-30,16.389999
2010-10-01,16.280001000000002
2010-10-04,16.07
2010-10-05,16.02
2010-10-06,15.3
2010-10-07,15.58
2010-10-08,15.69
2010-10-11,15.64
2010-10-12,15.6
2010-10-13,15.55
2010-10-14,15.35
2010-10-15,15.47
2010-10-18,15.4
2010-10-19,15.29
2010-10-20,15.18
2010-10-21,15.13
2010-10-22,15.05
2010-10-25,15.0
2010-10-26,14.89
2010-10-27,14.65
2010-10-28,14.79
2010-10-29,15.06
2010-11-01,15.02
2010-11-02,15.3
2010-11-03,15.21
2010-11-04,14.68
2010-11-05,14.54
2010-11-08,14.09
2010-11-09,14.0
2010-11-10,13.96
2010-11-11,13.8
2010-11-12,13.05
2010-11-15,13.14
2010-11-16,13.08
2010-11-17,13.25
2010-11-18,13.26
2010-11-19,13.19
2010-11-22,13.16
2010-11-23,13.0
2010-11-24,12.97
2010-11-26,12.96
2010-11-29,12.87
2010-11-30,12.88
2010-12-01,13.0
2010-12-02,13.16
2010-12-03,13.38
2010-12-06,13.56
2010-12-07,13.38
2010-12-08,12.99
2010-12-09,13.01
2010-12-10,13.12
2010-12-13,13.36
2010-12-14,13.05
2010-12-15,12.98
2010-12-16,13.01
2010-12-17,12.58
2010-12-20,13.0
2010-12-21,13.6
2010-12-22,13.78
2010-12-23,13.57
2010-12-27,13.7
2010-12-28,13.75
2010-12-29,13.62
2010-12-30,13.61
2010-12-31,13.64
2011-01-03,14.03
2011-01-04,13.35
2011-01-05,13.62
2011-01-06,13.58
2011-01-07,13.81
2011-01-10,13.95
2011-01-11,14.2
2011-01-12,14.12
2011-01-13,14.32
2011-01-14,14.03
2011-01-18,14.63
2011-01-19,14.48
2011-01-20,14.32
2011-01-21,14.27
2011-01-24,14.37
2011-01-25,14.39
2011-01-26,14.56
2011-01-27,14.62
2011-01-28,14.35
2011-01-31,14.37
2011-02-01,14.32
2011-02-02,14.28
2011-02-03,14.35
2011-02-04,14.35
2011-02-07,14.59
2011-02-08,14.75
2011-02-09,14.84
2011-02-10,14.77
2011-02-11,14.92
2011-02-14,14.82
2011-02-15,14.7
2011-02-16,14.73
2011-02-17,14.81
2011-02-18,15.11
2011-02-22,14.97
2011-02-23,14.92
2011-02-24,14.98
2011-02-25,15.49
2011-02-28,15.54
2011-03-01,15.31
2011-03-02,15.05
2011-03-03,15.35
2011-03-04,15.32
2011-03-07,15.19
2011-03-08,15.45
2011-03-09,15.29
2011-03-10,14.9
2011-03-11,15.23
2011-03-14,15.02
2011-03-15,14.81
2011-03-16,14.77
2011-03-17,14.91
2011-03-18,15.48
2011-03-21,16.040001
2011-03-22,15.91
2011-03-23,15.77
2011-03-24,15.77
2011-03-25,15.72
2011-03-28,15.88
2011-03-29,15.64
2011-03-30,15.77
2011-03-31,15.84
2011-04-01,15.88
2011-04-04,15.93
2011-04-05,15.88
2011-04-06,16.0
2011-04-07,16.040001
2011-04-08,15.85
2011-04-11,15.5
2011-04-12,15.15
2011-04-13,15.24
2011-04-14,15.45
2011-04-15,15.56
2011-04-18,15.09
2011-04-19,15.33
2011-04-20,15.25
2011-04-21,15.46
2011-04-25,15.29
2011-04-26,15.33
2011-04-27,15.39
2011-04-28,15.71
2011-04-29,15.79
2011-05-02,15.82
2011-05-03,16.049999
2011-05-04,15.56
2011-05-05,15.4
2011-05-06,15.6
2011-05-09,15.82
2011-05-10,16.25
2011-05-11,16.190001000000002
2011-05-12,16.549999
2011-05-13,16.6
2011-05-16,16.27
2011-05-17,16.709999
2011-05-18,16.68
2011-05-19,16.709999
2011-05-20,16.629998999999998
2011-05-23,16.59
2011-05-24,16.610001
2011-05-25,16.889999
2011-05-26,16.92
2011-05-27,16.950001
2011-05-31,17.700001
2011-06-01,17.129998999999998
2011-06-02,16.75
2011-06-03,16.75
2011-06-06,16.75
2011-06-07,16.76
2011-06-08,16.77
2011-06-09,16.799999
2011-06-10,16.629998999999998
2011-06-13,16.32
2011-06-14,16.51
2011-06-15,15.91
2011-06-16,16.049999
2011-06-17,16.07
2011-06-20,16.049999
2011-06-21,16.26
2011-06-22,16.190001000000002
2011-06-23,16.110001
2011-06-24,16.700001
2011-06-27,16.309998999999998
2011-06-28,16.27
2011-06-29,16.299999
2011-06-30,16.4
2011-07-01,16.5
2011-07-05,16.690001000000002
2011-07-06,17.209999
2011-07-07,17.639999
2011-07-08,17.459999
2011-07-11,17.1
2011-07-12,17.33
2011-07-13,17.35
2011-07-14,17.35
2011-07-15,17.33
2011-07-18,17.440001000000002
2011-07-19,17.469998999999998
2011-07-20,17.450001
2011-07-21,17.469998999999998
2011-07-22,17.379998999999998
2011-07-25,17.51
2011-07-26,17.73
2011-07-27,17.16
2011-07-28,16.9
2011-07-29,16.84
2011-08-01,16.889999
2011-08-02,16.41
2011-08-03,16.08
2011-08-04,15.98
2011-08-05,15.36
2011-08-08,13.88
2011-08-09,15.26
2011-08-10,15.01
2011-08-11,15.99
2011-08-12,15.96
2011-08-15,16.620001000000002
2011-08-16,16.389999
2011-08-17,16.57
2011-08-18,15.28
2011-08-19,15.16
2011-08-22,15.03
2011-08-23,15.85
2011-08-24,15.98
2011-08-25,15.4
2011-08-26,15.7
2011-08-29,15.98
2011-08-30,15.96
2011-08-31,16.1
2011-09-01,15.95
2011-09-02,15.14
2011-09-06,15.17
2011-09-07,15.83
2011-09-08,15.82
2011-09-09,15.14
2011-09-12,15.21
2011-09-13,15.09
2011-09-14,15.35
2011-09-15,15.6
2011-09-16,16.07
2011-09-19,15.26
2011-09-20,15.24
2011-09-21,14.64
2011-09-22,13.94
2011-09-23,14.19
2011-09-26,14.23
2011-09-27,15.05
2011-09-28,14.46
2011-09-29,14.87
2011-09-30,14.35
2011-10-03,13.0
2011-10-04,14.72
2011-10-05,13.78
2011-10-06,14.35
2011-10-07,13.92
2011-10-10,14.3
2011-10-11,14.18
2011-10-12,14.54
2011-10-13,14.45
2011-10-14,14.65
2011-10-17,14.38
2011-10-18,14.72
2011-10-19,14.5
2011-10-20,14.53
2011-10-21,15.14
2011-10-24,15.53
2011-10-25,15.0
2011-10-26,15.08
2011-10-27,16.209999
2011-10-28,16.43
2011-10-31,16.65
2011-11-01,15.55
2011-11-02,15.86
2011-11-03,16.99
2011-11-04,16.9
2011-11-07,17.0
2011-11-08,17.02
2011-11-09,15.79
2011-11-10,15.91
2011-11-11,16.389999
2011-11-14,16.02
2011-11-15,16.540001
2011-11-16,16.4
2011-11-17,16.41
2011-11-18,16.57
2011-11-21,16.280001000000002
2011-11-22,16.200001
