Date,NVZMY
2010-01-20,21.16
2010-01-21,21.16
2010-01-22,20.65
2010-01-25,20.9
2010-01-26,20.9
2010-01-27,20.9
2010-01-28,20.629998999999998
2010-01-29,20.629998999999998
2010-02-01,20.584
2010-02-02,20.48
2010-02-03,20.49
2010-02-04,19.75
2010-02-05,19.75
2010-02-08,19.18
2010-02-09,20.120001000000002
2010-02-10,19.32
2010-02-11,19.360001
2010-02-12,19.51
2010-02-16,20.780001000000002
2010-02-17,20.780001000000002
2010-02-18,20.448
2010-02-19,20.16
2010-02-22,20.35
2010-02-23,20.4
2010-02-24,20.26
2010-02-25,20.17
2010-02-26,20.67
2010-03-01,20.65
2010-03-02,20.84
2010-03-03,21.653999
2010-03-04,21.27
2010-03-05,21.559998999999998
2010-03-08,21.559998999999998
2010-03-09,21.450001
2010-03-10,21.450001
2010-03-11,21.6
2010-03-12,21.742001000000002
2010-03-15,21.700001
2010-03-16,22.33
2010-03-17,22.1
2010-03-18,21.982
2010-03-19,21.771998999999997
2010-03-22,21.459999
2010-03-23,21.846001
2010-03-24,21.846001
2010-03-25,21.846001
2010-03-26,21.846001
2010-03-29,21.846001
2010-03-30,21.846001
2010-03-31,22.35
2010-04-01,22.35
2010-04-05,22.35
2010-04-06,22.700001
2010-04-07,22.700001
2010-04-08,22.65
2010-04-09,22.65
2010-04-12,22.65
2010-04-13,22.65
2010-04-14,23.0
2010-04-15,22.549999
2010-04-16,22.549999
2010-04-19,22.27
2010-04-20,22.0
2010-04-21,22.636
2010-04-22,22.313999
2010-04-23,22.782
2010-04-26,22.65
2010-04-27,22.26
2010-04-28,21.52
2010-04-29,24.08
2010-04-30,24.200001
2010-05-03,23.549999
2010-05-04,22.799999
2010-05-05,21.75
2010-05-06,22.25
2010-05-07,21.08
2010-05-10,22.52
2010-05-11,21.799999
2010-05-12,22.299999
2010-05-13,21.809998999999998
2010-05-14,21.950001
2010-05-17,21.620001000000002
2010-05-18,22.384001
2010-05-19,21.566
2010-05-20,20.889999
2010-05-21,21.299999
2010-05-24,21.299999
2010-05-25,20.938
2010-05-26,21.41
2010-05-27,22.115999
2010-05-28,21.455999
2010-06-01,20.99
2010-06-02,21.0
2010-06-03,21.85
2010-06-04,20.620001000000002
2010-06-07,20.620001000000002
2010-06-08,21.138
2010-06-09,21.138
2010-06-10,22.200001
2010-06-11,22.143998999999997
2010-06-14,22.93
2010-06-15,22.9
2010-06-16,22.700001
2010-06-17,22.700001
2010-06-18,22.950001
2010-06-21,22.950001
2010-06-22,22.950001
2010-06-23,22.799999
2010-06-24,22.6
2010-06-25,22.15
2010-06-28,22.15
2010-06-29,21.0
2010-06-30,21.35
2010-07-01,21.35
2010-07-02,21.35
2010-07-06,21.35
2010-07-07,22.15
2010-07-08,22.299999
2010-07-09,22.299999
2010-07-12,22.299999
2010-07-13,22.299999
2010-07-14,23.4
2010-07-15,23.4
2010-07-16,24.049999
2010-07-19,24.07
2010-07-20,24.07
2010-07-21,23.714001
2010-07-22,24.16
2010-07-23,24.5
2010-07-26,24.799999
2010-07-27,25.35
2010-07-28,25.190001000000002
2010-07-29,25.549999
2010-07-30,25.68
2010-08-02,26.378
2010-08-03,26.5
2010-08-04,26.75
2010-08-05,25.700001
2010-08-06,25.959999
2010-08-09,26.02
2010-08-10,25.896
2010-08-11,24.813999
2010-08-12,24.851999
2010-08-13,24.08
2010-08-16,24.0
2010-08-17,25.285999
2010-08-18,25.062
2010-08-19,24.85
2010-08-20,24.5
