Date,YUM
1997-09-17,5.234543
1997-09-18,5.41427
1997-09-19,5.436736
1997-09-22,5.391805000000001
1997-09-23,5.391805000000001
1997-09-24,5.391805000000001
1997-09-25,5.470435
1997-09-26,5.605230000000001
1997-09-29,5.68386
1997-09-30,5.818655000000001
1997-10-01,5.571530999999999
1997-10-02,5.549066000000001
1997-10-03,5.627696
1997-10-06,5.751258
1997-10-07,5.593997
1997-10-08,5.5153669999999995
1997-10-09,5.740025
1997-10-10,5.672626999999999
1997-10-13,5.762491000000001
1997-10-14,5.728791999999999
1997-10-15,5.706326
1997-10-16,5.706326
1997-10-17,5.605230000000001
1997-10-20,5.79619
1997-10-21,6.032081
1997-10-22,5.930985
1997-10-23,5.930985
1997-10-24,5.930985
1997-10-27,5.593997
1997-10-28,5.560298
1997-10-29,5.4479690000000005
1997-10-30,5.301941
1997-10-31,5.4479690000000005
1997-11-03,5.481668
1997-11-04,5.41427
1997-11-05,5.425503
1997-11-06,5.68386
1997-11-07,5.751258
1997-11-10,6.077013
1997-11-11,6.020848
1997-11-12,5.897286
1997-11-13,6.020848
1997-11-14,6.335369999999999
1997-11-17,6.346603
1997-11-18,6.077013
1997-11-19,6.110712
1997-11-20,6.133178
1997-11-21,6.200575
1997-11-24,6.020848
1997-11-25,5.8860529999999995
1997-11-26,5.964683999999999
1997-11-28,6.077013
1997-12-01,6.110712
1997-12-02,6.121944
1997-12-03,6.234274
1997-12-04,6.25674
1997-12-05,6.223041
1997-12-08,6.200575
1997-12-09,6.144411
1997-12-10,5.79619
1997-12-11,5.593997
1997-12-12,5.459201999999999
1997-12-15,5.425503
1997-12-16,5.526599
1997-12-17,5.459201999999999
1997-12-18,5.369339
1997-12-19,5.358105999999999
1997-12-22,5.358105999999999
1997-12-23,5.099749
1997-12-24,5.167146
1997-12-26,5.088515
1997-12-29,5.099749
1997-12-30,5.268242
1997-12-31,5.22331
1998-01-02,5.234543
1998-01-05,5.077282
1998-01-06,4.863857
1998-01-07,4.852624
1998-01-08,4.661664
1998-01-09,4.672897
1998-01-12,4.6953629999999995
1998-01-13,4.6953629999999995
1998-01-14,4.6953629999999995
