Date,CIT
2009-12-10,28.99
2009-12-11,29.639999
2009-12-14,28.5
2009-12-15,26.200001
2009-12-16,26.209999
2009-12-17,26.040001
2009-12-18,27.5
2009-12-21,28.23
2009-12-22,28.610001
2009-12-23,28.870001000000002
2009-12-24,28.85
2009-12-28,28.219998999999998
2009-12-29,27.76
2009-12-30,27.700001
2009-12-31,27.610001
2010-01-04,28.370001000000002
2010-01-05,29.780001000000002
2010-01-06,31.74
2010-01-07,31.77
2010-01-08,32.25
2010-01-11,33.790001000000004
2010-01-12,33.549999
2010-01-13,32.759997999999996
2010-01-14,32.439999
2010-01-15,32.02
2010-01-19,32.639998999999996
2010-01-20,32.91
2010-01-21,32.82
2010-01-22,32.650002
2010-01-25,32.41
2010-01-26,32.470001
2010-01-27,32.130001
2010-01-28,31.48
2010-01-29,31.82
2010-02-01,31.35
2010-02-02,30.780001000000002
2010-02-03,31.34
2010-02-04,30.450001
2010-02-05,30.75
2010-02-08,30.610001
2010-02-09,31.41
2010-02-10,32.009997999999996
2010-02-11,31.84
2010-02-12,32.25
2010-02-16,32.380001
2010-02-17,32.740002000000004
2010-02-18,32.560001
2010-02-19,32.619999
2010-02-22,33.009997999999996
2010-02-23,33.32
2010-02-24,33.73
2010-02-25,35.0
2010-02-26,36.43
2010-03-01,36.549999
2010-03-02,36.34
2010-03-03,35.720001
2010-03-04,35.400002
2010-03-05,35.990002000000004
2010-03-08,36.080002
2010-03-09,36.009997999999996
2010-03-10,36.59
2010-03-11,37.029999
2010-03-12,36.950001
2010-03-15,36.810001
2010-03-16,36.290001000000004
2010-03-17,37.869999
2010-03-18,37.540001000000004
2010-03-19,38.139998999999996
2010-03-22,38.16
2010-03-23,38.990002000000004
2010-03-24,39.23
2010-03-25,39.009997999999996
2010-03-26,39.0
2010-03-29,38.98
2010-03-30,38.900002
2010-03-31,38.959998999999996
2010-04-01,39.0
2010-04-05,38.75
2010-04-06,38.98
2010-04-07,38.919998
2010-04-08,39.459998999999996
2010-04-09,39.740002000000004
2010-04-12,39.040001000000004
2010-04-13,39.299999
2010-04-14,39.799999
2010-04-15,39.950001
2010-04-16,39.189999
2010-04-19,38.950001
2010-04-20,38.759997999999996
2010-04-21,39.099998
2010-04-22,39.799999
2010-04-23,39.790001000000004
2010-04-26,40.700001
2010-04-27,39.98
2010-04-28,40.779999
2010-04-29,40.77
2010-04-30,40.599998
2010-05-03,41.75
2010-05-04,40.18
2010-05-05,38.029999
2010-05-06,35.799999
2010-05-07,35.700001
