Date,AM
2017-05-04,22.0
2017-05-05,22.280001000000002
2017-05-08,22.030001000000002
2017-05-09,22.0
2017-05-10,21.540001
2017-05-11,21.25
2017-05-12,21.5
2017-05-15,21.290001
2017-05-16,21.35
2017-05-17,21.0
2017-05-18,21.01
2017-05-19,21.0
2017-05-22,21.91
2017-05-23,22.030001000000002
2017-05-24,21.68
2017-05-25,22.059998999999998
2017-05-26,21.969998999999998
2017-05-30,22.110001
2017-05-31,22.08
2017-06-01,22.57
2017-06-02,22.280001000000002
2017-06-05,22.299999
2017-06-06,22.549999
2017-06-07,22.24
2017-06-08,22.01
2017-06-09,21.98
2017-06-12,21.629998999999998
2017-06-13,22.07
2017-06-14,22.040001
2017-06-15,20.98
2017-06-16,21.379998999999998
2017-06-19,21.280001000000002
2017-06-20,20.549999
2017-06-21,20.450001
2017-06-22,20.620001000000002
2017-06-23,20.879998999999998
2017-06-26,21.32
2017-06-27,21.469998999999998
2017-06-28,22.02
2017-06-29,21.65
2017-06-30,21.98
2017-07-03,21.91
2017-07-05,21.120001000000002
2017-07-06,21.32
2017-07-07,21.18
2017-07-10,21.049999
2017-07-11,21.35
2017-07-12,21.49
2017-07-13,21.700001
2017-07-14,21.51
2017-07-17,21.76
2017-07-18,21.57
2017-07-19,21.379998999999998
2017-07-20,21.299999
2017-07-21,21.120001000000002
2017-07-24,21.02
2017-07-25,21.01
2017-07-26,21.01
2017-07-27,21.02
2017-07-28,21.09
2017-07-31,21.23
2017-08-01,21.530001000000002
2017-08-02,20.959999
2017-08-03,20.290001
2017-08-04,20.33
2017-08-07,20.01
2017-08-08,19.5
2017-08-09,19.370001000000002
2017-08-10,18.940001000000002
2017-08-11,18.969998999999998
2017-08-14,19.07
2017-08-15,18.709999
2017-08-16,18.629998999999998
2017-08-17,18.48
2017-08-18,18.370001000000002
2017-08-21,18.139999
2017-08-22,18.16
2017-08-23,18.43
2017-08-24,18.48
2017-08-25,18.379998999999998
2017-08-28,18.07
2017-08-29,17.940001000000002
2017-08-30,18.450001
2017-08-31,19.059998999999998
2017-09-01,19.299999
2017-09-05,19.6
2017-09-06,19.85
2017-09-07,19.790001
2017-09-08,19.23
2017-09-11,19.16
2017-09-12,19.34
2017-09-13,19.43
2017-09-14,19.42
2017-09-15,19.5
2017-09-18,19.459999
2017-09-19,19.389999
2017-09-20,19.620001000000002
2017-09-21,19.540001
2017-09-22,19.59
2017-09-25,20.09
2017-09-26,20.35
2017-09-27,20.1
2017-09-28,20.139999
2017-09-29,20.469998999999998
2017-10-02,20.389999
2017-10-03,20.23
2017-10-04,20.02
2017-10-05,20.190001000000002
2017-10-06,20.07
2017-10-09,20.120001000000002
2017-10-10,20.459999
2017-10-11,20.459999
2017-10-12,20.27
2017-10-13,20.09
2017-10-16,19.75
2017-10-17,19.67
2017-10-18,19.360001
2017-10-19,19.02
2017-10-20,19.1
2017-10-23,18.41
2017-10-24,18.41
2017-10-25,18.389999
2017-10-26,18.41
2017-10-27,18.299999
2017-10-30,18.33
2017-10-31,18.709999
2017-11-01,19.15
2017-11-02,18.18
2017-11-03,18.32
2017-11-06,18.23
2017-11-07,18.07
2017-11-08,17.9
2017-11-09,17.84
2017-11-10,17.700001
2017-11-13,17.290001
2017-11-14,16.879998999999998
2017-11-15,17.23
2017-11-16,17.0
2017-11-17,17.24
2017-11-20,17.040001
2017-11-21,16.780001000000002
2017-11-22,16.93
2017-11-24,17.42
2017-11-27,17.309998999999998
2017-11-28,17.379998999999998
2017-11-29,17.41
2017-11-30,17.75
2017-12-01,18.01
2017-12-04,17.950001
2017-12-05,17.879998999999998
2017-12-06,17.93
2017-12-07,18.41
2017-12-08,18.6
2017-12-11,18.82
2017-12-12,18.959999
2017-12-13,18.889999
2017-12-14,19.0
2017-12-15,19.32
2017-12-18,19.33
2017-12-19,19.209999
2017-12-20,18.809998999999998
2017-12-21,18.549999
2017-12-22,18.549999
2017-12-26,18.790001
2017-12-27,18.4
2017-12-28,18.940001000000002
2017-12-29,19.719998999999998
