Date,GSM
2009-07-30,7.09
2009-07-31,7.2
2009-08-03,8.0
2009-08-04,7.76
2009-08-05,8.86
2009-08-06,7.97
2009-08-07,8.3
2009-08-10,8.0
2009-08-11,7.76
2009-08-12,7.92
2009-08-13,8.17
2009-08-14,8.23
2009-08-17,8.04
2009-08-18,8.14
2009-08-19,8.2
2009-08-20,8.11
2009-08-21,8.3
2009-08-24,8.15
2009-08-25,7.93
2009-08-26,8.15
2009-08-27,8.17
2009-08-28,8.1
2009-08-31,8.19
2009-09-01,7.9
2009-09-02,7.93
2009-09-03,7.96
2009-09-04,8.01
2009-09-08,8.15
2009-09-09,8.14
2009-09-10,8.25
2009-09-11,8.45
2009-09-14,8.29
2009-09-15,8.3
2009-09-16,8.16
2009-09-17,8.35
2009-09-18,8.33
2009-09-21,8.2
2009-09-22,8.54
2009-09-23,8.59
2009-09-24,8.61
2009-09-25,8.85
2009-09-28,8.59
2009-09-29,8.66
2009-09-30,9.02
2009-10-01,8.35
2009-10-02,8.7
2009-10-05,8.53
2009-10-06,8.74
2009-10-07,8.5
2009-10-08,8.55
2009-10-09,8.75
2009-10-12,8.85
2009-10-13,8.8
2009-10-14,8.78
2009-10-15,8.8
2009-10-16,8.4
2009-10-19,8.38
2009-10-20,8.31
2009-10-21,8.4
2009-10-22,8.52
2009-10-23,8.4
2009-10-26,8.27
2009-10-27,8.17
2009-10-28,7.71
2009-10-29,8.12
2009-10-30,7.92
2009-11-02,7.75
2009-11-03,7.6
2009-11-04,7.78
2009-11-05,8.44
2009-11-06,8.51
2009-11-09,8.74
2009-11-10,8.75
2009-11-11,8.84
2009-11-12,9.04
2009-11-13,8.93
2009-11-16,8.82
2009-11-17,8.6
2009-11-18,8.7
2009-11-19,8.63
2009-11-20,8.6
2009-11-23,8.54
2009-11-24,8.52
2009-11-25,8.52
2009-11-27,8.13
2009-11-30,8.36
2009-12-01,8.45
2009-12-02,8.41
2009-12-03,8.32
2009-12-04,8.49
2009-12-07,9.0
2009-12-08,9.37
2009-12-09,9.5
2009-12-10,9.25
2009-12-11,9.34
2009-12-14,9.44
2009-12-15,9.24
2009-12-16,9.25
2009-12-17,9.1
2009-12-18,9.2
2009-12-21,9.15
2009-12-22,9.1
2009-12-23,9.52
2009-12-24,9.75
2009-12-28,9.69
2009-12-29,9.65
2009-12-30,9.5
2009-12-31,9.4
2010-01-04,9.65
2010-01-05,9.9
2010-01-06,9.87
2010-01-07,9.91
2010-01-08,10.25
2010-01-11,10.48
2010-01-12,10.46
2010-01-13,10.68
2010-01-14,10.47
2010-01-15,10.48
2010-01-19,10.7
2010-01-20,10.72
2010-01-21,10.23
2010-01-22,9.84
2010-01-25,9.8
2010-01-26,9.77
2010-01-27,9.5
2010-01-28,9.4
2010-01-29,9.29
2010-02-01,9.41
2010-02-02,9.97
2010-02-03,10.15
2010-02-04,9.36
2010-02-05,9.33
2010-02-08,9.28
2010-02-09,9.44
2010-02-10,9.44
2010-02-11,9.48
2010-02-12,9.72
2010-02-16,9.73
2010-02-17,9.85
2010-02-18,9.95
2010-02-19,10.54
2010-02-22,10.69
2010-02-23,10.44
2010-02-24,10.31
2010-02-25,10.37
2010-02-26,10.26
2010-03-01,10.33
2010-03-02,10.4
2010-03-03,10.38
2010-03-04,10.6
2010-03-05,10.71
2010-03-08,11.05
2010-03-09,11.01
2010-03-10,11.04
2010-03-11,11.14
2010-03-12,11.11
2010-03-15,10.94
2010-03-16,10.95
2010-03-17,10.97
2010-03-18,11.01
2010-03-19,11.35
2010-03-22,11.29
2010-03-23,11.08
2010-03-24,11.1
2010-03-25,11.12
2010-03-26,11.06
2010-03-29,11.01
2010-03-30,10.93
2010-03-31,11.19
2010-04-01,11.35
2010-04-05,11.24
2010-04-06,11.25
2010-04-07,11.36
2010-04-08,11.28
2010-04-09,11.3
2010-04-12,11.56
2010-04-13,11.54
2010-04-14,11.65
2010-04-15,12.15
2010-04-16,12.15
2010-04-19,11.9
2010-04-20,11.93
2010-04-21,11.85
2010-04-22,11.92
2010-04-23,11.97
2010-04-26,12.38
2010-04-27,11.85
2010-04-28,12.14
2010-04-29,12.74
2010-04-30,12.41
2010-05-03,12.28
2010-05-04,11.99
2010-05-05,11.77
2010-05-06,11.22
2010-05-07,10.75
2010-05-10,11.52
2010-05-11,11.6
2010-05-12,12.08
2010-05-13,12.25
2010-05-14,12.05
2010-05-17,12.0
2010-05-18,11.65
2010-05-19,11.44
2010-05-20,10.99
2010-05-21,11.55
2010-05-24,11.34
2010-05-25,11.3
2010-05-26,11.14
2010-05-27,11.54
2010-05-28,11.67
2010-06-01,11.08
2010-06-02,11.59
2010-06-03,11.65
2010-06-04,11.08
2010-06-07,10.56
2010-06-08,10.13
2010-06-09,10.2
2010-06-10,10.04
2010-06-11,10.31
2010-06-14,10.77
2010-06-15,11.1
2010-06-16,11.11
2010-06-17,11.02
2010-06-18,11.16
2010-06-21,11.5
2010-06-22,11.33
2010-06-23,11.26
2010-06-24,10.94
2010-06-25,11.1
2010-06-28,11.17
2010-06-29,10.41
2010-06-30,10.33
2010-07-01,10.32
2010-07-02,9.95
2010-07-06,9.8
2010-07-07,10.57
2010-07-08,10.71
2010-07-09,10.87
2010-07-12,10.64
2010-07-13,10.83
2010-07-14,10.79
2010-07-15,10.47
2010-07-16,10.05
2010-07-19,9.99
2010-07-20,10.79
2010-07-21,10.93
2010-07-22,11.4
2010-07-23,11.63
2010-07-26,11.31
2010-07-27,11.64
2010-07-28,11.36
2010-07-29,11.62
2010-07-30,11.53
2010-08-02,11.71
2010-08-03,11.32
2010-08-04,11.38
2010-08-05,11.55
2010-08-06,11.54
2010-08-09,11.63
2010-08-10,11.56
2010-08-11,10.98
2010-08-12,11.05
2010-08-13,10.86
2010-08-16,11.38
2010-08-17,11.6
2010-08-18,11.65
2010-08-19,11.41
2010-08-20,11.37
2010-08-23,11.15
2010-08-24,10.81
2010-08-25,10.82
2010-08-26,10.56
2010-08-27,10.69
2010-08-30,10.66
2010-08-31,10.87
2010-09-01,11.71
2010-09-02,11.75
2010-09-03,11.96
2010-09-07,11.59
2010-09-08,11.81
2010-09-09,11.94
2010-09-10,11.99
2010-09-13,12.66
2010-09-14,12.61
2010-09-15,12.55
2010-09-16,12.52
2010-09-17,13.79
2010-09-20,13.8
2010-09-21,13.37
2010-09-22,13.31
2010-09-23,13.35
2010-09-24,14.06
2010-09-27,14.14
2010-09-28,14.18
2010-09-29,14.1
2010-09-30,14.04
2010-10-01,14.2
2010-10-04,14.23
2010-10-05,14.21
2010-10-06,14.66
2010-10-07,15.08
2010-10-08,15.49
2010-10-11,15.34
2010-10-12,15.47
2010-10-13,15.54
2010-10-14,15.11
2010-10-15,15.54
2010-10-18,15.69
2010-10-19,14.79
2010-10-20,15.03
2010-10-21,14.91
2010-10-22,15.15
2010-10-25,15.16
2010-10-26,15.27
2010-10-27,14.93
2010-10-28,14.94
2010-10-29,15.54
2010-11-01,15.59
2010-11-02,15.95
2010-11-03,15.95
2010-11-04,16.4
2010-11-05,16.879998999999998
2010-11-08,17.1
2010-11-09,16.17
2010-11-10,16.389999
2010-11-11,16.540001
2010-11-12,16.59
2010-11-15,16.41
2010-11-16,15.93
2010-11-17,16.139999
2010-11-18,16.75
2010-11-19,16.629998999999998
2010-11-22,16.790001
2010-11-23,16.43
2010-11-24,17.1
2010-11-26,16.709999
2010-11-29,16.51
2010-11-30,16.23
2010-12-01,16.540001
2010-12-02,16.58
2010-12-03,17.23
2010-12-06,17.27
2010-12-07,17.49
2010-12-08,17.6
2010-12-09,17.76
2010-12-10,17.92
2010-12-13,17.6
2010-12-14,17.6
2010-12-15,17.690001000000002
2010-12-16,17.32
2010-12-17,17.57
2010-12-20,17.530001000000002
2010-12-21,17.879998999999998
2010-12-22,17.67
2010-12-23,17.540001
2010-12-27,17.610001
2010-12-28,16.940001000000002
2010-12-29,17.23
2010-12-30,17.110001
2010-12-31,17.09
2011-01-03,17.27
2011-01-04,16.85
2011-01-05,17.51
2011-01-06,17.9
2011-01-07,18.4
2011-01-10,18.719998999999998
2011-01-11,19.0
2011-01-12,19.0
2011-01-13,18.959999
2011-01-14,19.190001000000002
2011-01-18,19.690001000000002
2011-01-19,18.9
2011-01-20,18.200001
2011-01-21,18.01
2011-01-24,18.200001
2011-01-25,18.0
2011-01-26,18.42
2011-01-27,18.129998999999998
2011-01-28,18.040001
2011-01-31,18.360001
2011-02-01,19.4
2011-02-02,19.25
2011-02-03,19.450001
2011-02-04,19.32
2011-02-07,19.49
2011-02-08,19.93
2011-02-09,20.200001
2011-02-10,20.280001000000002
2011-02-11,21.08
2011-02-14,20.799999
2011-02-15,20.49
2011-02-16,20.77
2011-02-17,23.219998999999998
2011-02-18,22.9
2011-02-22,21.709999
2011-02-23,21.629998999999998
2011-02-24,21.200001
2011-02-25,22.41
2011-02-28,23.290001
2011-03-01,23.459999
2011-03-02,22.809998999999998
2011-03-03,23.610001
2011-03-04,23.639999
2011-03-07,22.83
2011-03-08,22.780001000000002
2011-03-09,22.219998999999998
2011-03-10,21.120001000000002
2011-03-11,21.690001000000002
2011-03-14,20.98
2011-03-15,21.049999
2011-03-16,20.629998999999998
2011-03-17,21.26
2011-03-18,21.870001000000002
2011-03-21,22.040001
2011-03-22,22.65
2011-03-23,22.93
2011-03-24,23.120001000000002
2011-03-25,22.57
2011-03-28,22.32
2011-03-29,22.379998999999998
2011-03-30,22.48
2011-03-31,22.76
2011-04-01,23.35
2011-04-04,23.610001
2011-04-05,24.379998999999998
2011-04-06,23.690001000000002
2011-04-07,23.299999
2011-04-08,22.700001
2011-04-11,22.389999
2011-04-12,21.969998999999998
2011-04-13,21.780001000000002
2011-04-14,21.5
2011-04-15,21.49
2011-04-18,20.870001000000002
2011-04-19,21.25
2011-04-20,21.6
2011-04-21,21.68
2011-04-25,21.26
2011-04-26,21.5
2011-04-27,21.530001000000002
2011-04-28,22.110001
2011-04-29,22.51
2011-05-02,22.17
2011-05-03,21.370001000000002
2011-05-04,20.809998999999998
2011-05-05,20.4
2011-05-06,21.129998999999998
2011-05-09,21.620001000000002
2011-05-10,22.870001000000002
2011-05-11,21.93
2011-05-12,22.200001
2011-05-13,20.940001000000002
2011-05-16,20.549999
2011-05-17,21.040001
2011-05-18,21.4
2011-05-19,21.129998999999998
2011-05-20,21.040001
2011-05-23,20.889999
2011-05-24,21.040001
2011-05-25,21.700001
2011-05-26,22.25
2011-05-27,22.0
2011-05-31,22.66
2011-06-01,21.42
2011-06-02,21.74
2011-06-03,21.93
2011-06-06,21.58
2011-06-07,21.59
2011-06-08,20.65
2011-06-09,21.07
2011-06-10,21.0
2011-06-13,20.799999
2011-06-14,21.450001
2011-06-15,20.6
2011-06-16,20.459999
2011-06-17,20.450001
2011-06-20,20.25
2011-06-21,20.91
2011-06-22,20.68
2011-06-23,20.9
2011-06-24,20.59
2011-06-27,20.799999
2011-06-28,21.610001
2011-06-29,21.25
2011-06-30,22.42
2011-07-01,23.540001
2011-07-05,23.440001000000002
2011-07-06,24.059998999999998
2011-07-07,24.43
2011-07-08,24.379998999999998
2011-07-11,23.82
2011-07-12,23.6
2011-07-13,24.9
