Date,RTLR
2019-05-23,19.24
2019-05-24,18.9
2019-05-28,19.209999
2019-05-29,19.059998999999998
2019-05-30,18.91
2019-05-31,18.719998999999998
2019-06-03,18.65
2019-06-04,19.0
2019-06-05,18.9
2019-06-06,18.77
2019-06-07,18.9
2019-06-10,18.950001
2019-06-11,19.360001
2019-06-12,19.360001
2019-06-13,19.450001
2019-06-14,19.209999
2019-06-17,18.959999
2019-06-18,19.0
2019-06-19,19.1
2019-06-20,19.15
2019-06-21,19.309998999999998
2019-06-24,19.23
2019-06-25,19.290001
2019-06-26,19.809998999999998
2019-06-27,19.940001000000002
2019-06-28,19.389999
2019-07-01,19.700001
2019-07-02,19.57
2019-07-03,19.33
2019-07-05,19.379998999999998
2019-07-08,19.25
2019-07-09,19.549999
2019-07-10,19.889999
2019-07-11,19.9
2019-07-12,19.73
2019-07-15,19.82
2019-07-16,19.450001
2019-07-17,18.969998999999998
2019-07-18,18.639999
2019-07-19,19.049999
2019-07-22,19.219998999999998
2019-07-23,18.799999
2019-07-24,18.76
2019-07-25,19.025
2019-07-26,18.9
2019-07-29,19.120001000000002
2019-07-30,18.77
2019-07-31,18.540001
2019-08-01,17.969998999999998
2019-08-02,18.5
2019-08-05,17.620001000000002
2019-08-06,17.18
2019-08-07,16.92
2019-08-08,17.26
2019-08-09,17.99
2019-08-12,18.08
2019-08-13,18.629998999999998
2019-08-14,17.620001000000002
2019-08-15,17.48
2019-08-16,17.68
2019-08-19,18.33
2019-08-20,18.1
2019-08-21,18.190001000000002
2019-08-22,17.950001
2019-08-23,17.52
2019-08-26,17.379998999999998
2019-08-27,17.35
2019-08-28,17.76
2019-08-29,18.059998999999998
2019-08-30,18.309998999999998
2019-09-03,18.290001
2019-09-04,18.5
2019-09-05,18.530001000000002
2019-09-06,18.5
2019-09-09,18.58
2019-09-10,18.969998999999998
2019-09-11,18.540001
2019-09-12,18.690001000000002
2019-09-13,18.83
2019-09-16,18.74
2019-09-17,18.620001000000002
2019-09-18,18.65
2019-09-19,18.34
2019-09-20,18.65
2019-09-23,18.25
2019-09-24,18.370001000000002
2019-09-25,18.190001000000002
2019-09-26,18.16
2019-09-27,18.049999
2019-09-30,17.82
2019-10-01,17.200001
2019-10-02,17.25
2019-10-03,17.620001000000002
2019-10-04,17.280001000000002
2019-10-07,16.49
2019-10-08,16.25
2019-10-09,16.110001
2019-10-10,15.99
2019-10-11,15.76
2019-10-14,15.57
2019-10-15,15.5
2019-10-16,15.12
2019-10-17,15.1
2019-10-18,15.22
2019-10-21,15.69
2019-10-22,16.17
2019-10-23,15.95
2019-10-24,15.5
2019-10-25,15.45
2019-10-28,15.32
2019-10-29,15.22
2019-10-30,15.15
2019-10-31,15.02
2019-11-01,15.17
2019-11-04,15.37
2019-11-05,14.87
2019-11-06,14.87
2019-11-07,14.85
2019-11-08,15.24
2019-11-11,14.76
2019-11-12,14.85
2019-11-13,14.8
2019-11-14,14.39
2019-11-15,14.67
2019-11-18,14.31
2019-11-19,14.29
2019-11-20,14.02
2019-11-21,14.57
2019-11-22,14.93
2019-11-25,15.4
2019-11-26,15.02
2019-11-27,15.38
2019-11-29,15.91
2019-12-02,15.38
2019-12-03,15.24
2019-12-04,14.86
2019-12-05,15.38
2019-12-06,15.69
2019-12-09,16.360001
2019-12-10,16.27
2019-12-11,16.32
2019-12-12,16.629998999999998
2019-12-13,16.75
2019-12-16,17.08
2019-12-17,17.450001
2019-12-18,17.440001000000002
2019-12-19,17.280001000000002
2019-12-20,17.74
2019-12-23,17.73
2019-12-24,18.0
2019-12-26,18.17
2019-12-27,18.02
2019-12-30,18.02
2019-12-31,17.790001
2020-01-02,17.040001
2020-01-03,17.690001000000002
2020-01-06,17.549999
2020-01-07,17.530001000000002
2020-01-08,17.200001
2020-01-09,17.0
2020-01-10,16.83
2020-01-13,16.889999
2020-01-14,16.92
2020-01-15,16.879998999999998
2020-01-16,17.15
2020-01-17,17.08
2020-01-21,16.99
2020-01-22,16.9
2020-01-23,16.889999
2020-01-24,16.620001000000002
2020-01-27,16.200001
2020-01-28,15.85
2020-01-29,16.059998999999998
2020-01-30,15.62
2020-01-31,15.09
2020-02-03,14.74
2020-02-04,15.0
2020-02-05,15.32
2020-02-06,15.07
2020-02-07,15.11
2020-02-10,14.57
2020-02-11,14.77
2020-02-12,15.05
2020-02-13,15.04
2020-02-14,14.95
2020-02-18,15.2
2020-02-19,15.6
2020-02-20,15.67
2020-02-21,15.44
2020-02-24,14.89
2020-02-25,13.99
2020-02-26,13.36
2020-02-27,12.4
2020-02-28,12.59
2020-03-02,12.08
2020-03-03,11.54
2020-03-04,11.62
2020-03-05,10.72
2020-03-06,9.86
2020-03-09,6.31
2020-03-10,6.22
2020-03-11,5.68
2020-03-12,5.21
2020-03-13,5.67
2020-03-16,4.92
2020-03-17,4.5
2020-03-18,3.27
2020-03-19,3.8
2020-03-20,4.18
2020-03-23,3.43
2020-03-24,3.31
2020-03-25,3.5
2020-03-26,3.76
2020-03-27,3.45
2020-03-30,3.29
2020-03-31,3.48
2020-04-01,3.56
2020-04-02,3.86
2020-04-03,4.05
2020-04-06,4.0
2020-04-07,4.0
2020-04-08,4.02
2020-04-09,4.6
2020-04-13,5.02
2020-04-14,5.36
2020-04-15,4.79
2020-04-16,4.66
2020-04-17,5.5
2020-04-20,5.33
2020-04-21,5.09
2020-04-22,5.86
2020-04-23,6.44
2020-04-24,6.2
2020-04-27,6.35
2020-04-28,6.25
2020-04-29,6.54
2020-04-30,6.82
2020-05-01,6.81
2020-05-04,6.69
2020-05-05,7.0
2020-05-06,6.95
2020-05-07,7.65
2020-05-08,7.8
