Date,CZR
2012-02-08,15.39
2012-02-09,14.65
2012-02-10,14.24
2012-02-13,13.16
2012-02-14,12.59
2012-02-15,12.48
2012-02-16,12.66
2012-02-17,12.56
2012-02-21,12.5
2012-02-22,12.0
2012-02-23,11.4
2012-02-24,10.87
2012-02-27,10.36
2012-02-28,10.86
2012-02-29,11.32
2012-03-01,11.22
2012-03-02,11.0
2012-03-05,11.28
2012-03-06,11.19
2012-03-07,11.18
2012-03-08,11.01
2012-03-09,11.04
2012-03-12,11.05
2012-03-13,11.01
2012-03-14,12.88
2012-03-15,12.52
2012-03-16,12.99
2012-03-19,12.93
2012-03-20,12.99
2012-03-21,12.7
2012-03-22,12.55
2012-03-23,12.5
2012-03-26,12.9
2012-03-27,12.98
2012-03-28,13.95
2012-03-29,13.84
2012-03-30,14.74
2012-04-02,15.08
2012-04-03,15.16
2012-04-04,15.11
2012-04-05,15.41
2012-04-09,15.39
2012-04-10,15.22
2012-04-11,15.28
2012-04-12,15.64
2012-04-13,14.55
2012-04-16,13.83
2012-04-17,13.77
2012-04-18,13.7
2012-04-19,13.27
2012-04-20,12.52
2012-04-23,12.05
2012-04-24,12.49
2012-04-25,12.47
2012-04-26,13.69
2012-04-27,14.17
2012-04-30,14.64
2012-05-01,14.75
2012-05-02,14.75
2012-05-03,14.05
2012-05-04,13.48
2012-05-07,13.6
2012-05-08,13.38
2012-05-09,14.05
2012-05-10,14.2
2012-05-11,14.43
2012-05-14,13.75
2012-05-15,13.78
2012-05-16,13.48
2012-05-17,13.55
2012-05-18,13.59
2012-05-21,13.91
2012-05-22,13.45
2012-05-23,12.95
2012-05-24,12.72
2012-05-25,12.5
2012-05-29,12.97
2012-05-30,12.4
2012-05-31,12.14
2012-06-01,11.57
2012-06-04,11.18
2012-06-05,11.82
2012-06-06,12.3
2012-06-07,12.1
2012-06-08,12.03
2012-06-11,11.98
2012-06-12,11.96
2012-06-13,11.66
2012-06-14,11.93
2012-06-15,12.0
2012-06-18,12.05
2012-06-19,12.14
2012-06-20,12.07
2012-06-21,11.69
2012-06-22,12.14
2012-06-25,11.68
2012-06-26,11.76
2012-06-27,11.63
2012-06-28,11.32
2012-06-29,11.4
2012-07-02,11.09
2012-07-03,11.37
2012-07-05,10.99
2012-07-06,10.97
2012-07-09,10.99
2012-07-10,10.31
2012-07-11,9.49
2012-07-12,8.9
2012-07-13,8.92
2012-07-16,9.0
2012-07-17,8.5
2012-07-18,9.25
2012-07-19,9.09
2012-07-20,8.85
2012-07-23,8.36
2012-07-24,8.13
2012-07-25,8.23
2012-07-26,8.34
2012-07-27,8.63
2012-07-30,8.6
2012-07-31,8.38
2012-08-01,8.33
2012-08-02,8.24
2012-08-03,8.32
2012-08-06,8.47
2012-08-07,8.15
2012-08-08,8.01
2012-08-09,8.19
