Date,SYNA
2002-12-26,4.893333
2002-12-27,4.866667
2002-12-30,4.9
2002-12-31,5.066667
2003-01-02,5.16
2003-01-03,5.24
2003-01-06,5.3333330000000005
2003-01-07,5.3333330000000005
2003-01-08,5.293334
2003-01-09,5.3333330000000005
2003-01-10,5.126666999999999
2003-01-13,5.106667
2003-01-14,5.12
2003-01-15,5.226666000000001
2003-01-16,5.1666669999999995
2003-01-17,5.133333
2003-01-21,5.02
2003-01-22,5.006667
2003-01-23,4.913333000000001
2003-01-24,4.633333
2003-01-27,4.746666
2003-01-28,4.8
2003-01-29,4.8333330000000005
2003-01-30,4.733333
2003-01-31,4.84
2003-02-03,4.86
2003-02-04,4.853333
2003-02-05,4.913333000000001
2003-02-06,4.74
2003-02-07,4.6
2003-02-10,4.566667
2003-02-11,4.4
2003-02-12,4.466667
2003-02-13,4.546667
2003-02-14,4.566667
2003-02-18,4.44
2003-02-19,4.486667
2003-02-20,4.546667
2003-02-21,4.673333
2003-02-24,4.573333
2003-02-25,4.3
2003-02-26,4.553333
2003-02-27,4.646667
2003-02-28,4.806667
2003-03-03,4.373333000000001
2003-03-04,4.3
2003-03-05,4.133333
2003-03-06,4.16
2003-03-07,4.006667
2003-03-10,3.8466669999999996
2003-03-11,4.02
2003-03-12,4.033333
2003-03-13,4.5
2003-03-14,4.826667
2003-03-17,4.8333330000000005
2003-03-18,4.8333330000000005
2003-03-19,4.793334
2003-03-20,4.8333330000000005
2003-03-21,4.706666
2003-03-24,4.72
2003-03-25,4.733333
2003-03-26,4.546667
2003-03-27,4.8333330000000005
2003-03-28,5.1
2003-03-31,5.0
2003-04-01,4.853333
2003-04-02,4.926667
2003-04-03,4.94
2003-04-04,4.866667
2003-04-07,4.866667
2003-04-08,4.72
2003-04-09,4.573333
2003-04-10,4.566667
2003-04-11,4.473333
2003-04-14,4.766667
2003-04-15,4.986667
2003-04-16,5.12
2003-04-17,5.12
2003-04-21,5.24
2003-04-22,5.46
2003-04-23,5.233333
2003-04-24,5.226666000000001
2003-04-25,5.3
2003-04-28,5.4
2003-04-29,5.313333999999999
2003-04-30,5.106667
2003-05-01,5.2
2003-05-02,5.206666
2003-05-05,5.306667
2003-05-06,5.326667
2003-05-07,6.0
2003-05-08,6.18
2003-05-09,6.66
2003-05-12,6.546667
2003-05-13,6.433333
2003-05-14,6.686666000000001
2003-05-15,7.3333330000000005
2003-05-16,7.36
2003-05-19,6.673333
2003-05-20,6.633333
2003-05-21,6.733333
2003-05-22,6.6666669999999995
2003-05-23,6.766667
2003-05-27,7.766667
2003-05-28,7.866667
2003-05-29,7.62
2003-05-30,7.753334
2003-06-02,7.8
2003-06-03,7.893333
2003-06-04,7.6666669999999995
2003-06-05,7.6666669999999995
2003-06-06,8.533334
2003-06-09,8.4
2003-06-10,8.253333
2003-06-11,8.686666
2003-06-12,8.653334
2003-06-13,8.8
2003-06-16,8.94
2003-06-17,9.233334
2003-06-18,8.953333
2003-06-19,8.766666
2003-06-20,8.9
2003-06-23,8.486667
2003-06-24,8.133333
2003-06-25,9.04
2003-06-26,9.066667
2003-06-27,8.92
2003-06-30,8.893333
2003-07-01,8.966666
2003-07-02,8.893333
2003-07-03,9.006667
2003-07-07,9.066667
2003-07-08,9.433333
2003-07-09,9.84
2003-07-10,9.566667
2003-07-11,9.326667
2003-07-14,9.326667
2003-07-15,9.333333
2003-07-16,9.38
2003-07-17,9.173333
2003-07-18,8.926666
2003-07-21,9.013333
2003-07-22,9.02
2003-07-23,9.28
2003-07-24,9.066667
2003-07-25,9.1
2003-07-28,9.766666
2003-07-29,9.433333
2003-07-30,9.166667
2003-07-31,8.893333
2003-08-01,6.886667
2003-08-04,6.933333
2003-08-05,6.806667
2003-08-06,6.72
2003-08-07,6.64
2003-08-08,6.246666
2003-08-11,6.393333
2003-08-12,6.433333
2003-08-13,6.9
2003-08-14,6.96
2003-08-15,7.18
2003-08-18,7.266667
2003-08-19,7.726666000000001
2003-08-20,7.6666669999999995
2003-08-21,7.62
2003-08-22,7.993333
2003-08-25,7.913333000000001
2003-08-26,7.566667
2003-08-27,7.566667
2003-08-28,8.04
2003-08-29,7.9
2003-09-02,8.066667
2003-09-03,7.966667
2003-09-04,7.926667
2003-09-05,8.053333
2003-09-08,8.226666
2003-09-09,7.94
2003-09-10,7.973333
2003-09-11,7.873333000000001
2003-09-12,7.54
2003-09-15,7.466667
2003-09-16,8.073334
2003-09-17,8.0
2003-09-18,8.633333
2003-09-19,8.366667
2003-09-22,8.013333
2003-09-23,8.273334
2003-09-24,8.0
2003-09-25,7.933333
2003-09-26,7.273333999999999
2003-09-29,7.54
2003-09-30,7.173333
2003-10-01,7.353333
2003-10-02,7.1
2003-10-03,7.226666000000001
2003-10-06,7.793334
2003-10-07,8.253333
2003-10-08,8.666667
2003-10-09,8.446667
2003-10-10,8.166667
2003-10-13,8.333333
2003-10-14,8.666667
2003-10-15,8.8
2003-10-16,8.973333
2003-10-17,8.766666
2003-10-20,8.64
2003-10-21,8.46
2003-10-22,7.3333330000000005
2003-10-23,7.446667
2003-10-24,8.326667
2003-10-27,8.513333
2003-10-28,8.833333
2003-10-29,9.0
2003-10-30,8.666667
2003-10-31,8.666667
2003-11-03,8.846666
2003-11-04,8.866667
2003-11-05,8.74
2003-11-06,8.773334
2003-11-07,8.646666999999999
2003-11-10,8.646666999999999
2003-11-11,8.566667
2003-11-12,8.666667
2003-11-13,8.66
2003-11-14,8.666667
2003-11-17,8.486667
2003-11-18,8.373333
2003-11-19,7.986667
2003-11-20,8.253333
2003-11-21,8.486667
2003-11-24,8.666667
2003-11-25,9.066667
2003-11-26,8.993333
2003-11-28,9.106667
2003-12-01,8.993333
2003-12-02,9.133333
2003-12-03,8.773334
2003-12-04,9.093333
2003-12-05,8.846666
2003-12-08,9.5
2003-12-09,9.006667
2003-12-10,8.906667
2003-12-11,9.54
2003-12-12,9.893333
2003-12-15,9.64
2003-12-16,10.28
2003-12-17,10.206667
2003-12-18,10.2
2003-12-19,10.293333
2003-12-22,10.233334
2003-12-23,10.28
2003-12-24,9.973333
2003-12-26,9.993333
2003-12-29,10.16
2003-12-30,10.486667
2003-12-31,9.986667
2004-01-02,10.5
2004-01-05,10.52
2004-01-06,10.686666
2004-01-07,11.893333
2004-01-08,11.98
2004-01-09,11.786667
2004-01-12,11.866667
2004-01-13,11.406667
2004-01-14,11.18
2004-01-15,11.206667
2004-01-16,11.033334
2004-01-20,11.246667
2004-01-21,10.933333
2004-01-22,10.8
2004-01-23,13.133332999999999
2004-01-26,14.646667
2004-01-27,12.846666
2004-01-28,12.286667
2004-01-29,12.28
2004-01-30,12.553333
2004-02-02,12.62
2004-02-03,12.34
2004-02-04,11.606667
2004-02-05,11.913333
2004-02-06,11.906667
2004-02-09,12.233334
2004-02-10,12.186666
2004-02-11,12.553333
2004-02-12,11.733334
2004-02-13,11.333333
2004-02-17,11.893333
2004-02-18,12.0
2004-02-19,11.733334
2004-02-20,11.986667
2004-02-23,11.733334
2004-02-24,11.5
2004-02-25,12.26
2004-02-26,12.38
2004-02-27,12.18
2004-03-01,12.053333
2004-03-02,11.746667
2004-03-03,11.166667
2004-03-04,11.453333
2004-03-05,11.48
2004-03-08,10.946667
2004-03-09,10.773334
2004-03-10,10.586667
2004-03-11,10.313334
2004-03-12,10.133333
2004-03-15,9.96
2004-03-16,10.006667
2004-03-17,10.14
2004-03-18,10.1
2004-03-19,9.84
2004-03-22,9.513333
2004-03-23,9.086667
2004-03-24,8.9
2004-03-25,9.906667
2004-03-26,10.986667
2004-03-29,11.08
2004-03-30,11.366667
2004-03-31,11.693334
2004-04-01,11.633333
2004-04-02,11.52
2004-04-05,12.16
2004-04-06,11.84
2004-04-07,11.2
2004-04-08,11.266666
2004-04-12,11.813334
2004-04-13,11.44
2004-04-14,11.08
2004-04-15,10.92
2004-04-16,10.5
2004-04-19,10.726666
2004-04-20,10.533334
2004-04-21,10.533334
2004-04-22,9.946667
2004-04-23,11.88
2004-04-26,11.766666
2004-04-27,11.833333
2004-04-28,11.5
2004-04-29,11.2
2004-04-30,11.033334
2004-05-03,11.173333
2004-05-04,11.34
2004-05-05,11.326667
2004-05-06,11.046667
2004-05-07,10.76
2004-05-10,10.733334
2004-05-11,10.833333
2004-05-12,11.066667
2004-05-13,11.406667
2004-05-14,11.433333
2004-05-17,10.966666
2004-05-18,11.033334
2004-05-19,10.993333
2004-05-20,10.806666
2004-05-21,11.04
2004-05-24,11.28
2004-05-25,11.653334
2004-05-26,12.366667
2004-05-27,12.56
2004-05-28,12.786667
2004-06-01,12.74
2004-06-02,12.46
2004-06-03,12.52
2004-06-04,12.82
2004-06-07,12.633333
2004-06-08,13.273334
2004-06-09,12.506667
2004-06-10,12.5
2004-06-14,12.6
2004-06-15,12.826667
2004-06-16,13.086667
2004-06-17,13.92
2004-06-18,13.586667000000002
2004-06-21,13.026667
2004-06-22,12.866667
2004-06-23,13.72
2004-06-24,13.473332999999998
2004-06-25,13.306666
2004-06-28,12.733334
2004-06-29,12.633333
2004-06-30,12.88
2004-07-01,12.273334
2004-07-02,11.926666
2004-07-06,11.533334
2004-07-07,11.333333
2004-07-08,10.993333
2004-07-09,11.453333
2004-07-12,11.566667
2004-07-13,11.28
2004-07-14,11.273334
2004-07-15,11.866667
2004-07-16,11.32
2004-07-19,11.78
2004-07-20,12.173333
2004-07-21,11.106667
2004-07-22,11.3
2004-07-23,10.926666
2004-07-26,11.04
2004-07-27,11.293333
2004-07-28,11.466666
2004-07-29,11.913333
2004-07-30,9.86
2004-08-02,9.273334
2004-08-03,9.726666
2004-08-04,9.786667
2004-08-05,10.113334
2004-08-06,9.913333
2004-08-09,9.886666
2004-08-10,9.973333
2004-08-11,10.02
2004-08-12,9.746667
2004-08-13,9.58
2004-08-16,9.833333
2004-08-17,10.553333
2004-08-18,11.3
2004-08-19,11.566667
2004-08-20,11.653334
2004-08-23,11.466666
2004-08-24,12.0
2004-08-25,12.513333
2004-08-26,12.246667
2004-08-27,12.666667
2004-08-30,12.44
2004-08-31,12.246667
2004-09-01,12.533334
2004-09-02,12.7
2004-09-03,11.933333
2004-09-07,11.946667
2004-09-08,11.973333
2004-09-09,12.046667
2004-09-10,12.32
2004-09-13,12.586667
2004-09-14,12.866667
2004-09-15,13.006667
