Date,KDDIF
2015-06-09,21.75
2015-06-10,23.25
2015-06-11,23.450001
2015-06-12,23.450001
2015-06-15,22.75
2015-06-16,22.700001
2015-06-17,23.1
2015-06-18,23.0
2015-06-19,22.799999
2015-06-22,23.35
2015-06-23,23.902
2015-06-24,23.902
2015-06-25,23.902
2015-06-26,24.0
2015-06-29,24.0
2015-06-30,24.0
2015-07-01,24.1
2015-07-02,24.1
2015-07-06,23.5
2015-07-07,23.5
2015-07-08,24.5
2015-07-09,24.5
2015-07-10,24.5
2015-07-13,25.23
2015-07-14,25.25
2015-07-15,24.9
2015-07-16,25.549999
2015-07-17,25.4
2015-07-20,25.4
2015-07-21,25.4
2015-07-22,25.4
2015-07-23,25.4
2015-07-24,25.4
2015-07-27,25.4
2015-07-28,25.4
2015-07-29,25.4
2015-07-30,25.4
2015-07-31,25.4
2015-08-03,25.4
2015-08-04,25.4
2015-08-05,25.4
2015-08-06,25.4
2015-08-07,25.4
2015-08-10,25.4
2015-08-11,25.4
2015-08-12,25.4
2015-08-13,26.35
2015-08-14,25.85
2015-08-17,25.85
2015-08-18,25.85
2015-08-19,25.85
2015-08-20,25.85
2015-08-21,25.85
2015-08-24,25.85
2015-08-25,24.15
2015-08-26,24.15
2015-08-27,24.190001000000002
2015-08-28,24.190001000000002
2015-08-31,24.190001000000002
2015-09-01,24.190001000000002
2015-09-02,24.190001000000002
2015-09-03,24.190001000000002
2015-09-04,24.190001000000002
2015-09-08,24.190001000000002
2015-09-09,24.190001000000002
2015-09-10,24.190001000000002
2015-09-11,24.190001000000002
2015-09-14,22.41
2015-09-15,22.41
2015-09-16,21.5
2015-09-17,21.5
2015-09-18,21.5
2015-09-21,21.5
2015-09-22,21.5
2015-09-23,21.5
2015-09-24,21.5
2015-09-25,21.5
2015-09-28,21.5
2015-09-29,20.75
2015-09-30,20.75
2015-10-01,20.75
2015-10-02,20.75
2015-10-05,20.75
2015-10-06,20.75
2015-10-07,20.75
2015-10-08,20.75
2015-10-09,20.75
2015-10-12,22.65
2015-10-13,22.65
2015-10-14,22.65
