Date,CBIO
2006-04-12,909.2999880000001
2006-04-13,892.5
2006-04-17,896.7000119999999
2006-04-18,855.75
2006-04-19,814.799988
2006-04-20,801.150024
2006-04-21,805.349976
2006-04-24,814.799988
2006-04-25,807.450012
2006-04-26,807.450012
2006-04-27,808.5
2006-04-28,787.5
2006-05-01,796.950012
2006-05-02,785.400024
2006-05-03,798.0
2006-05-04,792.75
2006-05-05,829.5
2006-05-08,784.349976
2006-05-09,798.0
2006-05-10,808.5
2006-05-11,788.549988
2006-05-12,787.5
2006-05-15,777.0
2006-05-16,778.049988
2006-05-17,762.299988
2006-05-18,775.950012
2006-05-19,771.75
2006-05-22,782.25
2006-05-23,751.799988
2006-05-24,773.849976
2006-05-25,767.549988
2006-05-26,780.150024
2006-05-30,782.25
2006-05-31,771.75
2006-06-01,771.75
2006-06-02,761.25
2006-06-05,766.5
2006-06-06,766.5
2006-06-07,757.049988
2006-06-08,756.0
2006-06-09,756.0
2006-06-12,754.950012
2006-06-13,752.849976
2006-06-14,756.0
2006-06-15,765.450012
2006-06-16,743.400024
2006-06-19,739.200012
2006-06-20,748.650024
2006-06-21,703.5
2006-06-22,707.700012
2006-06-23,726.599976
2006-06-26,710.849976
2006-06-27,715.049988
2006-06-28,699.299988
2006-06-29,696.150024
2006-06-30,723.450012
2006-07-03,694.049988
2006-07-05,714.0
2006-07-06,712.950012
2006-07-07,710.849976
2006-07-10,710.849976
2006-07-11,721.349976
2006-07-12,728.700012
2006-07-13,719.25
2006-07-14,691.950012
2006-07-17,700.349976
2006-07-18,686.700012
2006-07-19,680.400024
2006-07-20,638.400024
2006-07-21,630.0
2006-07-24,651.0
2006-07-25,656.25
2006-07-26,676.200012
2006-07-27,648.900024
2006-07-28,656.25
2006-07-31,701.400024
2006-08-01,644.700012
2006-08-02,636.299988
2006-08-03,636.299988
2006-08-04,630.0
2006-08-07,619.5
2006-08-08,609.0
2006-08-09,605.849976
2006-08-10,596.400024
2006-08-11,588.0
2006-08-14,594.299988
2006-08-15,582.75
2006-08-16,588.0
2006-08-17,572.25
2006-08-18,579.599976
2006-08-21,588.0
2006-08-22,584.849976
2006-08-23,582.75
2006-08-24,584.849976
2006-08-25,588.0
2006-08-28,588.0
2006-08-29,588.0
2006-08-30,588.0
2006-08-31,577.5
2006-09-01,567.0
2006-09-05,574.349976
2006-09-06,588.0
2006-09-07,581.700012
2006-09-08,574.349976
2006-09-11,561.75
2006-09-12,588.0
2006-09-13,573.299988
2006-09-14,586.950012
2006-09-15,561.75
2006-09-18,577.5
2006-09-19,565.950012
2006-09-20,600.599976
2006-09-21,612.150024
2006-09-22,611.099976
2006-09-25,603.75
2006-09-26,578.549988
2006-09-27,582.75
2006-09-28,602.700012
2006-09-29,594.299988
2006-10-02,614.25
2006-10-03,613.200012
2006-10-04,630.0
2006-10-05,630.0
2006-10-06,640.5
2006-10-09,682.5
2006-10-10,669.900024
2006-10-11,614.25
2006-10-12,646.799988
2006-10-13,652.049988
2006-10-16,656.25
2006-10-17,677.25
2006-10-18,620.549988
2006-10-19,598.5
2006-10-20,593.25
2006-10-23,598.5
2006-10-24,597.450012
2006-10-25,595.349976
2006-10-26,619.5
2006-10-27,645.75
2006-10-30,635.25
2006-10-31,640.5
2006-11-01,598.5
2006-11-02,682.5
2006-11-03,785.400024
2006-11-06,848.400024
2006-11-07,820.049988
2006-11-08,827.400024
2006-11-09,792.75
2006-11-10,803.25
2006-11-13,786.450012
2006-11-14,765.450012
2006-11-15,700.349976
2006-11-16,718.200012
