Date,IRDM
2008-03-20,9.08
2008-03-24,9.1
2008-03-25,9.05
2008-03-26,9.08
2008-03-27,9.08
2008-03-28,9.08
2008-03-31,9.1
2008-04-01,9.08
2008-04-02,9.05
2008-04-03,9.05
2008-04-04,9.05
2008-04-07,9.05
2008-04-08,9.07
2008-04-09,9.07
2008-04-10,9.08
2008-04-11,9.09
2008-04-14,9.08
2008-04-15,9.15
2008-04-16,9.15
2008-04-17,9.15
2008-04-18,9.15
2008-04-21,9.15
2008-04-22,9.15
2008-04-23,9.1
2008-04-24,9.1
2008-04-25,9.1
2008-04-28,9.1
2008-04-29,9.12
2008-04-30,9.12
2008-05-01,9.1
2008-05-02,9.11
2008-05-05,9.11
2008-05-06,9.11
2008-05-07,9.11
2008-05-08,9.11
2008-05-09,9.17
2008-05-12,9.16
2008-05-13,9.17
2008-05-14,9.13
2008-05-15,9.16
2008-05-16,9.15
2008-05-19,9.15
2008-05-20,9.15
2008-05-21,9.15
2008-05-22,9.17
2008-05-23,9.17
2008-05-27,9.2
2008-05-28,9.2
2008-05-29,9.15
2008-05-30,9.17
2008-06-02,9.2
2008-06-03,9.2
2008-06-04,9.24
2008-06-05,9.22
2008-06-06,9.23
2008-06-09,9.22
2008-06-10,9.21
2008-06-11,9.2
2008-06-12,9.22
2008-06-13,9.22
2008-06-16,9.25
2008-06-17,9.25
2008-06-18,9.25
2008-06-19,9.25
2008-06-20,9.3
2008-06-23,9.3
2008-06-24,9.3
2008-06-25,9.3
2008-06-26,9.3
2008-06-27,9.35
2008-06-30,9.3
2008-07-01,9.3
2008-07-02,9.3
2008-07-03,9.3
2008-07-07,9.3
2008-07-08,9.3
2008-07-09,9.26
2008-07-10,9.26
2008-07-11,9.26
2008-07-14,9.15
2008-07-15,9.21
2008-07-16,9.22
2008-07-17,9.25
2008-07-18,9.26
2008-07-21,9.28
2008-07-22,9.28
2008-07-23,9.28
2008-07-24,9.26
2008-07-25,9.28
2008-07-28,9.28
2008-07-29,9.28
2008-07-30,9.28
2008-07-31,9.29
2008-08-01,9.29
2008-08-04,9.32
2008-08-05,9.32
2008-08-06,9.32
2008-08-07,9.32
2008-08-08,9.32
2008-08-11,9.32
2008-08-12,9.32
2008-08-13,9.31
2008-08-14,9.35
2008-08-15,9.34
2008-08-18,9.36
2008-08-19,9.36
2008-08-20,9.32
2008-08-21,9.32
2008-08-22,9.32
2008-08-25,9.35
2008-08-26,9.4
2008-08-27,9.4
2008-08-28,9.4
2008-08-29,9.4
2008-09-02,9.4
2008-09-03,9.4
2008-09-04,9.41
2008-09-05,9.41
2008-09-08,9.41
2008-09-09,9.4
2008-09-10,9.39
2008-09-11,9.39
2008-09-12,9.32
2008-09-15,9.32
2008-09-16,9.32
2008-09-17,9.15
2008-09-18,9.15
2008-09-19,9.15
2008-09-22,9.23
2008-09-23,9.39
2008-09-24,9.4
2008-09-25,9.3
2008-09-26,9.3
2008-09-29,9.19
2008-09-30,9.2
2008-10-01,9.19
2008-10-02,9.0
2008-10-03,8.9
2008-10-06,8.85
2008-10-07,8.6
2008-10-08,8.7
2008-10-09,8.75
2008-10-10,8.65
2008-10-13,8.75
2008-10-14,8.65
2008-10-15,8.75
2008-10-16,8.7
2008-10-17,8.65
2008-10-20,8.79
2008-10-21,8.8
2008-10-22,8.75
2008-10-23,8.79
2008-10-24,8.8
2008-10-27,8.8
2008-10-28,8.8
2008-10-29,8.7
2008-10-30,8.8
2008-10-31,8.8
2008-11-03,8.84
2008-11-04,8.81
2008-11-05,8.75
2008-11-06,9.0
2008-11-07,8.95
2008-11-10,8.95
2008-11-11,8.95
2008-11-12,8.95
2008-11-13,8.91
2008-11-14,8.92
2008-11-17,8.9
2008-11-18,8.89
2008-11-19,8.95
2008-11-20,8.9
2008-11-21,8.9
2008-11-24,8.9
2008-11-25,8.84
2008-11-26,8.84
2008-11-28,8.84
2008-12-01,8.84
2008-12-02,8.84
2008-12-03,8.85
2008-12-04,8.9
2008-12-05,8.85
2008-12-08,8.9
2008-12-09,8.91
2008-12-10,8.94
2008-12-11,8.94
2008-12-12,8.93
2008-12-15,8.93
2008-12-16,8.93
2008-12-17,8.9
2008-12-18,8.88
2008-12-19,8.88
2008-12-22,8.87
2008-12-23,8.9
2008-12-24,8.9
2008-12-26,8.93
2008-12-29,8.96
2008-12-30,8.96
2008-12-31,9.0
2009-01-02,9.1
2009-01-05,9.12
2009-01-06,9.15
2009-01-07,9.15
2009-01-08,9.16
2009-01-09,9.18
2009-01-12,9.2
2009-01-13,9.2
2009-01-14,9.16
2009-01-15,9.2
2009-01-16,9.32
2009-01-20,9.2
2009-01-21,9.25
2009-01-22,9.25
2009-01-23,9.25
2009-01-26,9.28
2009-01-27,9.28
2009-01-28,9.28
2009-01-29,9.21
2009-01-30,9.21
2009-02-02,9.28
2009-02-03,9.28
2009-02-04,9.26
2009-02-05,9.36
2009-02-06,9.36
2009-02-09,9.36
2009-02-10,9.31
2009-02-11,9.28
2009-02-12,9.34
2009-02-13,9.33
2009-02-17,9.3
2009-02-18,9.35
2009-02-19,9.39
2009-02-20,9.39
2009-02-23,9.38
2009-02-24,9.38
2009-02-25,9.39
