Date,ACBI
2015-11-02,15.0
2015-11-03,15.66
2015-11-04,14.305
2015-11-05,14.05
2015-11-06,14.15
2015-11-09,14.25
2015-11-10,14.25
2015-11-11,14.3
2015-11-12,14.26
2015-11-13,14.79
2015-11-16,14.53
2015-11-17,14.75
2015-11-18,14.57
2015-11-19,14.5
2015-11-20,14.27
2015-11-23,14.36
2015-11-24,14.45
2015-11-25,14.32
2015-11-27,14.35
2015-11-30,14.43
2015-12-01,14.53
2015-12-02,14.52
2015-12-03,14.37
2015-12-04,14.4
2015-12-07,14.69
2015-12-08,14.67
2015-12-09,14.68
2015-12-10,14.64
2015-12-11,14.53
2015-12-14,14.21
2015-12-15,14.48
2015-12-16,14.75
2015-12-17,14.64
2015-12-18,14.65
2015-12-21,14.7
2015-12-22,14.69
2015-12-23,14.89
2015-12-24,14.78
2015-12-28,14.52
2015-12-29,14.93
2015-12-30,14.84
2015-12-31,14.98
2016-01-04,14.85
2016-01-05,14.47
2016-01-06,14.49
2016-01-07,14.41
2016-01-08,14.16
2016-01-11,13.98
2016-01-12,14.01
2016-01-13,13.64
2016-01-14,13.79
2016-01-15,13.76
2016-01-19,13.52
2016-01-20,13.46
2016-01-21,13.54
2016-01-22,13.5
2016-01-25,13.37
2016-01-26,13.4
2016-01-27,13.4
2016-01-28,13.36
2016-01-29,13.35
2016-02-01,13.34
2016-02-02,13.22
2016-02-03,13.2
2016-02-04,13.25
2016-02-05,13.12
2016-02-08,12.74
2016-02-09,12.55
2016-02-10,12.42
2016-02-11,11.87
2016-02-12,12.23
2016-02-16,12.15
2016-02-17,11.88
2016-02-18,11.88
2016-02-19,11.89
2016-02-22,11.97
2016-02-23,12.35
2016-02-24,12.47
2016-02-25,12.48
2016-02-26,12.55
2016-02-29,13.01
2016-03-01,13.39
2016-03-02,13.16
2016-03-03,12.65
2016-03-04,13.29
2016-03-07,13.24
2016-03-08,13.21
2016-03-09,13.23
2016-03-10,13.32
2016-03-11,13.32
2016-03-14,13.4
2016-03-15,13.3
2016-03-16,13.5
2016-03-17,13.37
2016-03-18,13.69
2016-03-21,13.96
2016-03-22,13.76
2016-03-23,13.9
2016-03-24,13.94
2016-03-28,13.93
2016-03-29,13.95
2016-03-30,13.92
2016-03-31,13.94
2016-04-01,13.94
2016-04-04,13.89
2016-04-05,13.65
2016-04-06,13.91
2016-04-07,13.82
2016-04-08,13.85
2016-04-11,13.91
2016-04-12,13.9
2016-04-13,13.88
2016-04-14,13.91
2016-04-15,13.99
2016-04-18,14.01
2016-04-19,14.16
2016-04-20,14.19
2016-04-21,14.05
2016-04-22,14.14
2016-04-25,13.84
2016-04-26,14.2
2016-04-27,14.25
2016-04-28,14.36
2016-04-29,14.19
2016-05-02,14.23
2016-05-03,14.4
2016-05-04,14.42
2016-05-05,14.39
2016-05-06,14.21
2016-05-09,14.0
2016-05-10,14.43
2016-05-11,14.29
2016-05-12,14.09
2016-05-13,14.01
2016-05-16,14.18
2016-05-17,13.91
2016-05-18,14.0
2016-05-19,14.0
2016-05-20,14.03
2016-05-23,14.01
2016-05-24,14.1
2016-05-25,14.2
2016-05-26,14.22
2016-05-27,14.27
2016-05-31,14.22
2016-06-01,14.37
2016-06-02,14.31
2016-06-03,14.3
2016-06-06,14.31
2016-06-07,14.35
2016-06-08,14.46
2016-06-09,14.43
2016-06-10,14.37
2016-06-13,14.19
2016-06-14,14.16
2016-06-15,14.39
2016-06-16,14.21
2016-06-17,14.37
2016-06-20,14.24
2016-06-21,14.15
2016-06-22,14.32
2016-06-23,14.54
2016-06-24,13.85
2016-06-27,13.48
2016-06-28,13.8
2016-06-29,13.99
2016-06-30,14.46
2016-07-01,14.45
2016-07-05,14.45
2016-07-06,14.62
2016-07-07,14.59
2016-07-08,14.78
2016-07-11,14.86
2016-07-12,14.98
2016-07-13,15.02
2016-07-14,15.25
2016-07-15,15.23
2016-07-18,14.98
2016-07-19,14.92
2016-07-20,14.78
2016-07-21,14.53
2016-07-22,14.58
2016-07-25,14.53
2016-07-26,14.6
2016-07-27,14.75
2016-07-28,14.92
2016-07-29,14.83
2016-08-01,14.82
2016-08-02,14.59
2016-08-03,15.01
2016-08-04,15.0
2016-08-05,15.26
2016-08-08,15.15
2016-08-09,15.23
2016-08-10,15.14
2016-08-11,15.21
2016-08-12,15.13
2016-08-15,15.28
2016-08-16,15.44
2016-08-17,15.43
2016-08-18,15.47
2016-08-19,15.32
2016-08-22,15.36
2016-08-23,15.45
2016-08-24,15.56
2016-08-25,15.47
2016-08-26,15.41
2016-08-29,15.46
2016-08-30,15.39
2016-08-31,15.41
2016-09-01,15.44
2016-09-02,15.38
2016-09-06,15.39
2016-09-07,15.44
2016-09-08,15.41
2016-09-09,15.3
2016-09-12,15.45
2016-09-13,15.27
2016-09-14,15.32
2016-09-15,15.35
2016-09-16,14.82
2016-09-19,14.85
2016-09-20,15.0
2016-09-21,15.02
2016-09-22,15.06
2016-09-23,15.0
