Date,TWX
2012-06-18,35.616001000000004
2012-06-19,35.788601
2012-06-20,35.596802000000004
2012-06-21,35.731097999999996
2012-06-22,35.942001
2012-06-25,35.107898999999996
2012-06-26,35.616001000000004
2012-06-27,36.430901
2012-06-28,36.306301
2012-06-29,36.910301000000004
2012-07-02,37.150002
2012-07-03,37.236198
2012-07-05,36.7089
2012-07-06,36.996601
2012-07-09,36.5364
2012-07-10,36.1721
2012-07-11,36.526798
2012-07-12,36.152901
2012-07-13,36.613098
2012-07-16,36.546001000000004
2012-07-17,37.130798
2012-07-18,37.312901000000004
2012-07-19,37.5238
2012-07-20,37.255402000000004
2012-07-23,35.942001
2012-07-24,36.315899
2012-07-25,36.958199
2012-07-26,36.766498999999996
2012-07-27,37.370499
2012-07-30,36.987
2012-07-31,37.5047
2012-08-01,37.964901
2012-08-02,38.9907
2012-08-03,39.671397999999996
2012-08-06,39.891899
2012-08-07,40.208199
2012-08-08,40.563
2012-08-09,40.792999
2012-08-10,41.128601
2012-08-13,40.9081
2012-08-14,40.658798
2012-08-15,40.927299
2012-08-16,40.764301
2012-08-17,40.850601
2012-08-20,40.975201
2012-08-21,40.428699
2012-08-22,40.447899
2012-08-23,40.074001
2012-08-24,40.352001
2012-08-27,40.1315
2012-08-28,39.815201
2012-08-29,40.121899
2012-08-30,39.7672
2012-08-31,39.834301
2012-09-04,39.642601
2012-09-05,40.505402000000004
2012-09-06,41.435398
2012-09-07,41.838001
2012-09-10,41.291599
2012-09-11,41.262798
2012-09-12,41.291599
2012-09-13,42.4995
2012-09-14,42.863898999999996
2012-09-17,43.0172
2012-09-18,43.0172
2012-09-19,43.630798
2012-09-20,43.8993
2012-09-21,44.0047
2012-09-24,43.928001
2012-09-25,43.132301
2012-09-26,42.7967
2012-09-27,43.506199
2012-09-28,43.463001
2012-10-01,43.621201
2012-10-02,43.429501
2012-10-03,43.908798
2012-10-04,43.937599
2012-10-05,44.273201
2012-10-08,44.579899
2012-10-09,43.678799
2012-10-10,43.4678
2012-10-11,43.151501
2012-10-12,43.199402
2012-10-15,43.113098
2012-10-16,43.419899
