Date,LRN
2007-12-13,24.549999
2007-12-14,25.5
2007-12-17,24.98
2007-12-18,25.639999
2007-12-19,29.0
2007-12-20,27.110001
2007-12-21,28.41
2007-12-24,28.48
2007-12-26,28.290001
2007-12-27,27.290001
2007-12-28,26.01
2007-12-31,25.870001000000002
2008-01-02,26.360001
2008-01-03,27.809998999999998
2008-01-04,27.459999
2008-01-07,25.799999
2008-01-08,26.040001
2008-01-09,26.1
2008-01-10,26.32
2008-01-11,26.190001000000002
2008-01-14,23.35
2008-01-15,20.030001000000002
2008-01-16,21.15
2008-01-17,21.299999
2008-01-18,21.780001000000002
2008-01-22,22.98
2008-01-23,24.0
2008-01-24,25.5
2008-01-25,25.290001
2008-01-28,24.870001000000002
2008-01-29,24.209999
2008-01-30,23.0
2008-01-31,23.0
2008-02-01,23.0
2008-02-04,23.700001
2008-02-05,22.98
2008-02-06,23.049999
2008-02-07,23.0
2008-02-08,22.82
2008-02-11,22.030001000000002
2008-02-12,22.25
2008-02-13,24.0
2008-02-14,23.58
2008-02-15,25.08
2008-02-19,26.959999
2008-02-20,27.34
2008-02-21,26.32
2008-02-22,26.700001
2008-02-25,27.59
2008-02-26,26.450001
2008-02-27,27.780001000000002
2008-02-28,27.200001
2008-02-29,27.120001000000002
2008-03-03,26.82
2008-03-04,26.34
2008-03-05,25.1
2008-03-06,23.48
2008-03-07,23.860001
2008-03-10,22.209999
2008-03-11,22.98
2008-03-12,21.02
2008-03-13,20.92
2008-03-14,20.5
2008-03-17,20.799999
2008-03-18,22.65
2008-03-19,20.9
2008-03-20,22.4
2008-03-24,23.0
2008-03-25,22.77
2008-03-26,22.299999
2008-03-27,21.959999
2008-03-28,20.74
2008-03-31,19.65
2008-04-01,19.08
2008-04-02,18.0
2008-04-03,18.5
2008-04-04,19.48
2008-04-07,22.0
2008-04-08,21.299999
2008-04-09,21.530001000000002
2008-04-10,22.1
2008-04-11,20.639999
2008-04-14,20.530001000000002
2008-04-15,21.9
2008-04-16,22.99
2008-04-17,22.889999
2008-04-18,22.809998999999998
2008-04-21,22.18
2008-04-22,20.27
2008-04-23,19.700001
2008-04-24,23.0
2008-04-25,22.9
2008-04-28,22.959999
2008-04-29,23.620001000000002
2008-04-30,25.48
2008-05-01,23.889999
2008-05-02,23.209999
2008-05-05,23.379998999999998
2008-05-06,24.059998999999998
2008-05-07,24.780001000000002
2008-05-08,25.379998999999998
2008-05-09,26.08
2008-05-12,25.959999
2008-05-13,25.98
2008-05-14,25.620001000000002
2008-05-15,25.6
2008-05-16,25.799999
2008-05-19,26.6
2008-05-20,26.25
2008-05-21,26.620001000000002
2008-05-22,27.360001
2008-05-23,27.75
2008-05-27,28.950001
2008-05-28,28.360001
2008-05-29,29.23
2008-05-30,27.360001
2008-06-02,25.950001
2008-06-03,25.219998999999998
2008-06-04,24.42
2008-06-05,24.959999
