Date,MUR
1980-03-17,6.440702
1980-03-18,6.548647
1980-03-19,6.782527
1980-03-20,6.6386009999999995
1980-03-21,6.332757
1980-03-24,5.954951
1980-03-25,5.802029
1980-03-26,5.793034
1980-03-27,5.4512089999999995
1980-03-28,5.900979
1980-03-31,6.062896
1980-04-01,6.0808860000000005
1980-04-02,6.2428040000000005
1980-04-03,6.296776
1980-04-07,6.0808860000000005
1980-04-08,6.224813
1980-04-09,6.440702
1980-04-10,6.476684
1980-04-11,6.494675
1980-04-14,6.38673
1980-04-15,6.512666
1980-04-16,6.440702
1980-04-17,6.260795
1980-04-18,6.1888309999999995
1980-04-21,6.1888309999999995
1980-04-22,6.38673
1980-04-23,6.422711
1980-04-24,6.818509
1980-04-25,6.656592
1980-04-28,6.746546
1980-04-29,6.764536
1980-04-30,6.60262
1980-05-01,6.422711
1980-05-02,6.548647
1980-05-05,6.494675
1980-05-06,6.476684
1980-05-07,6.404721
1980-05-08,6.278785
1980-05-09,6.1888309999999995
1980-05-12,5.972942
1980-05-13,6.044905
1980-05-14,5.757052
1980-05-15,5.900979
1980-05-16,5.900979
1980-05-19,5.775043
1980-05-20,5.70308
1980-05-21,5.721071
1980-05-22,5.8470059999999995
1980-05-23,5.945956
1980-05-27,5.990932
1980-05-28,6.0089239999999995
1980-05-29,5.999928
1980-05-30,5.990932
1980-06-02,6.1888309999999995
1980-06-03,6.161845
1980-06-04,6.413716
1980-06-05,6.620610000000001
1980-06-06,6.674582000000001
1980-06-09,6.710564
1980-06-10,7.28627
1980-06-11,7.664076
1980-06-12,7.8529789999999995
1980-06-13,7.7720210000000005
1980-06-16,7.313256
1980-06-17,7.394214
1980-06-18,7.28627
1980-06-19,7.016407000000001
1980-06-20,6.962435
1980-06-23,7.232297
1980-06-24,7.394214
1980-06-25,8.095855
1980-06-26,7.8259929999999995
1980-06-27,7.7720210000000005
1980-06-30,7.394214
1980-07-01,7.691062
1980-07-02,7.718049000000001
1980-07-03,7.529145
1980-07-07,7.28627
1980-07-08,7.4212
1980-07-09,7.556131
1980-07-10,7.259283
1980-07-11,7.529145
1980-07-14,7.502159
1980-07-15,7.124352
1980-07-16,7.232297
1980-07-17,7.502159
1980-07-18,7.556131
1980-07-21,7.718049000000001
1980-07-22,7.691062
1980-07-23,7.745035000000001
1980-07-24,8.149827
1980-07-25,7.879964999999999
1980-07-28,8.230785000000001
1980-07-29,8.095855
1980-07-30,7.879964999999999
1980-07-31,7.63709
1980-08-01,7.448186
1980-08-04,7.502159
1980-08-05,7.394214
1980-08-06,7.28627
1980-08-07,7.63709
1980-08-08,7.879964999999999
1980-08-11,8.203799
1980-08-12,8.041883
1980-08-13,7.879964999999999
1980-08-14,8.419689
1980-08-15,8.419689
1980-08-18,7.98791
1980-08-19,7.933938
1980-08-20,8.068869
1980-08-21,8.419689
1980-08-22,8.689551
1980-08-25,8.365717
1980-08-26,8.527633999999999
1980-08-27,8.500648
1980-08-28,8.635578
1980-08-29,9.040371
1980-09-02,9.445164
1980-09-03,9.607080999999999
1980-09-04,9.337219000000001
1980-09-05,9.337219000000001
1980-09-08,9.283247
1980-09-09,9.310233
