Date,INFN
2007-06-07,19.709999
2007-06-08,25.16
2007-06-11,24.959999
2007-06-12,24.059998999999998
2007-06-13,23.940001000000002
2007-06-14,24.049999
2007-06-15,27.049999
2007-06-18,26.6
2007-06-19,24.610001
2007-06-20,23.969998999999998
2007-06-21,24.040001
2007-06-22,24.41
2007-06-25,23.75
2007-06-26,23.74
2007-06-27,23.9
2007-06-28,26.74
2007-06-29,24.92
2007-07-02,23.860001
2007-07-03,23.33
2007-07-05,22.34
2007-07-06,23.049999
2007-07-09,24.290001
2007-07-10,25.0
2007-07-11,24.99
2007-07-12,24.9
2007-07-13,25.719998999999998
2007-07-16,23.799999
2007-07-17,23.309998999999998
2007-07-18,23.290001
2007-07-19,22.35
2007-07-20,23.200001
2007-07-23,23.299999
2007-07-24,23.299999
2007-07-25,23.77
2007-07-26,23.450001
2007-07-27,22.16
2007-07-30,23.059998999999998
2007-07-31,22.799999
2007-08-01,20.129998999999998
2007-08-02,20.27
2007-08-03,20.059998999999998
2007-08-06,20.299999
2007-08-07,20.120001000000002
2007-08-08,20.9
2007-08-09,21.18
2007-08-10,19.83
2007-08-13,19.389999
2007-08-14,18.940001000000002
2007-08-15,17.98
2007-08-16,17.219998999999998
2007-08-17,17.99
2007-08-20,18.0
2007-08-21,17.860001
2007-08-22,17.9
2007-08-23,17.610001
2007-08-24,18.24
2007-08-27,17.549999
2007-08-28,17.16
2007-08-29,18.040001
2007-08-30,18.18
2007-08-31,19.26
2007-09-04,19.139999
2007-09-05,19.110001
2007-09-06,18.5
2007-09-07,18.049999
2007-09-10,17.75
2007-09-11,18.1
2007-09-12,17.6
2007-09-13,17.059998999999998
2007-09-14,16.690001000000002
2007-09-17,17.01
2007-09-18,17.049999
2007-09-19,17.1
2007-09-20,17.51
2007-09-21,18.799999
2007-09-24,18.299999
2007-09-25,18.91
2007-09-26,19.860001
2007-09-27,21.040001
2007-09-28,20.15
2007-10-01,20.85
2007-10-02,22.469998999999998
2007-10-03,23.469998999999998
2007-10-04,23.200001
2007-10-05,24.459999
2007-10-08,25.91
2007-10-09,25.08
2007-10-10,25.0
2007-10-11,23.969998999999998
2007-10-12,24.379998999999998
2007-10-15,24.700001
2007-10-16,24.469998999999998
2007-10-17,24.280001000000002
2007-10-18,24.940001000000002
2007-10-19,24.950001
2007-10-22,25.620001000000002
2007-10-23,26.66
2007-10-24,24.0
2007-10-25,23.290001
2007-10-26,23.200001
2007-10-29,23.139999
2007-10-30,22.65
2007-10-31,22.07
2007-11-01,22.09
2007-11-02,21.76
2007-11-05,21.780001000000002
2007-11-06,22.549999
2007-11-07,21.700001
2007-11-08,20.450001
2007-11-09,20.790001
2007-11-12,20.540001
2007-11-13,21.120001000000002
2007-11-14,20.4
2007-11-15,20.360001
2007-11-16,21.6
2007-11-19,21.43
2007-11-20,20.799999
2007-11-21,19.99
2007-11-23,20.690001000000002
2007-11-26,19.85
2007-11-27,19.01
2007-11-28,20.299999
2007-11-29,21.469998999999998
