Date,QCP
2016-10-20,19.0
2016-10-21,16.48
2016-10-24,17.0
2016-10-25,16.35
2016-10-26,16.0
2016-10-27,16.0
2016-10-28,16.639999
2016-10-31,16.639999
2016-11-01,14.9
2016-11-02,14.0
2016-11-03,13.55
2016-11-04,13.5
2016-11-07,13.0
2016-11-08,12.48
2016-11-09,14.24
2016-11-10,14.02
2016-11-11,13.97
2016-11-14,13.9
2016-11-15,14.28
2016-11-16,14.91
2016-11-17,14.99
2016-11-18,15.29
2016-11-21,14.82
2016-11-22,14.39
2016-11-23,14.59
2016-11-25,14.55
2016-11-28,14.71
2016-11-29,14.72
2016-11-30,15.0
2016-12-01,16.049999
2016-12-02,16.0
2016-12-05,16.389999
2016-12-06,16.049999
2016-12-07,16.0
2016-12-08,15.85
2016-12-09,15.71
2016-12-12,16.030001000000002
2016-12-13,16.209999
2016-12-14,15.74
2016-12-15,15.73
2016-12-16,15.27
2016-12-19,15.31
2016-12-20,15.62
2016-12-21,15.44
2016-12-22,15.34
2016-12-23,15.2
2016-12-27,15.16
2016-12-28,15.27
2016-12-29,15.35
2016-12-30,15.5
2017-01-03,15.67
2017-01-04,15.81
2017-01-05,16.049999
2017-01-06,16.120001000000002
2017-01-09,15.99
2017-01-10,16.129998999999998
2017-01-11,16.200001
2017-01-12,16.1
2017-01-13,16.02
2017-01-17,15.99
2017-01-18,16.01
2017-01-19,16.040001
2017-01-20,15.9
2017-01-23,15.87
2017-01-24,15.99
2017-01-25,16.190001000000002
2017-01-26,16.84
2017-01-27,17.75
2017-01-30,18.030001000000002
2017-01-31,18.459999
2017-02-01,17.879998999999998
2017-02-02,17.889999
2017-02-03,17.93
2017-02-06,17.9
2017-02-07,18.0
2017-02-08,18.530001000000002
2017-02-09,18.059998999999998
2017-02-10,18.02
2017-02-13,18.190001000000002
2017-02-14,18.25
2017-02-15,18.18
2017-02-16,18.530001000000002
2017-02-17,18.83
2017-02-21,18.98
2017-02-22,19.0
2017-02-23,18.889999
2017-02-24,18.9
2017-02-27,18.99
2017-02-28,18.98
2017-03-01,19.299999
2017-03-02,19.17
2017-03-03,19.129998999999998
2017-03-06,19.15
2017-03-07,18.959999
2017-03-08,18.58
2017-03-09,18.49
2017-03-10,18.4
2017-03-13,18.219998999999998
2017-03-14,17.98
2017-03-15,18.200001
2017-03-16,18.27
2017-03-17,17.700001
2017-03-20,18.08
2017-03-21,18.120001000000002
2017-03-22,18.110001
2017-03-23,18.27
2017-03-24,18.15
2017-03-27,18.200001
2017-03-28,18.25
2017-03-29,18.530001000000002
2017-03-30,18.709999
2017-03-31,18.860001
2017-04-03,19.620001000000002
2017-04-04,19.17
2017-04-05,19.6
2017-04-06,19.5
2017-04-07,19.290001
2017-04-10,19.299999
2017-04-11,19.629998999999998
2017-04-12,19.120001000000002
2017-04-13,18.82
2017-04-17,19.25
2017-04-18,18.969998999999998
2017-04-19,18.73
2017-04-20,18.58
2017-04-21,18.6
2017-04-24,18.200001
2017-04-25,18.549999
2017-04-26,18.459999
2017-04-27,18.25
2017-04-28,17.35
2017-05-01,17.35
2017-05-02,17.98
2017-05-03,17.84
2017-05-04,17.33
2017-05-05,17.549999
2017-05-08,17.6
2017-05-09,17.299999
2017-05-10,17.26
2017-05-11,17.65
2017-05-12,17.540001
2017-05-15,17.780001000000002
2017-05-16,17.559998999999998
2017-05-17,17.459999
2017-05-18,17.26
2017-05-19,17.51
2017-05-22,17.379998999999998
2017-05-23,16.700001
2017-05-24,17.25
2017-05-25,17.16
2017-05-26,17.08
2017-05-30,16.77
2017-05-31,16.92
2017-06-01,17.1
2017-06-02,17.209999
2017-06-05,16.91
2017-06-06,16.75
2017-06-07,16.84
2017-06-08,17.059998999999998
2017-06-09,17.26
2017-06-12,17.67
2017-06-13,17.469998999999998
2017-06-14,17.870001000000002
2017-06-15,17.82
2017-06-16,17.629998999999998
2017-06-19,18.09
2017-06-20,17.870001000000002
2017-06-21,17.629998999999998
2017-06-22,18.0
2017-06-23,18.540001
2017-06-26,18.52
2017-06-27,18.73
2017-06-28,18.879998999999998
2017-06-29,18.93
2017-06-30,18.309998999999998
2017-07-03,18.32
2017-07-05,17.969998999999998
2017-07-06,17.33
2017-07-07,17.33
2017-07-10,17.51
2017-07-11,17.5
2017-07-12,17.450001
2017-07-13,17.48
2017-07-14,18.280001000000002
2017-07-17,18.32
2017-07-18,18.530001000000002
2017-07-19,18.66
2017-07-20,18.6
2017-07-21,18.57
2017-07-24,18.25
2017-07-25,18.309998999999998
2017-07-26,17.25
2017-07-27,17.219998999999998
2017-07-28,16.620001000000002
2017-07-31,16.82
2017-08-01,17.25
2017-08-02,16.959999
2017-08-03,16.879998999999998
2017-08-04,17.02
2017-08-07,17.07
2017-08-08,17.07
2017-08-09,16.91
2017-08-10,16.530001000000002
2017-08-11,15.62
2017-08-14,15.62
2017-08-15,15.26
2017-08-16,15.18
2017-08-17,15.02
2017-08-18,14.14
2017-08-21,14.3
2017-08-22,14.36
2017-08-23,14.26
2017-08-24,14.02
2017-08-25,13.95
2017-08-28,14.05
2017-08-29,13.64
2017-08-30,13.48
2017-08-31,13.72
2017-09-01,14.1
2017-09-05,13.82
2017-09-06,13.9
2017-09-07,13.8
2017-09-08,13.96
2017-09-11,14.22
2017-09-12,14.42
2017-09-13,14.32
2017-09-14,14.24
2017-09-15,14.49
2017-09-18,14.45
2017-09-19,14.53
2017-09-20,14.68
2017-09-21,14.7
2017-09-22,14.76
2017-09-25,15.61
2017-09-26,15.59
2017-09-27,15.48
2017-09-28,15.47
