Date,VOD
1989-09-11,4.630843
1989-09-12,4.640552
1989-09-13,4.562885
1989-09-14,4.582301999999999
1989-09-15,4.659968
1989-09-18,4.611427
1989-09-19,4.533761
1989-09-20,4.533761
1989-09-21,4.659968
1989-09-22,4.601718
1989-09-25,4.553177
1989-09-26,4.543469
1989-09-27,4.562885
1989-09-28,4.485219
1989-09-29,4.5725940000000005
1989-10-02,4.562885
1989-10-03,4.659968
1989-10-04,4.601718
1989-10-05,4.543469
1989-10-06,4.524051999999999
1989-10-09,4.524051999999999
1989-10-10,4.562885
1989-10-11,4.543469
1989-10-12,4.543469
1989-10-13,4.135722
1989-10-16,4.252221
1989-10-17,4.019222
1989-10-18,4.038639
1989-10-19,4.193971
1989-10-20,4.213387
1989-10-23,4.155138
1989-10-24,4.1163050000000005
1989-10-25,4.155138
1989-10-26,3.9027230000000004
1989-10-27,3.86389
1989-10-30,3.883307
1989-10-31,3.9609730000000005
1989-11-01,3.941556
1989-11-02,3.883307
1989-11-03,3.883307
1989-11-06,3.883307
1989-11-07,4.1163050000000005
1989-11-08,4.281345
1989-11-09,4.291054
1989-11-10,4.261929
1989-11-13,4.271637
1989-11-14,4.397844999999999
1989-11-15,4.524051999999999
1989-11-16,4.514344
1989-11-17,4.562885
1989-11-20,4.630843
1989-11-21,4.659968
1989-11-22,4.6988010000000004
1989-11-24,4.679385
1989-11-27,4.679385
1989-11-28,4.776467
1989-11-29,4.844425
1989-11-30,4.999757
1989-12-01,4.776467
1989-12-04,4.795884
1989-12-05,4.757051000000001
1989-12-06,4.776467
1989-12-07,4.669676
1989-12-08,4.776467
1989-12-11,4.8153
1989-12-12,5.028882
1989-12-13,5.028882
1989-12-14,4.941508
1989-12-15,4.863842
1989-12-18,4.776467
1989-12-19,4.737634
1989-12-20,4.737634
1989-12-21,4.6988010000000004
1989-12-22,4.6988010000000004
1989-12-26,4.757051000000001
1989-12-27,4.795884
1989-12-28,4.87355
1989-12-29,4.931799
1990-01-02,4.970633
1990-01-03,5.009466000000001
1990-01-04,5.028882
1990-01-05,5.009466000000001
1990-01-08,5.125965
1990-01-09,5.106548
1990-01-10,4.990049
1990-01-11,5.019174
1990-01-12,4.8153
1990-01-15,4.659968
1990-01-16,4.650258999999999
1990-01-17,4.582301999999999
1990-01-18,4.543469
1990-01-19,4.621135
1990-01-22,4.601718
1990-01-23,4.5725940000000005
1990-01-24,4.621135
1990-01-25,4.582301999999999
1990-01-26,4.504636
1990-01-29,4.553177
1990-01-30,4.543469
1990-01-31,4.611427
1990-02-01,4.6988010000000004
1990-02-02,4.795884
1990-02-05,4.8153
1990-02-06,4.757051000000001
1990-02-07,4.757051000000001
1990-02-08,4.892966
1990-02-09,4.931799
1990-02-12,5.009466000000001
1990-02-13,4.970633
1990-02-14,5.028882
1990-02-15,5.106548
1990-02-16,5.174506
1990-02-20,5.09684
1990-02-21,4.999757
1990-02-22,5.03859
1990-02-23,4.970633
1990-02-26,4.922091
1990-02-27,4.912383
1990-02-28,4.902675
1990-03-01,4.892966
1990-03-02,4.980341
1990-03-05,4.9512160000000005
1990-03-06,4.9609239999999994
1990-03-07,4.795884
1990-03-08,4.757051000000001
1990-03-09,4.650258999999999
1990-03-12,4.640552
1990-03-13,4.601718
1990-03-14,4.659968
1990-03-15,4.640552
1990-03-16,4.630843
1990-03-19,4.621135
1990-03-20,4.562885
1990-03-21,4.310471
1990-03-22,4.300762000000001
1990-03-23,4.475511
1990-03-26,4.524051999999999
1990-03-27,4.485219
