Date,BIP
2008-12-02,6.101191
2008-12-03,6.595238
2008-12-04,6.6666669999999995
2008-12-05,6.369048
2008-12-08,6.4880949999999995
2008-12-09,6.25
2008-12-10,6.6666669999999995
2008-12-11,6.976191
2008-12-12,7.244047999999999
2008-12-15,6.577381
2008-12-16,6.815475999999999
2008-12-17,6.672619
2008-12-18,6.7083330000000005
2008-12-19,6.535714
2008-12-22,6.398809
2008-12-23,6.2619050000000005
2008-12-24,6.255952
2008-12-26,6.279762
2008-12-29,6.255952
2008-12-30,6.303571
2008-12-31,6.6666669999999995
2009-01-02,7.696428999999999
2009-01-05,8.059524
2009-01-06,8.273809
2009-01-07,8.065476
2009-01-08,8.154762
2009-01-09,8.422619000000001
2009-01-12,8.166667
2009-01-13,8.619047
2009-01-14,8.035714
2009-01-15,7.559524000000001
2009-01-16,7.577381
2009-01-20,7.619047999999999
2009-01-21,7.619047999999999
2009-01-22,7.952381
2009-01-23,8.166667
2009-01-26,8.053572
2009-01-27,7.922619
2009-01-28,7.892857000000001
2009-01-29,7.9166669999999995
2009-01-30,7.857142999999999
2009-02-02,7.7380949999999995
2009-02-03,8.357142
2009-02-04,8.184524
2009-02-05,7.928571000000001
2009-02-06,7.964286
2009-02-09,8.029762
2009-02-10,7.994047999999999
2009-02-11,8.017858
2009-02-12,8.333333
2009-02-13,8.232142
2009-02-17,8.404762
2009-02-18,8.095238
2009-02-19,7.8869050000000005
2009-02-20,7.892857000000001
2009-02-23,7.773809
2009-02-24,7.785714
2009-02-25,7.220238
2009-02-26,6.8869050000000005
2009-02-27,6.9166669999999995
2009-03-02,6.196429
2009-03-03,5.75
2009-03-04,5.119048
2009-03-05,5.178571
2009-03-06,5.446429
2009-03-09,5.773809
2009-03-10,6.095238
2009-03-11,6.565475999999999
2009-03-12,6.898809
2009-03-13,7.232142999999999
2009-03-16,7.720238
2009-03-17,8.154762
2009-03-18,7.875
2009-03-19,8.172619000000001
2009-03-20,8.107142
2009-03-23,8.339286
2009-03-24,8.119047
2009-03-25,8.119047
2009-03-26,8.339286
2009-03-27,8.244047
2009-03-30,8.101191
2009-03-31,7.8630949999999995
2009-04-01,8.244047
2009-04-02,8.166667
2009-04-03,8.113095
2009-04-06,8.011905
2009-04-07,7.8869050000000005
2009-04-08,7.928571000000001
2009-04-09,8.184524
2009-04-13,8.059524
2009-04-14,7.803571000000001
2009-04-15,7.571428999999999
2009-04-16,7.8333330000000005
2009-04-17,7.821428999999999
2009-04-20,7.047619
2009-04-21,7.369047999999999
2009-04-22,7.053571000000001
2009-04-23,7.1666669999999995
2009-04-24,8.0
2009-04-27,8.238095
2009-04-28,8.279762
2009-04-29,8.214286
2009-04-30,8.125
2009-05-01,7.940475999999999
