Date,AA
1962-01-02,6.532155
1962-01-03,6.632280000000001
1962-01-04,6.632280000000001
1962-01-05,6.62427
1962-01-08,6.408
1962-01-09,6.355935
1962-01-10,6.363944999999999
1962-01-11,6.339915
1962-01-12,6.20775
1962-01-15,6.05556
1962-01-16,6.0075
1962-01-17,6.0075
1962-01-18,6.0075
1962-01-19,6.0235199999999995
1962-01-22,6.039540000000001
1962-01-23,6.01551
1962-01-24,5.955435
1962-01-25,5.915385
1962-01-26,5.931405000000001
1962-01-29,5.923394999999999
1962-01-30,5.963445
1962-01-31,5.955435
1962-02-01,5.931405000000001
1962-02-02,5.915385
1962-02-05,5.939415
1962-02-06,5.85531
1962-02-07,5.915385
1962-02-08,5.86332
1962-02-09,5.82327
1962-02-12,5.815259999999999
1962-02-13,5.86332
1962-02-14,5.80725
1962-02-15,5.739165
1962-02-16,5.8312800000000005
1962-02-19,5.86332
1962-02-20,5.963445
1962-02-21,6.03153
1962-02-23,6.05556
1962-02-26,6.107625
1962-02-27,6.107625
1962-02-28,6.039540000000001
1962-03-01,6.255809999999999
1962-03-02,6.331905
1962-03-05,6.42402
1962-03-06,6.4640699999999995
1962-03-07,6.44805
1962-03-08,6.44805
1962-03-09,6.4640699999999995
1962-03-12,6.632280000000001
1962-03-13,6.640289999999999
1962-03-14,6.6483
1962-03-15,6.6483
1962-03-16,6.708375
1962-03-19,6.508125
1962-03-20,6.524145
1962-03-21,6.62427
1962-03-22,6.764444999999999
1962-03-23,6.740415
1962-03-26,6.740415
1962-03-27,6.62427
1962-03-28,6.60825
1962-03-29,6.45606
1962-03-30,6.363944999999999
1962-04-02,6.347925
1962-04-03,6.524145
1962-04-04,6.532155
1962-04-05,6.45606
1962-04-06,6.4640699999999995
1962-04-09,6.44004
1962-04-10,6.408
1962-04-11,6.315885
1962-04-12,6.331905
1962-04-13,6.331905
1962-04-16,6.347925
1962-04-17,6.41601
1962-04-18,6.355935
1962-04-19,6.347925
1962-04-23,6.42402
1962-04-24,6.44004
1962-04-25,6.23979
1962-04-26,6.147675
1962-04-27,6.155685
1962-04-30,6.131655
1962-05-01,6.131655
1962-05-02,6.0075
1962-05-03,6.107625
1962-05-04,5.955435
1962-05-07,5.815259999999999
1962-05-08,5.731155
1962-05-09,5.663069999999999
1962-05-10,5.6230199999999995
1962-05-11,5.607
1962-05-14,5.6390400000000005
1962-05-15,5.65506
1962-05-16,5.522895
1962-05-17,5.43879
1962-05-18,5.42277
1962-05-21,5.42277
1962-05-22,5.43879
1962-05-23,5.41476
1962-05-24,5.306625
1962-05-25,5.23854
1962-05-28,5.2065
1962-05-29,5.43879
1962-05-31,5.46282
1962-06-01,5.46282
1962-06-04,5.45481
1962-06-05,5.514885
1962-06-06,5.562945
1962-06-07,5.45481
1962-06-08,5.538915
1962-06-11,5.46282
1962-06-12,5.322645
1962-06-13,5.222519999999999
1962-06-14,5.05431
1962-06-15,5.2065
1962-06-18,5.25456
1962-06-19,5.2065
1962-06-20,5.106375
1962-06-21,4.946175
1962-06-22,4.7299050000000005
1962-06-25,4.553685
1962-06-26,4.737915
1962-06-27,4.705875
1962-06-28,5.00625
1962-06-29,5.2065
1962-07-02,5.42277
1962-07-03,5.5549349999999995
1962-07-05,5.80725
1962-07-06,5.64705
1962-07-09,5.707125
1962-07-10,5.61501
1962-07-11,5.707125
1962-07-12,5.663069999999999
1962-07-13,5.65506
1962-07-16,5.562945
1962-07-17,5.40675
1962-07-18,5.514885
1962-07-19,5.43879
1962-07-20,5.46282
1962-07-23,5.42277
1962-07-24,5.354685
1962-07-25,5.322645
1962-07-26,5.354685
1962-07-27,5.607
1962-07-30,5.663069999999999
1962-07-31,5.82327
1962-08-01,5.907375
1962-08-02,5.915385
1962-08-03,5.931405000000001
1962-08-06,5.85531
1962-08-07,5.715135
1962-08-08,5.82327
1962-08-09,5.931405000000001
1962-08-10,6.04755
1962-08-13,6.04755
1962-08-14,6.20775
1962-08-15,6.3258980000000005
1962-08-16,6.363944999999999
1962-08-17,6.331905
1962-08-20,6.339915
1962-08-21,6.155685
1962-08-22,6.05556
1962-08-23,6.05556
1962-08-24,5.939415
1962-08-27,6.039540000000001
1962-08-28,6.0075
1962-08-29,5.939415
1962-08-30,5.815259999999999
1962-08-31,5.86332
1962-09-04,5.907375
1962-09-05,5.947425
1962-09-06,5.955435
1962-09-07,5.939415
1962-09-10,5.939415
1962-09-11,5.955435
1962-09-12,5.963445
1962-09-13,5.939415
1962-09-14,5.955435
1962-09-17,5.923394999999999
1962-09-18,5.755185
1962-09-19,5.763195
1962-09-20,5.6390400000000005
1962-09-21,5.45481
1962-09-24,5.25456
1962-09-25,5.514885
1962-09-26,5.3626949999999995
1962-09-27,5.25456
1962-09-28,5.21451
1962-10-01,5.1143849999999995
1962-10-02,5.21451
1962-10-03,5.154434999999999
1962-10-04,5.138415
1962-10-05,5.322645
1962-10-08,5.262569999999999
1962-10-09,5.338665
1962-10-10,5.40675
1962-10-11,5.306625
1962-10-12,5.338665
1962-10-15,5.322645
1962-10-16,5.314635
1962-10-17,5.222519999999999
1962-10-18,5.1304050000000005
1962-10-19,5.03829
1962-10-22,4.938165000000001
1962-10-23,4.954185
1962-10-24,5.2065
1962-10-25,5.338665
1962-10-26,5.23854
1962-10-29,5.25456
1962-10-30,5.24655
1962-10-31,5.330655
1962-11-01,5.3626949999999995
1962-11-02,5.354685
1962-11-05,5.42277
1962-11-07,5.322645
1962-11-08,5.138415
1962-11-09,5.314635
1962-11-12,5.346675
1962-11-13,5.322645
1962-11-14,5.562945
1962-11-15,5.506875
1962-11-16,5.45481
1962-11-19,5.40675
1962-11-20,5.262569999999999
1962-11-21,5.322645
1962-11-23,5.506875
1962-11-26,5.41476
1962-11-27,5.6390400000000005
1962-11-28,5.80725
