Date,SFY
2019-04-11,10.01
2019-04-12,10.07
2019-04-15,10.07
2019-04-16,10.06
2019-04-17,10.04
2019-04-18,10.058
2019-04-22,10.074
2019-04-23,10.167
2019-04-24,10.16
2019-04-25,10.159
2019-04-26,10.186
2019-04-29,10.22
2019-04-30,10.215
2019-05-01,10.14
2019-05-02,10.105
2019-05-03,10.205
2019-05-06,10.175
2019-05-07,10.011
2019-05-08,10.0
2019-05-09,9.967
2019-05-10,9.98
2019-05-13,9.755
2019-05-14,9.837
2019-05-15,9.91
2019-05-16,9.996
2019-05-17,9.93
2019-05-20,9.86
2019-05-21,9.936
2019-05-22,9.925
2019-05-23,9.776
2019-05-24,9.798
2019-05-28,9.752
2019-05-29,9.663
2019-05-30,9.662
2019-05-31,9.56
2019-06-03,9.47
2019-06-04,9.686
2019-06-05,9.757
2019-06-06,9.835
2019-06-07,9.958
2019-06-10,10.02
2019-06-11,10.005
2019-06-12,9.966
2019-06-13,10.002
2019-06-14,10.005
2019-06-17,10.032
2019-06-18,10.12
2019-06-19,10.157
2019-06-20,10.266
2019-06-21,10.28
2019-06-24,10.22
2019-06-25,10.077
2019-06-26,10.105
2019-06-27,10.108
2019-06-28,10.152
2019-07-01,10.274
2019-07-02,10.3
2019-07-03,10.366
2019-07-05,10.347
2019-07-08,10.32
2019-07-09,10.345
2019-07-10,10.388
2019-07-11,10.433
2019-07-12,10.47
2019-07-15,10.495
2019-07-16,10.455
2019-07-17,10.41
2019-07-18,10.406
2019-07-19,10.37
2019-07-22,10.39
2019-07-23,10.445
2019-07-24,10.49
2019-07-25,10.459
2019-07-26,10.54
2019-07-29,10.51
2019-07-30,10.485
2019-07-31,10.38
2019-08-01,10.28
2019-08-02,10.19
2019-08-05,9.89
2019-08-06,9.988
2019-08-07,9.998
2019-08-08,10.184
2019-08-09,10.15
2019-08-12,9.99
2019-08-13,10.149
2019-08-14,9.875
2019-08-15,9.889
2019-08-16,10.02
2019-08-19,10.17
2019-08-20,10.07
2019-08-21,10.135
2019-08-22,10.144
2019-08-23,9.88
2019-08-26,9.959
2019-08-27,9.93
2019-08-28,9.984
2019-08-29,10.124
2019-08-30,10.134
2019-09-03,10.058
2019-09-04,10.17
2019-09-05,10.323
2019-09-06,10.325
2019-09-09,10.322
2019-09-10,10.305
2019-09-11,10.39
2019-09-12,10.441
2019-09-13,10.435
2019-09-16,10.4
2019-09-17,10.415
2019-09-18,10.427
2019-09-19,10.455
2019-09-20,10.41
2019-09-23,10.395
2019-09-24,10.281
2019-09-25,10.36
2019-09-26,10.318
2019-09-27,10.242
2019-09-30,10.31
2019-10-01,10.19
2019-10-02,10.01
2019-10-03,10.079
2019-10-04,10.229
2019-10-07,10.19
2019-10-08,10.048
2019-10-09,10.117
2019-10-10,10.171
2019-10-11,10.28
2019-10-14,10.295
2019-10-15,10.42
2019-10-16,10.4
2019-10-17,10.42
2019-10-18,10.33
2019-10-21,10.42
2019-10-22,10.38
2019-10-23,10.38
2019-10-24,10.46
2019-10-25,10.5
2019-10-28,10.55
2019-10-29,10.56
2019-10-30,10.6
2019-10-31,10.57
2019-11-01,10.67
2019-11-04,10.72
2019-11-05,10.71
2019-11-06,10.685
2019-11-07,10.73
2019-11-08,10.75
2019-11-11,10.72
2019-11-12,10.77
2019-11-13,10.77
2019-11-14,10.79
2019-11-15,10.85
2019-11-18,10.87
2019-11-19,10.87
2019-11-20,10.82
2019-11-21,10.808
2019-11-22,10.84
2019-11-25,10.92
2019-11-26,10.96
2019-11-27,11.01
2019-11-29,10.96
2019-12-02,10.87
2019-12-03,10.779
2019-12-04,10.85
2019-12-05,10.87
2019-12-06,10.96
2019-12-09,10.94
2019-12-10,10.92
2019-12-11,10.945
2019-12-12,11.03
2019-12-13,11.06
2019-12-16,11.15
2019-12-17,11.133
2019-12-18,11.15
2019-12-19,11.18
2019-12-20,11.23
2019-12-23,11.27
2019-12-24,11.26
2019-12-26,11.243
2019-12-27,11.23
2019-12-30,11.16
2019-12-31,11.23
2020-01-02,11.32
2020-01-03,11.25
2020-01-06,11.3
2020-01-07,11.3
2020-01-08,11.329
2020-01-09,11.41
2020-01-10,11.34
2020-01-13,11.48
2020-01-14,11.45
2020-01-15,11.47
2020-01-16,11.56
2020-01-17,11.574
2020-01-21,11.59
2020-01-22,11.59
2020-01-23,11.62
2020-01-24,11.5
2020-01-27,11.32
2020-01-28,11.42
2020-01-29,11.43
2020-01-30,11.45
2020-01-31,11.296
2020-02-03,11.4
2020-02-04,11.588
2020-02-05,11.65
2020-02-06,11.73
2020-02-07,11.69
2020-02-10,11.76
2020-02-11,11.79
2020-02-12,11.88
2020-02-13,11.87
2020-02-14,11.85
2020-02-18,11.83
2020-02-19,11.94
2020-02-20,11.86
2020-02-21,11.784
2020-02-24,11.33
2020-02-25,10.999
2020-02-26,10.985
2020-02-27,10.46
2020-02-28,10.39
2020-03-02,10.88
2020-03-03,10.64
2020-03-04,10.99
2020-03-05,10.64
2020-03-06,10.46
2020-03-09,9.76
2020-03-10,10.02
2020-03-11,9.63
2020-03-12,8.77
2020-03-13,9.4
2020-03-16,8.522
2020-03-17,8.73
2020-03-18,8.561
2020-03-19,8.502
2020-03-20,8.22
2020-03-23,7.97
2020-03-24,8.56
2020-03-25,8.76
2020-03-26,9.27
2020-03-27,9.06
2020-03-30,9.33
2020-03-31,9.247
2020-04-01,8.83
2020-04-02,8.92
2020-04-03,8.89
2020-04-06,9.385
2020-04-07,9.55
2020-04-08,9.74
2020-04-09,9.85
2020-04-13,9.84
2020-04-14,10.12
2020-04-15,9.91
2020-04-16,9.99
2020-04-17,10.23
2020-04-20,10.03
2020-04-21,9.78
2020-04-22,10.0
2020-04-23,10.0
2020-04-24,10.13
2020-04-27,10.29
2020-04-28,10.2
2020-04-29,10.55
2020-04-30,10.39
2020-05-01,10.08
2020-05-04,10.19
2020-05-05,10.25
2020-05-06,10.24
2020-05-07,10.37
2020-05-08,10.61
