Date,RH
2013-10-03,64.93
2013-10-04,65.739998
2013-10-07,64.18
2013-10-08,60.66
2013-10-09,60.52
2013-10-10,61.91
2013-10-11,63.009997999999996
2013-10-14,63.459998999999996
2013-10-15,61.32
2013-10-16,63.68
2013-10-17,65.029999
2013-10-18,65.83000200000001
2013-10-21,64.309998
2013-10-22,65.349998
2013-10-23,66.900002
2013-10-24,70.209999
2013-10-25,70.0
2013-10-28,70.150002
2013-10-29,70.83000200000001
2013-10-30,71.440002
2013-10-31,69.739998
2013-11-01,68.589996
2013-11-04,70.470001
2013-11-05,70.57
2013-11-06,70.33000200000001
2013-11-07,70.010002
2013-11-08,72.639999
2013-11-11,74.33000200000001
2013-11-12,73.480003
2013-11-13,74.769997
2013-11-14,74.610001
2013-11-15,75.220001
2013-11-18,73.07
2013-11-19,72.989998
2013-11-20,70.650002
2013-11-21,74.769997
2013-11-22,75.550003
2013-11-25,73.57
2013-11-26,75.57
2013-11-27,76.25
2013-11-29,75.5
2013-12-02,73.029999
2013-12-03,73.160004
2013-12-04,73.959999
2013-12-05,74.019997
2013-12-06,72.519997
2013-12-09,67.389999
2013-12-10,68.790001
2013-12-11,66.040001
2013-12-12,65.269997
2013-12-13,65.25
2013-12-16,64.059998
2013-12-17,63.59
2013-12-18,65.050003
2013-12-19,64.83000200000001
2013-12-20,67.650002
2013-12-23,65.589996
2013-12-24,65.699997
2013-12-26,65.370003
2013-12-27,64.639999
2013-12-30,65.08000200000001
2013-12-31,67.300003
2014-01-02,67.32
2014-01-03,68.300003
2014-01-06,67.68
2014-01-07,67.410004
2014-01-08,65.910004
2014-01-09,64.300003
2014-01-10,63.490002000000004
2014-01-13,61.610001000000004
2014-01-14,61.439999
2014-01-15,57.779999
2014-01-16,57.150002
2014-01-17,57.740002000000004
2014-01-21,58.009997999999996
2014-01-22,58.560001
2014-01-23,58.639998999999996
2014-01-24,58.970001
2014-01-27,58.259997999999996
2014-01-28,57.439999
2014-01-29,54.959998999999996
2014-01-30,56.389998999999996
2014-01-31,56.740002000000004
2014-02-03,54.849998
2014-02-04,56.27
2014-02-05,55.959998999999996
2014-02-06,56.09
2014-02-07,59.77
2014-02-10,60.540001000000004
2014-02-11,61.029999
2014-02-12,58.82
2014-02-13,58.779999
2014-02-14,57.650002
2014-02-18,57.34
2014-02-19,60.169998
2014-02-20,60.709998999999996
2014-02-21,63.560001
2014-02-24,63.669998
2014-02-25,64.07
2014-02-26,65.900002
2014-02-27,65.75
2014-02-28,67.720001
2014-03-03,64.209999
2014-03-04,65.18
2014-03-05,66.470001
2014-03-06,65.5
2014-03-07,64.660004
2014-03-10,65.059998
2014-03-11,65.699997
2014-03-12,66.370003
2014-03-13,66.309998
2014-03-14,65.629997
