Date,KAR
2009-12-11,4.553369
2009-12-14,4.542014
2009-12-15,4.4663129999999995
2009-12-16,4.655564
2009-12-17,4.920515
2009-12-18,5.03785
2009-12-21,5.094625
2009-12-22,4.958365000000001
2009-12-23,4.93944
2009-12-24,5.06813
2009-12-28,5.003785
2009-12-29,5.117335
2009-12-30,5.18925
2009-12-31,5.219531
2010-01-04,5.287661
2010-01-05,5.3028010000000005
2010-01-06,5.299016
2010-01-07,5.3028010000000005
2010-01-08,5.488266
2010-01-11,5.552612
2010-01-12,5.514761
2010-01-13,5.522332
2010-01-14,5.526116
2010-01-15,5.507192
2010-01-19,5.495836
2010-01-20,5.654807
2010-01-21,5.480697
2010-01-22,5.423921
2010-01-25,5.488266
2010-01-26,5.488266
2010-01-27,5.352005999999999
2010-01-28,5.268736
2010-01-29,5.249811
2010-02-01,5.450417
2010-02-02,5.435276999999999
2010-02-03,5.393641000000001
2010-02-04,5.283876
2010-02-05,5.374716
2010-02-08,5.389856
2010-02-09,5.431491
2010-02-10,5.439061
2010-02-11,5.480697
2010-02-12,5.5904620000000005
2010-02-16,5.272521
2010-02-17,5.026495
2010-02-18,5.333081
2010-02-19,5.355791
2010-02-22,5.314156
2010-02-23,5.261166
2010-02-24,5.12869
2010-02-25,5.3368660000000006
2010-02-26,5.071915
2010-03-01,5.094625
2010-03-02,5.283876
2010-03-03,5.370931
2010-03-04,5.299016
2010-03-05,5.374716
2010-03-08,5.374716
2010-03-09,5.367146
2010-03-10,5.374716
2010-03-11,5.283876
2010-03-12,5.374716
2010-03-15,5.348221
2010-03-16,5.514761
2010-03-17,5.503407
2010-03-18,5.457986
2010-03-19,5.556396
2010-03-22,5.700227
2010-03-23,5.677517
2010-03-24,5.635882
2010-03-25,5.677517
2010-03-26,5.768357
2010-03-29,5.753217
2010-03-30,5.885693
2010-03-31,5.700227
2010-04-01,5.722937
2010-04-05,5.715367
2010-04-06,5.825132
2010-04-07,5.7040120000000005
2010-04-08,5.802423
2010-04-09,5.8327029999999995
2010-04-12,5.730507
2010-04-13,5.730507
2010-04-14,5.798637
2010-04-15,5.722937
2010-04-16,5.662376999999999
2010-04-19,5.692657
2010-04-20,5.866766999999999
2010-04-21,5.779712
2010-04-22,5.862983
2010-04-23,5.870553
2010-04-26,5.851627
2010-04-27,5.745647
2010-04-28,5.719151999999999
2010-04-29,5.828918
2010-04-30,5.8894779999999995
2010-05-03,5.953823000000001
2010-05-04,5.862983
2010-05-05,5.836487
2010-05-06,5.5904620000000005
2010-05-07,5.624527
2010-05-10,5.677517
2010-05-11,5.688872
2010-05-12,5.753217
2010-05-13,5.666162
2010-05-14,5.6699470000000005
2010-05-17,5.601817
2010-05-18,5.673732
2010-05-19,5.654807
2010-05-20,5.401211
2010-05-21,5.469341
2010-05-24,5.340651
2010-05-25,5.03785
2010-05-26,5.211961
2010-05-27,5.333081
2010-05-28,5.276306
2010-06-01,5.3028010000000005
