Date,CA
2012-06-18,26.450001
2012-06-19,26.559998999999998
2012-06-20,26.59
2012-06-21,26.01
2012-06-22,26.129998999999998
2012-06-25,25.93
2012-06-26,26.129998999999998
2012-06-27,26.379998999999998
2012-06-28,25.92
2012-06-29,27.09
2012-07-02,26.98
2012-07-03,27.18
2012-07-05,27.0
2012-07-06,26.370001000000002
2012-07-09,26.200001
2012-07-10,25.91
2012-07-11,25.77
2012-07-12,25.5
2012-07-13,25.879998999999998
2012-07-16,25.65
2012-07-17,25.9
2012-07-18,26.450001
2012-07-19,26.51
2012-07-20,26.049999
2012-07-23,25.66
2012-07-24,25.43
2012-07-25,25.67
2012-07-26,26.309998999999998
2012-07-27,24.424999
2012-07-30,24.25
2012-07-31,24.07
2012-08-01,24.33
2012-08-02,24.129998999999998
2012-08-03,24.790001
2012-08-06,25.08
2012-08-07,25.48
2012-08-08,25.51
2012-08-09,25.68
2012-08-10,25.559998999999998
2012-08-13,25.290001
2012-08-14,25.389999
2012-08-15,25.450001
2012-08-16,25.780001000000002
2012-08-17,25.940001000000002
2012-08-20,26.120001000000002
2012-08-21,25.93
2012-08-22,25.92
2012-08-23,25.790001
2012-08-24,25.799999
2012-08-27,25.75
2012-08-28,25.889999
2012-08-29,25.940001000000002
2012-08-30,25.629998999999998
2012-08-31,26.030001000000002
2012-09-04,26.129998999999998
2012-09-05,26.129998999999998
2012-09-06,26.74
2012-09-07,26.83
2012-09-10,26.85
2012-09-11,27.23
2012-09-12,27.200001
2012-09-13,27.280001000000002
2012-09-14,27.309998999999998
2012-09-17,27.014999
2012-09-18,27.059998999999998
2012-09-19,26.860001
2012-09-20,26.790001
2012-09-21,26.77
2012-09-24,26.5
2012-09-25,26.059998999999998
2012-09-26,25.709999
2012-09-27,25.91
2012-09-28,25.764999
2012-10-01,25.4517
2012-10-02,25.42
2012-10-03,25.33
2012-10-04,25.5
2012-10-05,25.450001
2012-10-08,25.290001
2012-10-09,25.190001000000002
2012-10-10,24.889999
2012-10-11,24.92
2012-10-12,24.860001
2012-10-15,24.969998999999998
2012-10-16,25.379998999999998
2012-10-17,25.08
2012-10-18,24.91
2012-10-19,24.510099
2012-10-22,24.5
2012-10-23,24.639999
2012-10-24,24.389999
2012-10-25,24.9
2012-10-26,22.73
