Date,IM
2018-12-18,2431.060059
2018-12-19,2455.139893
2018-12-20,2475.179932
2018-12-21,
2018-12-24,2454.610107
2018-12-26,2465.73999
2018-12-27,2460.580078
2018-12-28,2459.080078
2018-12-31,2469.27002
2019-01-02,2503.449951
2019-01-03,2484.459961
2019-01-04,2516.459961
2019-01-07,2538.600098
2019-01-08,2579.350098
2019-01-09,2583.820068
2019-01-10,2586.050049
2019-01-11,2572.23999
2019-01-14,2563.820068
2019-01-15,2574.48999
2019-01-16,2590.780029
2019-01-17,2599.139893
2019-01-18,2622.219971
2019-01-22,2586.800049
2019-01-23,2578.580078
2019-01-24,2575.100098
2019-01-25,2580.51001
2019-01-28,2582.209961
2019-01-29,2584.959961
2019-01-30,2589.800049
2019-01-31,2613.600098
2019-02-01,2597.98999
2019-02-04,
2019-02-05,2636.889893
2019-02-06,2604.6201170000004
2019-02-07,2582.610107
2019-02-08,2550.52002
2019-02-11,2555.72998
2019-02-12,2551.22998
2019-02-13,2507.100098
2019-02-14,2537.300049
2019-02-15,2551.73999
2019-02-19,2553.26001
2019-02-20,2567.340088
2019-02-21,2590.179932
2019-02-22,2595.969971
2019-02-25,2590.209961
2019-02-26,2592.709961
2019-02-27,2574.679932
2019-02-28,2537.090088
2019-03-01,2524.639893
2019-03-04,2512.360107
2019-03-05,2493.679932
2019-03-06,2481.600098
2019-03-07,2465.040039
2019-03-08,
2019-03-11,2480.1298829999996
2019-03-12,2473.679932
2019-03-13,
2019-03-14,2476.219971
2019-03-15,2506.209961
2019-03-18,
2019-03-19,2514.51001
2019-03-20,2556.3798829999996
2019-03-21,2560.939941
2019-03-22,2498.8798829999996
2019-03-25,2524.330078
2019-03-26,2533.070068
2019-03-27,2545.070068
2019-03-28,
2019-03-29,2570.649902
2019-04-01,2597.149902
2019-04-02,2576.26001
2019-04-03,2572.889893
2019-04-04,2611.6201170000004
2019-04-05,2673.110107
2019-04-08,2701.679932
2019-04-09,2681.070068
2019-04-10,2666.76001
2019-04-11,2640.939941
2019-04-12,2647.98999
2019-04-15,2644.909912
2019-04-16,2671.060059
2019-04-17,2702.899902
2019-04-18,
2019-04-22,2692.939941
2019-04-23,2679.48999
2019-04-24,2672.310059
2019-04-25,2668.449951
2019-04-26,2667.22998
2019-04-29,2661.600098
2019-04-30,2643.649902
2019-05-01,
2019-05-02,
2019-05-03,2620.409912
2019-05-06,2612.659912
2019-05-07,2578.1298829999996
2019-05-08,2569.649902
2019-05-09,2555.709961
2019-05-10,2568.26001
2019-05-13,2548.48999
2019-05-14,2564.27002
2019-05-15,2557.320068
2019-05-16,2562.330078
2019-05-17,2560.3701170000004
2019-05-20,2560.98999
2019-05-21,2538.330078
2019-05-22,2523.320068
2019-05-23,2518.090088
2019-05-24,2506.840088
2019-05-28,
2019-05-29,2519.889893
2019-05-30,2546.860107
2019-05-31,2519.540039
2019-06-03,2538.73999
2019-06-04,2548.830078
2019-06-05,2561.01001
2019-06-06,
2019-06-07,2558.899902
2019-06-10,
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-24,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-05,
2019-07-08,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-15,
2019-07-16,
