Date,MX
2011-03-11,14.01
2011-03-14,14.02
2011-03-15,14.0
2011-03-16,14.0
2011-03-17,13.92
2011-03-18,13.8
2011-03-21,13.83
2011-03-22,13.7
2011-03-23,13.62
2011-03-24,13.65
2011-03-25,13.5
2011-03-28,13.94
2011-03-29,13.76
2011-03-30,13.7
2011-03-31,13.75
2011-04-01,13.81
2011-04-04,13.93
2011-04-05,13.95
2011-04-06,13.9
2011-04-07,13.91
2011-04-08,14.77
2011-04-11,14.62
2011-04-12,14.89
2011-04-13,14.61
2011-04-14,14.36
2011-04-15,13.95
2011-04-18,13.9
2011-04-19,13.97
2011-04-20,14.2
2011-04-21,14.11
2011-04-25,14.05
2011-04-26,14.02
2011-04-27,13.96
2011-04-28,13.95
2011-04-29,13.95
2011-05-02,13.87
2011-05-03,13.92
2011-05-04,13.73
2011-05-05,14.15
2011-05-06,14.6
2011-05-09,14.68
2011-05-10,15.03
2011-05-11,14.81
2011-05-12,14.73
2011-05-13,14.7
2011-05-16,14.48
2011-05-17,14.29
2011-05-18,14.65
2011-05-19,14.54
2011-05-20,14.28
2011-05-23,14.11
2011-05-24,14.28
2011-05-25,14.06
2011-05-26,13.91
2011-05-27,13.86
2011-05-31,13.89
2011-06-01,13.9
2011-06-02,14.03
2011-06-03,14.0
2011-06-06,13.79
2011-06-07,13.51
2011-06-08,12.94
2011-06-09,12.55
2011-06-10,11.85
2011-06-13,11.36
2011-06-14,11.85
2011-06-15,11.72
2011-06-16,11.52
2011-06-17,11.62
2011-06-20,11.52
2011-06-21,11.74
2011-06-22,11.94
2011-06-23,12.28
2011-06-24,11.57
2011-06-27,11.66
2011-06-28,11.65
2011-06-29,11.53
2011-06-30,11.52
2011-07-01,11.42
2011-07-05,11.45
2011-07-06,11.17
2011-07-07,11.32
2011-07-08,11.47
2011-07-11,11.13
2011-07-12,11.07
2011-07-13,10.92
2011-07-14,11.1
2011-07-15,10.99
2011-07-18,10.79
2011-07-19,11.1
2011-07-20,10.97
2011-07-21,11.38
2011-07-22,11.46
2011-07-25,11.68
2011-07-26,11.28
2011-07-27,11.08
2011-07-28,10.93
2011-07-29,10.64
2011-08-01,10.86
2011-08-02,10.83
2011-08-03,10.3
2011-08-04,10.4
2011-08-05,10.66
2011-08-08,9.93
2011-08-09,9.26
2011-08-10,8.82
2011-08-11,9.79
2011-08-12,10.04
2011-08-15,10.43
2011-08-16,10.3
2011-08-17,9.99
2011-08-18,9.51
2011-08-19,9.38
2011-08-22,9.39
2011-08-23,9.7
2011-08-24,9.5
2011-08-25,9.0
2011-08-26,9.12
2011-08-29,9.06
2011-08-30,9.13
2011-08-31,8.96
2011-09-01,8.76
2011-09-02,8.71
2011-09-06,8.65
2011-09-07,8.67
2011-09-08,8.5
2011-09-09,8.44
2011-09-12,8.15
2011-09-13,8.1
2011-09-14,8.11
2011-09-15,8.14
2011-09-16,8.06
2011-09-19,7.85
2011-09-20,7.94
2011-09-21,7.85
2011-09-22,7.5
2011-09-23,7.48
2011-09-26,7.28
2011-09-27,7.33
2011-09-28,7.2
2011-09-29,6.9
2011-09-30,6.72
2011-10-03,6.4
2011-10-04,5.9
2011-10-05,5.81
2011-10-06,5.86
2011-10-07,5.94
2011-10-10,6.19
2011-10-11,6.56
2011-10-12,6.5
2011-10-13,6.6
2011-10-14,6.58
2011-10-17,6.43
2011-10-18,6.36
2011-10-19,6.24
2011-10-20,6.01
2011-10-21,6.01
2011-10-24,6.18
2011-10-25,6.12
2011-10-26,6.22
2011-10-27,7.1
2011-10-28,7.55
2011-10-31,7.57
2011-11-01,7.31
2011-11-02,7.62
2011-11-03,7.5
2011-11-04,7.54
2011-11-07,7.59
2011-11-08,7.48
2011-11-09,7.34
2011-11-10,7.4
2011-11-11,7.4
2011-11-14,7.47
2011-11-15,8.0
2011-11-16,8.0
2011-11-17,7.86
2011-11-18,7.89
2011-11-21,7.81
2011-11-22,7.6
2011-11-23,7.36
2011-11-25,7.23
2011-11-28,7.57
2011-11-29,7.7
2011-11-30,8.01
2011-12-01,8.0
2011-12-02,8.01
2011-12-05,7.9
2011-12-06,7.85
2011-12-07,7.65
2011-12-08,7.71
2011-12-09,7.87
2011-12-12,7.82
2011-12-13,7.82
2011-12-14,7.48
2011-12-15,7.34
2011-12-16,7.33
2011-12-19,7.29
2011-12-20,7.25
2011-12-21,7.19
2011-12-22,7.2
2011-12-23,7.34
2011-12-27,7.36
2011-12-28,7.34
2011-12-29,7.35
2011-12-30,7.48
2012-01-03,7.37
2012-01-04,7.48
2012-01-05,7.37
2012-01-06,7.42
2012-01-09,7.79
2012-01-10,8.1
2012-01-11,7.98
2012-01-12,7.86
2012-01-13,7.75
2012-01-17,7.7
2012-01-18,7.84
2012-01-19,8.1
2012-01-20,8.34
2012-01-23,8.37
2012-01-24,8.38
2012-01-25,8.38
2012-01-26,8.53
2012-01-27,9.25
2012-01-30,9.68
2012-01-31,9.72
2012-02-01,10.16
2012-02-02,10.82
2012-02-03,11.1
2012-02-06,11.38
2012-02-07,10.88
2012-02-08,11.02
2012-02-09,10.87
2012-02-10,10.67
2012-02-13,10.87
2012-02-14,10.82
2012-02-15,10.9
2012-02-16,10.79
2012-02-17,11.37
2012-02-21,11.69
2012-02-22,11.51
2012-02-23,11.61
2012-02-24,11.62
2012-02-27,11.52
2012-02-28,11.84
2012-02-29,11.58
2012-03-01,11.5
2012-03-02,11.41
2012-03-05,11.06
2012-03-06,10.78
2012-03-07,11.02
2012-03-08,11.39
2012-03-09,11.67
2012-03-12,11.34
2012-03-13,11.65
2012-03-14,11.7
2012-03-15,11.64
2012-03-16,11.12
2012-03-19,11.22
2012-03-20,11.13
2012-03-21,11.2
2012-03-22,11.45
2012-03-23,11.6
2012-03-26,11.84
2012-03-27,12.33
2012-03-28,12.54
2012-03-29,12.5
2012-03-30,12.0
2012-04-02,11.87
2012-04-03,11.92
2012-04-04,11.62
2012-04-05,11.44
2012-04-09,11.86
2012-04-10,11.3
2012-04-11,11.59
2012-04-12,12.07
2012-04-13,11.74
2012-04-16,11.51
2012-04-17,11.69
2012-04-18,11.63
2012-04-19,11.39
2012-04-20,10.63
2012-04-23,10.5
2012-04-24,10.59
2012-04-25,10.83
2012-04-26,11.65
2012-04-27,11.59
2012-04-30,11.78
2012-05-01,11.64
2012-05-02,11.4
2012-05-03,11.1
2012-05-04,11.2
2012-05-07,11.02
2012-05-08,10.99
2012-05-09,11.18
2012-05-10,11.4
2012-05-11,11.16
2012-05-14,11.09
2012-05-15,10.96
2012-05-16,10.3
2012-05-17,9.82
2012-05-18,9.43
2012-05-21,9.66
2012-05-22,9.18
2012-05-23,9.28
2012-05-24,9.51
2012-05-25,9.53
2012-05-29,9.83
2012-05-30,9.79
2012-05-31,9.52
