Date,HPE
2016-08-30,12.542448
2016-08-31,12.484327
2016-09-01,12.879549
2016-09-02,12.908608000000001
2016-09-06,12.705186999999999
2016-09-07,12.838864
2016-09-08,12.426207000000002
2016-09-09,12.158852
2016-09-12,12.373899
2016-09-13,12.298342
2016-09-14,12.414583
2016-09-15,12.862112
2016-09-16,12.937669
2016-09-19,13.181776000000001
2016-09-20,13.146904000000001
2016-09-21,13.437508
2016-09-22,13.507252
2016-09-23,13.356138
2016-09-26,13.245709
2016-09-27,13.321266
2016-09-28,13.391010999999999
2016-09-29,13.309642000000002
2016-09-30,13.222461
2016-10-03,13.16434
2016-10-04,13.013227
2016-10-05,13.251520999999999
2016-10-06,13.181776000000001
2016-10-07,12.984166
2016-10-10,13.077159
2016-10-11,12.774931
2016-10-12,12.786555
2016-10-13,12.647066
2016-10-14,12.513388
2016-10-17,12.362274000000001
2016-10-18,12.478516
2016-10-19,12.629629
2016-10-20,12.71681
2016-10-21,12.571508
2016-10-24,12.600569
2016-10-25,12.554072
2016-10-26,12.670314
2016-10-27,12.896985
2016-10-28,12.885361
2016-10-31,13.059723
2016-11-01,12.833052
2016-11-02,12.79818
2016-11-03,12.670314
2016-11-04,12.809804
2016-11-07,13.431695000000001
2016-11-08,13.507252
2016-11-09,13.501439999999999
2016-11-10,13.408447
2016-11-11,13.547935999999998
2016-11-14,13.571185
2016-11-15,13.606057
2016-11-16,13.675802
2016-11-17,13.716486999999999
2016-11-18,13.547935999999998
2016-11-21,13.437508
2016-11-22,13.292206
2016-11-23,13.687427
2016-11-25,13.495628
2016-11-28,13.565372
2016-11-29,13.797854999999998
2016-11-30,13.832728
2016-12-01,13.582809
2016-12-02,13.861789000000002
2016-12-05,14.071023
2016-12-06,13.925721
2016-12-07,14.344191
2016-12-08,14.320942
2016-12-09,14.245385
2016-12-12,13.890849
2016-12-13,13.908285000000001
2016-12-14,13.902473
2016-12-15,13.792044
2016-12-16,13.652554
2016-12-19,13.792044
2016-12-20,13.855976
2016-12-21,13.885036
2016-12-22,13.809479999999999
2016-12-23,13.844353
2016-12-27,13.797854999999998
2016-12-28,13.542125
2016-12-29,13.565372
2016-12-30,13.449131
2017-01-03,13.484004
2017-01-04,13.629306
2017-01-05,13.693238000000001
2017-01-06,13.425882999999999
2017-01-09,13.112031
2017-01-10,13.338702
2017-01-11,13.228272
2017-01-12,13.222461
2017-01-13,13.332891
2017-01-17,13.187589000000001
2017-01-18,13.286392999999999
2017-01-19,13.234085
2017-01-20,13.298017999999999
2017-01-23,13.117844
2017-01-24,13.30383
2017-01-25,13.356138
2017-01-26,13.146904000000001
2017-01-27,13.106219
2017-01-30,12.873736
2017-01-31,13.181776000000001
2017-02-01,13.129468
2017-02-02,13.187589000000001
2017-02-03,13.658366000000001
2017-02-06,13.681614000000001
2017-02-07,13.768795
2017-02-08,13.733923
2017-02-09,13.995466
2017-02-10,13.943157000000001
2017-02-13,14.018714000000001
2017-02-14,14.030338
2017-02-15,14.169828
2017-02-16,14.140768
2017-02-17,14.181453
2017-02-21,14.332566
2017-02-22,14.402311
2017-02-23,14.332566
2017-02-24,13.344514000000002
2017-02-27,12.966728999999999
2017-02-28,13.263145000000002
2017-03-01,13.47238
2017-03-02,13.338702
2017-03-03,13.396823000000001
2017-03-06,13.408447
2017-03-07,13.263145000000002
2017-03-08,13.146904000000001
2017-03-09,13.059723
2017-03-10,13.001602
2017-03-13,12.972542
2017-03-14,12.920233
2017-03-15,13.187589000000001
2017-03-16,13.158528
2017-03-17,13.280581
2017-03-20,13.338702
2017-03-21,12.931857
2017-03-22,13.077159
2017-03-23,13.251520999999999
2017-03-24,13.234085
2017-03-27,13.205025
2017-03-28,13.373574
2017-03-29,13.757172
2017-03-30,13.728110999999998
2017-03-31,13.774607999999999
2017-04-03,13.630721
2017-04-04,13.886733999999999
2017-04-05,13.886733999999999
2017-04-06,13.979829999999998
2017-04-07,14.181536
2017-04-10,14.197052
2017-04-11,14.103956
2017-04-12,14.003103
2017-04-13,13.956554999999998
2017-04-17,14.049651
2017-04-18,14.065166
2017-04-19,14.088441
2017-04-20,14.220325
2017-04-21,14.072925
2017-04-24,14.305663000000001
2017-04-25,14.367726999999999
2017-04-26,14.437548999999999
2017-04-27,14.453064000000001
2017-04-28,14.453064000000001
2017-05-01,14.530643
2017-05-02,14.507370000000002
2017-05-03,14.484097
2017-05-04,14.54616
2017-05-05,14.608223
2017-05-08,14.654770999999998
2017-05-09,14.569432999999998
2017-05-10,14.740108
2017-05-11,14.631497
2017-05-12,14.647014000000002
2017-05-15,14.73235
2017-05-16,14.825446
2017-05-17,14.584949
2017-05-18,14.569432999999998
2017-05-19,14.375484
2017-05-22,14.577191000000001
2017-05-23,14.631497
2017-05-24,14.670287
2017-05-25,14.615981
2017-05-26,14.608223
2017-05-30,14.623739000000002
2017-05-31,14.592707999999998
2017-06-01,13.591931
2017-06-02,13.498837
2017-06-05,13.312645999999999
2017-06-06,13.211792
2017-06-07,13.21955
2017-06-08,13.227307999999999
2017-06-09,13.180760000000001
2017-06-12,13.072149000000001
2017-06-13,13.095423
2017-06-14,12.986811999999999
2017-06-15,12.816136
2017-06-16,12.792863
2017-06-19,12.971295
2017-06-20,12.909232000000001
2017-06-21,12.854925999999999
2017-06-22,12.940263999999999
2017-06-23,13.072149000000001
2017-06-26,13.041117
2017-06-27,12.800621000000001
2017-06-28,13.110939000000002
2017-06-29,12.91699
2017-06-30,12.870442
2017-07-03,12.932506
2017-07-05,13.141971
2017-07-06,12.785105
2017-07-07,12.885958
2017-07-10,12.986811999999999
2017-07-11,13.017843
2017-07-12,13.025601
2017-07-13,13.258339999999999
2017-07-14,13.335919
2017-07-17,13.366951
2017-07-18,13.304888
2017-07-19,13.708301
2017-07-20,13.886733999999999
2017-07-21,13.972072
2017-07-24,13.840186
2017-07-25,13.871217999999999
2017-07-26,13.661754
2017-07-27,13.615206
2017-07-28,13.584173999999999
2017-07-31,13.584173999999999
2017-08-01,13.615206
2017-08-02,13.460047
2017-08-03,13.413499
2017-08-04,13.584173999999999
2017-08-07,13.677269
2017-08-08,13.677269
2017-08-09,13.685027
2017-08-10,13.281613
2017-08-11,13.421257
2017-08-14,13.638479
2017-08-15,13.770365
2017-08-16,13.653996
2017-08-17,13.421257
2017-08-18,13.328160999999998
2017-08-21,13.429015
2017-08-22,13.708301
2017-08-23,13.739332999999998
2017-08-24,13.925524
2017-08-25,13.925524
2017-08-28,13.801395999999999
2017-08-29,13.902249
2017-08-30,13.948797
2017-08-31,14.010860999999998
2017-09-01,14.31
2017-09-05,14.04
2017-09-06,13.77
2017-09-07,13.25
2017-09-08,13.12
2017-09-11,13.35
2017-09-12,13.12
2017-09-13,13.23
2017-09-14,13.47
2017-09-15,13.52
2017-09-18,13.54
2017-09-19,13.49
2017-09-20,13.63
2017-09-21,13.79
2017-09-22,14.26
2017-09-25,14.7
2017-09-26,14.89
2017-09-27,14.85
2017-09-28,14.57
2017-09-29,14.71
2017-10-02,14.97
2017-10-03,14.69
2017-10-04,14.8
2017-10-05,14.83
2017-10-06,14.8
2017-10-09,14.8
2017-10-10,14.96
2017-10-11,14.94
2017-10-12,14.8
2017-10-13,14.89
2017-10-16,14.86
2017-10-17,14.61
2017-10-18,14.7
2017-10-19,13.86
2017-10-20,14.04
2017-10-23,14.25
2017-10-24,14.31
2017-10-25,14.08
2017-10-26,14.25
2017-10-27,14.28
2017-10-30,13.98
2017-10-31,13.92
2017-11-01,13.6
2017-11-02,13.63
2017-11-03,13.5
2017-11-06,13.63
2017-11-07,13.57
2017-11-08,13.54
2017-11-09,13.72
2017-11-10,13.7
2017-11-13,13.48
2017-11-14,13.27
2017-11-15,13.16
2017-11-16,13.27
2017-11-17,13.68
2017-11-20,14.09
2017-11-21,14.12
2017-11-22,13.1
2017-11-24,13.32
2017-11-27,13.47
2017-11-28,13.88
2017-11-29,13.97
2017-11-30,13.95
2017-12-01,14.44
2017-12-04,14.23
2017-12-05,14.08
2017-12-06,14.16
2017-12-07,14.22
2017-12-08,14.34
2017-12-11,14.58
2017-12-12,14.5
2017-12-13,14.32
2017-12-14,14.24
2017-12-15,14.41
2017-12-18,14.9
2017-12-19,14.8
2017-12-20,14.71
2017-12-21,14.72
2017-12-22,14.71
2017-12-26,14.74
2017-12-27,14.67
2017-12-28,14.61
2017-12-29,14.36
2018-01-02,14.61
2018-01-03,14.7
2018-01-04,15.06
2018-01-05,15.05
2018-01-08,14.82
2018-01-09,14.85
2018-01-10,15.19
2018-01-11,15.45
2018-01-12,15.81
2018-01-16,15.81
2018-01-17,16.07
2018-01-18,15.97
2018-01-19,16.08
2018-01-22,16.049999
2018-01-23,16.67
2018-01-24,16.68
2018-01-25,16.48
2018-01-26,16.709999
2018-01-29,16.969998999999998
2018-01-30,16.540001
2018-01-31,16.4
2018-02-01,16.790001
2018-02-02,16.65
2018-02-05,15.66
2018-02-06,15.73
2018-02-07,15.56
2018-02-08,15.04
2018-02-09,15.3
2018-02-12,15.75
2018-02-13,15.47
2018-02-14,16.15
2018-02-15,16.35
2018-02-16,16.389999
2018-02-20,16.52
2018-02-21,16.25
2018-02-22,16.41
2018-02-23,18.139999
2018-02-26,18.549999
2018-02-27,18.82
2018-02-28,18.59
2018-03-01,18.4
2018-03-02,18.780001000000002
2018-03-05,18.98
2018-03-06,19.41
2018-03-07,19.15
2018-03-08,18.950001
2018-03-09,19.16
2018-03-12,19.07
2018-03-13,18.879998999999998
2018-03-14,18.85
2018-03-15,18.83
2018-03-16,18.790001
2018-03-19,18.700001
2018-03-20,18.780001000000002
2018-03-21,18.709999
2018-03-22,18.32
2018-03-23,17.629998999999998
2018-03-26,17.99
2018-03-27,17.559998999999998
2018-03-28,17.66
2018-03-29,17.540001
