Date,ZM
2019-04-18,62.0
2019-04-22,65.699997
2019-04-23,69.0
2019-04-24,63.200001
2019-04-25,65.0
2019-04-26,66.220001
2019-04-29,68.16999799999999
2019-04-30,72.470001
2019-05-01,72.760002
2019-05-02,75.5
2019-05-03,79.18
2019-05-06,78.239998
2019-05-07,73.33000200000001
2019-05-08,77.68
2019-05-09,75.209999
2019-05-10,79.629997
2019-05-13,72.540001
2019-05-14,73.139999
2019-05-15,79.760002
2019-05-16,83.400002
2019-05-17,89.980003
2019-05-20,84.66999799999999
2019-05-21,85.440002
2019-05-22,82.43
2019-05-23,78.760002
2019-05-24,76.25
2019-05-28,77.769997
2019-05-29,75.769997
2019-05-30,80.41999799999999
2019-05-31,79.730003
2019-06-03,75.900002
2019-06-04,78.739998
2019-06-05,78.040001
2019-06-06,79.43
2019-06-07,94.050003
2019-06-10,102.0
2019-06-11,94.870003
2019-06-12,102.769997
2019-06-13,100.949997
2019-06-14,100.290001
2019-06-17,98.110001
2019-06-18,99.639999
2019-06-19,102.389999
2019-06-20,102.300003
2019-06-21,100.470001
2019-06-24,89.410004
2019-06-25,85.029999
2019-06-26,86.33000200000001
2019-06-27,90.269997
2019-06-28,88.790001
2019-07-01,86.860001
2019-07-02,85.129997
2019-07-03,90.449997
2019-07-05,91.879997
2019-07-08,90.760002
2019-07-09,90.93
2019-07-10,92.720001
2019-07-11,91.400002
2019-07-12,93.300003
2019-07-15,99.800003
2019-07-16,97.099998
2019-07-17,99.730003
2019-07-18,95.190002
2019-07-19,93.379997
2019-07-22,96.66999799999999
2019-07-23,97.389999
2019-07-24,95.940002
2019-07-25,97.110001
2019-07-26,102.199997
2019-07-29,96.470001
2019-07-30,95.489998
2019-07-31,95.510002
2019-08-01,95.099998
2019-08-02,93.660004
2019-08-05,89.690002
2019-08-06,90.43
2019-08-07,92.449997
2019-08-08,95.769997
2019-08-09,94.199997
2019-08-12,92.160004
2019-08-13,95.449997
2019-08-14,92.650002
2019-08-15,90.639999
2019-08-16,92.529999
2019-08-19,93.16999799999999
2019-08-20,91.410004
2019-08-21,93.010002
2019-08-22,93.879997
2019-08-23,91.629997
2019-08-26,91.760002
2019-08-27,91.730003
2019-08-28,90.160004
2019-08-29,90.870003
2019-08-30,91.66999799999999
2019-09-03,92.459999
2019-09-04,93.529999
2019-09-05,92.690002
2019-09-06,85.410004
2019-09-09,78.650002
2019-09-10,80.349998
2019-09-11,80.709999
2019-09-12,81.529999
2019-09-13,78.849998
2019-09-16,80.66999799999999
2019-09-17,84.639999
2019-09-18,84.550003
2019-09-19,84.620003
2019-09-20,82.629997
2019-09-23,82.620003
2019-09-24,80.019997
2019-09-25,79.599998
2019-09-26,79.75
2019-09-27,76.040001
2019-09-30,76.199997
2019-10-01,75.809998
2019-10-02,73.849998
2019-10-03,76.83000200000001
2019-10-04,76.529999
2019-10-07,76.989998
2019-10-08,73.589996
2019-10-09,72.860001
2019-10-10,71.010002
2019-10-11,71.349998
2019-10-14,70.800003
2019-10-15,71.110001
2019-10-16,67.690002
2019-10-17,67.029999
2019-10-18,66.08000200000001
2019-10-21,65.769997
2019-10-22,62.0
2019-10-23,62.060001
2019-10-24,64.519997
2019-10-25,63.450001
2019-10-28,66.559998
2019-10-29,65.489998
2019-10-30,70.0
2019-10-31,69.889999
2019-11-01,70.389999
2019-11-04,70.120003
2019-11-05,66.889999
2019-11-06,66.83000200000001
2019-11-07,66.809998
2019-11-08,69.849998
2019-11-11,68.389999
2019-11-12,68.0
2019-11-13,68.010002
2019-11-14,67.739998
2019-11-15,70.010002
2019-11-18,70.08000200000001
2019-11-19,69.639999
2019-11-20,70.989998
2019-11-21,69.91999799999999
2019-11-22,73.160004
2019-11-25,74.550003
2019-11-26,75.160004
2019-11-27,74.08000200000001
2019-11-29,74.5
2019-12-02,68.93
2019-12-03,70.019997
2019-12-04,69.959999
2019-12-05,69.66999799999999
2019-12-06,62.740002000000004
2019-12-09,65.940002
2019-12-10,64.57
2019-12-11,63.52
2019-12-12,62.490002000000004
2019-12-13,63.540001000000004
2019-12-16,66.349998
2019-12-17,66.16999799999999
2019-12-18,67.599998
2019-12-19,68.18
2019-12-20,66.93
2019-12-23,66.150002
2019-12-24,66.459999
2019-12-26,67.449997
2019-12-27,66.639999
2019-12-30,66.790001
2019-12-31,68.040001
2020-01-02,68.720001
2020-01-03,67.279999
2020-01-06,70.32
2020-01-07,71.900002
2020-01-08,72.550003
2020-01-09,72.620003
2020-01-10,73.089996
2020-01-13,74.029999
2020-01-14,73.160004
2020-01-15,76.940002
2020-01-16,76.110001
2020-01-17,75.559998
2020-01-21,76.730003
2020-01-22,75.540001
2020-01-23,74.470001
2020-01-24,73.0
2020-01-27,70.440002
2020-01-28,71.510002
2020-01-29,73.58000200000001
2020-01-30,74.540001
2020-01-31,76.300003
2020-02-03,87.660004
2020-02-04,85.790001
2020-02-05,86.989998
2020-02-06,87.260002
2020-02-07,88.639999
2020-02-10,89.66999799999999
2020-02-11,88.68
2020-02-12,88.279999
2020-02-13,89.860001
2020-02-14,90.949997
2020-02-18,96.389999
2020-02-19,103.93
2020-02-20,105.290001
2020-02-21,101.760002
2020-02-24,105.010002
2020-02-25,107.08000200000001
2020-02-26,106.879997
2020-02-27,113.550003
2020-02-28,105.0
2020-03-02,113.110001
2020-03-03,117.470001
2020-03-04,116.800003
2020-03-05,125.0
2020-03-06,114.32
2020-03-09,113.75
2020-03-10,108.489998
2020-03-11,110.300003
2020-03-12,109.470001
2020-03-13,107.470001
2020-03-16,107.860001
2020-03-17,111.099998
2020-03-18,118.709999
2020-03-19,123.769997
2020-03-20,130.550003
2020-03-23,159.559998
2020-03-24,135.179993
2020-03-25,138.110001
2020-03-26,141.149994
2020-03-27,151.699997
2020-03-30,150.880005
2020-03-31,146.119995
2020-04-01,137.0
2020-04-02,121.93
2020-04-03,128.199997
2020-04-06,122.940002
2020-04-07,113.75
2020-04-08,117.809998
2020-04-09,124.510002
2020-04-13,135.919998
2020-04-14,141.889999
2020-04-15,151.559998
2020-04-16,150.259995
2020-04-17,150.059998
2020-04-20,148.990005
2020-04-21,143.270004
2020-04-22,150.25
2020-04-23,169.08999599999999
2020-04-24,158.800003
2020-04-27,164.600006
2020-04-28,156.720001
2020-04-29,146.479996
2020-04-30,135.169998
2020-05-01,138.559998
2020-05-04,143.440002
2020-05-05,144.820007
2020-05-06,149.58999599999999
2020-05-07,157.800003
2020-05-08,155.399994
2020-05-11,166.479996
2020-05-12,161.03999299999998
2020-05-13,167.139999
2020-05-14,167.91000400000001
2020-05-15,174.830002
2020-05-18,164.690002
2020-05-19,173.679993
2020-05-20,175.479996
2020-05-21,172.029999
2020-05-22,171.059998
2020-05-26,164.0
2020-05-27,161.970001
2020-05-28,163.550003
2020-05-29,179.479996
2020-06-01,204.149994
2020-06-02,208.080002
2020-06-03,223.86999500000002
2020-06-04,210.350006
2020-06-05,207.600006
2020-06-08,209.830002
2020-06-09,205.429993
