Date,CERN
1986-12-05,0.265625
1986-12-08,0.265625
1986-12-09,0.253906
1986-12-10,0.246094
1986-12-11,0.24218800000000001
1986-12-12,0.24218800000000001
1986-12-15,0.234375
1986-12-16,0.24218800000000001
1986-12-17,0.24218800000000001
1986-12-18,0.238281
1986-12-19,0.238281
1986-12-22,0.238281
1986-12-23,0.234375
1986-12-24,0.234375
1986-12-26,0.234375
1986-12-29,0.234375
1986-12-30,0.234375
1986-12-31,0.24218800000000001
1987-01-02,0.24218800000000001
1987-01-05,0.246094
1987-01-06,0.257813
1987-01-07,0.28125
1987-01-08,0.28125
1987-01-09,0.296875
1987-01-12,0.308594
1987-01-13,0.308594
1987-01-14,0.3125
1987-01-15,0.3125
1987-01-16,0.308594
1987-01-19,0.300781
1987-01-20,0.304688
1987-01-21,0.296875
1987-01-22,0.300781
1987-01-23,0.300781
1987-01-26,0.300781
1987-01-27,0.300781
1987-01-28,0.304688
1987-01-29,0.308594
1987-01-30,0.304688
1987-02-02,0.304688
1987-02-03,0.308594
1987-02-04,0.339844
1987-02-05,0.363281
1987-02-06,0.359375
1987-02-09,0.359375
1987-02-10,0.359375
1987-02-11,0.359375
1987-02-12,0.339844
1987-02-13,0.34375
1987-02-17,0.351563
1987-02-18,0.351563
1987-02-19,0.347656
1987-02-20,0.351563
1987-02-23,0.347656
1987-02-24,0.347656
1987-02-25,0.347656
1987-02-26,0.347656
1987-02-27,0.347656
1987-03-02,0.347656
1987-03-03,0.353516
1987-03-04,0.355469
1987-03-05,0.386719
1987-03-06,0.394531
1987-03-09,0.394531
1987-03-10,0.386719
1987-03-11,0.378906
1987-03-12,0.390625
1987-03-13,0.378906
1987-03-16,0.378906
1987-03-17,0.390625
1987-03-18,0.40625
1987-03-19,0.398438
1987-03-20,0.390625
1987-03-23,0.390625
1987-03-24,0.398438
1987-03-25,0.398438
1987-03-26,0.394531
1987-03-27,0.398438
1987-03-30,0.378906
1987-03-31,0.378906
1987-04-01,0.378906
1987-04-02,0.378906
1987-04-03,0.378906
1987-04-06,0.363281
1987-04-07,0.359375
1987-04-08,0.363281
1987-04-09,0.371094
1987-04-10,0.36132800000000004
1987-04-13,0.36132800000000004
1987-04-14,0.351563
1987-04-15,0.359375
1987-04-16,0.363281
1987-04-20,0.353516
1987-04-21,0.359375
1987-04-22,0.351563
1987-04-23,0.347656
1987-04-24,0.335938
1987-04-27,0.332031
1987-04-28,0.324219
1987-04-29,0.34375
1987-04-30,0.347656
1987-05-01,0.339844
1987-05-04,0.339844
1987-05-05,0.351563
1987-05-06,0.359375
1987-05-07,0.347656
1987-05-08,0.359375
1987-05-11,0.371094
1987-05-12,0.363281
1987-05-13,0.378906
1987-05-14,0.394531
1987-05-15,0.375
1987-05-18,0.390625
1987-05-19,0.378906
1987-05-20,0.382813
1987-05-21,0.375
1987-05-22,0.375
1987-05-26,0.378906
1987-05-27,0.371094
1987-05-28,0.371094
1987-05-29,0.371094
1987-06-01,0.378906
1987-06-02,0.371094
1987-06-03,0.371094
1987-06-04,0.371094
1987-06-05,0.371094
1987-06-08,0.363281
1987-06-09,0.371094
1987-06-10,0.351563
1987-06-11,0.363281
1987-06-12,0.363281
1987-06-15,0.363281
1987-06-16,0.351563
1987-06-17,0.359375
1987-06-18,0.351563
1987-06-19,0.363281
1987-06-22,0.351563
1987-06-23,0.351563
1987-06-24,0.363281
1987-06-25,0.351563
1987-06-26,0.351563
1987-06-29,0.351563
1987-06-30,0.363281
1987-07-01,0.367188
1987-07-02,0.367188
1987-07-06,0.367188
1987-07-07,0.367188
1987-07-08,0.367188
1987-07-09,0.367188
1987-07-10,0.355469
1987-07-13,0.355469
1987-07-14,0.369141
1987-07-15,0.355469
1987-07-16,0.375
1987-07-17,0.363281
1987-07-20,0.37304699999999996
1987-07-21,0.371094
1987-07-22,0.367188
1987-07-23,0.359375
1987-07-24,0.359375
1987-07-27,0.367188
1987-07-28,0.367188
1987-07-29,0.367188
1987-07-30,0.367188
1987-07-31,0.367188
1987-08-03,0.367188
1987-08-04,0.367188
1987-08-05,0.359375
1987-08-06,0.369141
1987-08-07,0.369141
1987-08-10,0.371094
1987-08-11,0.355469
1987-08-12,0.36132800000000004
1987-08-13,0.367188
1987-08-14,0.375
1987-08-17,0.390625
1987-08-18,0.410156
1987-08-19,0.386719
1987-08-20,0.40625
1987-08-21,0.40625
1987-08-24,0.40625
1987-08-25,0.398438
1987-08-26,0.390625
1987-08-27,0.394531
1987-08-28,0.394531
1987-08-31,0.40625
1987-09-01,0.382813
1987-09-02,0.398438
1987-09-03,0.375
1987-09-04,0.375
1987-09-08,0.375
1987-09-09,0.367188
1987-09-10,0.371094
1987-09-11,0.390625
1987-09-14,0.390625
1987-09-15,0.367188
1987-09-16,0.390625
1987-09-17,0.390625
1987-09-18,0.375
1987-09-21,0.367188
1987-09-22,0.390625
1987-09-23,0.390625
1987-09-24,0.359375
1987-09-25,0.359375
1987-09-28,0.359375
1987-09-29,0.359375
1987-09-30,0.375
1987-10-01,0.367188
1987-10-02,0.359375
1987-10-05,0.339844
1987-10-06,0.355469
1987-10-07,0.339844
1987-10-08,0.351563
1987-10-09,0.355469
1987-10-12,0.332031
1987-10-13,0.332031
1987-10-14,0.335938
1987-10-15,0.34179699999999996
1987-10-16,0.332031
1987-10-19,0.316406
1987-10-20,0.292969
1987-10-21,0.285156
1987-10-22,0.253906
1987-10-23,0.265625
1987-10-26,0.25
1987-10-27,0.25
1987-10-28,0.214844
1987-10-29,0.234375
1987-10-30,0.234375
1987-11-02,0.214844
1987-11-03,0.214844
1987-11-04,0.214844
1987-11-05,0.214844
1987-11-06,0.21875
1987-11-09,0.228516
1987-11-10,0.228516
1987-11-11,0.21093800000000001
1987-11-12,0.214844
1987-11-13,0.214844
1987-11-16,0.214844
1987-11-17,0.21093800000000001
1987-11-18,0.21093800000000001
1987-11-19,0.216797
1987-11-20,0.21093800000000001
1987-11-23,0.203125
1987-11-24,0.203125
1987-11-25,0.203125
1987-11-27,0.193359
1987-11-30,0.183594
1987-12-01,0.175781
