Date,V
2008-03-19,14.125
2008-03-20,16.0875
2008-03-24,14.9325
2008-03-25,15.8125
2008-03-26,15.99
2008-03-27,15.7275
2008-03-28,15.69
2008-03-31,15.59
2008-04-01,15.4025
2008-04-02,15.58
2008-04-03,16.375
2008-04-04,16.120001000000002
2008-04-07,16.26
2008-04-08,17.022499
2008-04-09,16.4475
2008-04-10,16.5275
2008-04-11,16.5275
2008-04-14,16.42
2008-04-15,16.0875
2008-04-16,16.535
2008-04-17,16.76
2008-04-18,17.25
2008-04-21,17.7425
2008-04-22,17.57
2008-04-23,17.52
2008-04-24,18.075001
2008-04-25,18.775
2008-04-28,18.907498999999998
2008-04-29,20.219998999999998
2008-04-30,20.862499
2008-05-01,21.35
2008-05-02,20.6875
2008-05-05,21.264999
2008-05-06,21.8825
2008-05-07,22.125
2008-05-08,21.825001
2008-05-09,20.715
2008-05-12,20.475
2008-05-13,20.594998999999998
2008-05-14,20.557501000000002
2008-05-15,20.5625
2008-05-16,20.592501000000002
2008-05-19,20.83
2008-05-20,20.684998999999998
2008-05-21,20.2125
2008-05-22,19.327499
2008-05-23,19.0875
2008-05-27,19.684998999999998
2008-05-28,20.48
2008-05-29,21.3125
2008-05-30,21.59
2008-06-02,21.5175
2008-06-03,21.889999
2008-06-04,21.370001000000002
2008-06-05,21.809998999999998
2008-06-06,20.9125
2008-06-09,20.535
2008-06-10,20.077499
2008-06-11,19.434998999999998
2008-06-12,19.889999
2008-06-13,20.3825
2008-06-16,20.817498999999998
2008-06-17,21.1675
2008-06-18,20.965
2008-06-19,21.067498999999998
2008-06-20,20.8925
2008-06-23,20.264999
2008-06-24,20.665001
2008-06-25,20.514999
2008-06-26,19.775
2008-06-27,20.65
2008-06-30,20.327499
2008-07-01,20.352501
2008-07-02,19.855
2008-07-03,19.5175
2008-07-07,18.905001000000002
2008-07-08,19.764999
2008-07-09,18.967501000000002
2008-07-10,19.3125
2008-07-11,18.637501
2008-07-14,18.145
2008-07-15,17.105
2008-07-16,18.057501000000002
2008-07-17,18.764999
2008-07-18,18.35
2008-07-21,17.975
2008-07-22,18.512501
2008-07-23,18.3125
2008-07-24,17.52
2008-07-25,17.99
2008-07-28,17.637501
2008-07-29,18.9925
2008-07-30,19.612499
2008-07-31,18.264999
2008-08-01,17.932501000000002
2008-08-04,18.125
2008-08-05,18.4
2008-08-06,17.870001000000002
2008-08-07,17.375
2008-08-08,18.15
2008-08-11,18.6975
2008-08-12,18.200001
2008-08-13,18.4825
2008-08-14,18.945
2008-08-15,18.9475
2008-08-18,18.735001
2008-08-19,18.434998999999998
2008-08-20,18.6425
2008-08-21,18.594998999999998
2008-08-22,18.522499
2008-08-25,18.33
2008-08-26,18.334999
2008-08-27,18.612499
2008-08-28,18.9125
