Date,NXPI
2010-08-06,14.0
2010-08-09,14.0
2010-08-10,13.6
2010-08-11,12.75
2010-08-12,12.39
2010-08-13,12.0
2010-08-16,11.78
2010-08-17,12.22
2010-08-18,12.0
2010-08-19,11.55
2010-08-20,11.15
2010-08-23,10.98
2010-08-24,10.68
2010-08-25,10.75
2010-08-26,11.0
2010-08-27,11.11
2010-08-30,11.1
2010-08-31,11.08
2010-09-01,11.73
2010-09-02,11.87
2010-09-03,11.89
2010-09-07,12.03
2010-09-08,12.16
2010-09-09,11.9
2010-09-10,11.98
2010-09-13,11.94
2010-09-14,12.24
2010-09-15,12.47
2010-09-16,12.02
2010-09-17,12.08
2010-09-20,12.69
2010-09-21,12.51
2010-09-22,12.18
2010-09-23,12.0
2010-09-24,12.22
2010-09-27,12.25
2010-09-28,12.61
2010-09-29,12.55
2010-09-30,12.39
2010-10-01,12.36
2010-10-04,12.35
2010-10-05,12.35
2010-10-06,12.47
2010-10-07,11.85
2010-10-08,11.98
2010-10-11,12.05
2010-10-12,12.3
2010-10-13,12.07
2010-10-14,12.15
2010-10-15,11.94
2010-10-18,12.24
2010-10-19,12.11
2010-10-20,12.2
2010-10-21,12.25
2010-10-22,12.33
2010-10-25,12.37
2010-10-26,12.28
2010-10-27,12.77
2010-10-28,13.19
2010-10-29,13.19
2010-11-01,12.69
2010-11-02,13.27
2010-11-03,13.64
2010-11-04,13.97
2010-11-05,13.97
2010-11-08,13.77
2010-11-09,13.63
2010-11-10,13.32
2010-11-11,12.86
2010-11-12,12.82
2010-11-15,12.98
2010-11-16,12.84
2010-11-17,12.8
2010-11-18,12.9
2010-11-19,12.9
2010-11-22,12.99
2010-11-23,12.8
2010-11-24,12.66
2010-11-26,12.83
2010-11-29,12.73
2010-11-30,12.58
2010-12-01,13.26
2010-12-02,13.98
2010-12-03,16.139999
2010-12-06,15.94
2010-12-07,16.370001000000002
2010-12-08,18.440001000000002
2010-12-09,19.129998999999998
2010-12-10,19.950001
2010-12-13,18.860001
2010-12-14,18.73
2010-12-15,18.33
2010-12-16,18.440001000000002
2010-12-17,18.110001
2010-12-20,18.6
2010-12-21,19.25
2010-12-22,20.25
2010-12-23,20.09
2010-12-27,20.200001
2010-12-28,20.290001
2010-12-29,20.709999
2010-12-30,20.700001
2010-12-31,20.93
2011-01-03,21.43
2011-01-04,22.01
2011-01-05,23.379998999999998
2011-01-06,23.24
2011-01-07,22.92
2011-01-10,23.42
2011-01-11,24.0
2011-01-12,23.6
2011-01-13,23.33
2011-01-14,23.389999
2011-01-18,23.58
2011-01-19,22.959999
2011-01-20,21.67
2011-01-21,21.969998999999998
2011-01-24,22.65
2011-01-25,24.280001000000002
2011-01-26,25.99
2011-01-27,26.08
2011-01-28,24.57
2011-01-31,25.74
2011-02-01,27.23
2011-02-02,27.190001000000002
2011-02-03,27.200001
2011-02-04,27.35
2011-02-07,26.309998999999998
2011-02-08,26.379998999999998
2011-02-09,26.540001
2011-02-10,26.17
2011-02-11,25.27
2011-02-14,25.440001000000002
2011-02-15,25.01
2011-02-16,26.93
2011-02-17,27.309998999999998
2011-02-18,29.299999
2011-02-22,29.450001
2011-02-23,28.41
2011-02-24,29.120001000000002
2011-02-25,30.549999
2011-02-28,31.950001
2011-03-01,29.98
2011-03-02,29.25
2011-03-03,31.17
2011-03-04,30.75
2011-03-07,29.16
2011-03-08,28.709999
2011-03-09,27.780001000000002
2011-03-10,26.51
2011-03-11,27.459999
2011-03-14,25.83
2011-03-15,26.280001000000002
2011-03-16,25.940001000000002
2011-03-17,26.940001000000002
2011-03-18,27.549999
2011-03-21,27.85
2011-03-22,27.219998999999998
2011-03-23,27.07
2011-03-24,28.299999
2011-03-25,27.879998999999998
2011-03-28,28.690001000000002
2011-03-29,31.290001
2011-03-30,31.379998999999998
2011-03-31,29.969998999999998
2011-04-01,30.59
2011-04-04,31.129998999999998
2011-04-05,31.99
2011-04-06,33.259997999999996
2011-04-07,32.939999
2011-04-08,32.619999
2011-04-11,32.209998999999996
2011-04-12,31.02
2011-04-13,31.540001
2011-04-14,32.200001
2011-04-15,32.34
2011-04-18,31.74
2011-04-19,31.450001
2011-04-20,33.560001
2011-04-21,33.459998999999996
2011-04-25,33.459998999999996
2011-04-26,34.18
2011-04-27,33.419998
2011-04-28,33.07
2011-04-29,33.400002
2011-05-02,33.040001000000004
2011-05-03,31.799999
2011-05-04,31.809998999999998
2011-05-05,31.0
2011-05-06,30.9
2011-05-09,31.02
2011-05-10,30.120001000000002
2011-05-11,29.0
2011-05-12,29.84
2011-05-13,29.360001
2011-05-16,27.66
2011-05-17,27.76
2011-05-18,28.719998999999998
2011-05-19,28.32
2011-05-20,28.860001
2011-05-23,27.370001000000002
2011-05-24,27.209999
2011-05-25,27.219998999999998
2011-05-26,28.549999
2011-05-27,28.379998999999998
2011-05-31,28.530001000000002
2011-06-01,27.1
2011-06-02,26.51
2011-06-03,26.700001
2011-06-06,26.549999
2011-06-07,26.58
