Date,CTSH
1998-06-19,0.208333
1998-06-22,0.208333
1998-06-23,0.208333
1998-06-24,0.213542
1998-06-25,0.234375
1998-06-26,0.252604
1998-06-29,0.259115
1998-06-30,0.251302
1998-07-01,0.247396
1998-07-02,0.25
1998-07-06,0.252604
1998-07-07,0.251302
1998-07-08,0.252604
1998-07-09,0.294271
1998-07-10,0.299479
1998-07-13,0.28776
1998-07-14,0.315104
1998-07-15,0.333333
1998-07-16,0.325521
1998-07-17,0.335938
1998-07-20,0.351563
1998-07-21,0.372396
1998-07-22,0.361979
1998-07-23,0.351563
1998-07-24,0.335938
1998-07-27,0.335938
1998-07-28,0.320313
1998-07-29,0.333333
1998-07-30,0.341146
1998-07-31,0.333333
1998-08-03,0.330729
1998-08-04,0.332031
1998-08-05,0.345052
1998-08-06,0.334635
1998-08-07,0.354167
1998-08-10,0.355469
1998-08-11,0.351563
1998-08-12,0.356771
1998-08-13,0.364583
1998-08-14,0.372396
1998-08-17,0.361979
1998-08-18,0.395833
1998-08-19,0.390625
1998-08-20,0.382813
1998-08-21,0.375
1998-08-24,0.372396
1998-08-25,0.393229
1998-08-26,0.365885
1998-08-27,0.328125
1998-08-28,0.322917
1998-08-31,0.25
1998-09-01,0.3125
1998-09-02,0.309896
1998-09-03,0.296875
1998-09-04,0.302083
1998-09-08,0.338542
1998-09-09,0.326823
1998-09-10,0.324219
1998-09-11,0.324219
1998-09-14,0.328125
1998-09-15,0.317708
1998-09-16,0.3125
1998-09-17,0.30599
1998-09-18,0.309896
1998-09-21,0.322917
1998-09-22,0.315104
1998-09-23,0.333333
1998-09-24,0.320313
1998-09-25,0.328125
1998-09-28,0.328125
1998-09-29,0.334635
1998-09-30,0.322917
1998-10-01,0.320313
1998-10-02,0.335938
1998-10-05,0.322917
1998-10-06,0.270833
1998-10-07,0.255208
1998-10-08,0.192708
1998-10-09,0.229167
1998-10-12,0.22656300000000001
1998-10-13,0.261719
1998-10-14,0.257813
1998-10-15,0.270833
1998-10-16,0.278646
1998-10-19,0.304688
1998-10-20,0.322917
1998-10-21,0.345052
1998-10-22,0.364583
1998-10-23,0.380208
1998-10-26,0.429688
1998-10-27,0.473958
1998-10-28,0.460938
1998-10-29,0.4375
1998-10-30,0.464844
1998-11-02,0.479167
1998-11-03,0.473958
1998-11-04,0.470052
1998-11-05,0.421875
1998-11-06,0.395833
1998-11-09,0.411458
1998-11-10,0.419271
1998-11-11,0.398438
1998-11-12,0.398438
1998-11-13,0.40625
1998-11-16,0.403646
1998-11-17,0.401042
1998-11-18,0.404948
1998-11-19,0.411458
1998-11-20,0.455729
1998-11-23,0.476563
1998-11-24,0.466146
1998-11-25,0.463542
1998-11-27,0.453125
1998-11-30,0.450521
1998-12-01,0.510417
1998-12-02,0.505208
1998-12-03,0.460938
1998-12-04,0.46224
1998-12-07,0.502604
1998-12-08,0.489583
1998-12-09,0.479167
1998-12-10,0.494792
1998-12-11,0.46875
1998-12-14,0.434896
1998-12-15,0.458333
1998-12-16,0.471354
1998-12-17,0.458333
1998-12-18,0.481771
1998-12-21,0.5625
1998-12-22,0.567708
1998-12-23,0.591146
1998-12-24,0.583333
1998-12-28,0.5625
1998-12-29,0.617188
1998-12-30,0.617188
1998-12-31,0.632813
1999-01-04,0.625
1999-01-05,0.640625
1999-01-06,0.648438
1999-01-07,0.635417
1999-01-08,0.653646
1999-01-11,0.690104
1999-01-12,0.630208
1999-01-13,0.627604
1999-01-14,0.645833
1999-01-15,0.677083
1999-01-19,0.708333
1999-01-20,0.731771
1999-01-21,0.748698
1999-01-22,0.768229
1999-01-25,0.828125
1999-01-26,0.8125
1999-01-27,0.815104
1999-01-28,0.822917
1999-01-29,0.809896
1999-02-01,0.8125
1999-02-02,0.796875
1999-02-03,0.783854
1999-02-04,0.78125
1999-02-05,0.791667
1999-02-08,0.804688
1999-02-09,0.804688
1999-02-10,0.916667
1999-02-11,0.916667
1999-02-12,0.921875
1999-02-16,0.890625
1999-02-17,0.809896
1999-02-18,0.796875
1999-02-19,0.802083
1999-02-22,0.861979
1999-02-23,0.882813
1999-02-24,0.921875
1999-02-25,0.942708
1999-02-26,0.895833
1999-03-01,0.820313
1999-03-02,0.820313
1999-03-03,0.807292
1999-03-04,0.75
1999-03-05,0.770833
1999-03-08,0.7539060000000001
1999-03-09,0.768229
1999-03-10,0.848958
1999-03-11,0.822917
1999-03-12,0.786458
1999-03-15,0.786458
1999-03-16,0.786458
1999-03-17,0.770833
1999-03-18,0.721354
1999-03-19,0.619792
1999-03-22,0.588542
1999-03-23,0.528646
1999-03-24,0.585938
1999-03-25,0.625
1999-03-26,0.6132810000000001
1999-03-29,0.651042
1999-03-30,0.59375
1999-03-31,0.578125
1999-04-01,0.53125
1999-04-05,0.536458
1999-04-06,0.489583
1999-04-07,0.421875
1999-04-08,0.463542
1999-04-09,0.427083
1999-04-12,0.429688
1999-04-13,0.447917
1999-04-14,0.498698
1999-04-15,0.518229
1999-04-16,0.5
1999-04-19,0.498698
1999-04-20,0.520833
1999-04-21,0.494792
1999-04-22,0.515625
1999-04-23,0.484375
1999-04-26,0.466146
1999-04-27,0.460938
1999-04-28,0.458333
1999-04-29,0.453125
1999-04-30,0.467448
1999-05-03,0.473958
1999-05-04,0.476563
1999-05-05,0.453125
1999-05-06,0.4375
1999-05-07,0.429688
1999-05-10,0.429688
1999-05-11,0.4375
1999-05-12,0.466146
1999-05-13,0.5
1999-05-14,0.509115
1999-05-17,0.583333
1999-05-18,0.623698
1999-05-19,0.604167
1999-05-20,0.548177
1999-05-21,0.546875
1999-05-24,0.541667
1999-05-25,0.539063
1999-05-26,0.529948
1999-05-27,0.528646
1999-05-28,0.523438
1999-06-01,0.479167
1999-06-02,0.472656
1999-06-03,0.471354
1999-06-04,0.481771
1999-06-07,0.536458
1999-06-08,0.544271
1999-06-09,0.549479
1999-06-10,0.53125
1999-06-11,0.533854
1999-06-14,0.489583
1999-06-15,0.473958
1999-06-16,0.510417
1999-06-17,0.494792
1999-06-18,0.494792
1999-06-21,0.490885
1999-06-22,0.497396
1999-06-23,0.523438
1999-06-24,0.520833
1999-06-25,0.544271
1999-06-28,0.533854
1999-06-29,0.55599
1999-06-30,0.5429689999999999
1999-07-01,0.520833
1999-07-02,0.513021
1999-07-06,0.496094
1999-07-07,0.489583
1999-07-08,0.46875
1999-07-09,0.463542
1999-07-12,0.488281
1999-07-13,0.480469
1999-07-14,0.477865
1999-07-15,0.578125
1999-07-16,0.580729
1999-07-19,0.6132810000000001
1999-07-20,0.575521
1999-07-21,0.583333
1999-07-22,0.588542
1999-07-23,0.588542
1999-07-26,0.592448
1999-07-27,0.585938
1999-07-28,0.567708
1999-07-29,0.55599
1999-07-30,0.559896
1999-08-02,0.545573
1999-08-03,0.5625
1999-08-04,0.536458
1999-08-05,0.520833
1999-08-06,0.515625
1999-08-09,0.50651
1999-08-10,0.496094
1999-08-11,0.5117189999999999
1999-08-12,0.520833
1999-08-13,0.536458
1999-08-16,0.5429689999999999
1999-08-17,0.53125
1999-08-18,0.53125
1999-08-19,0.526042
1999-08-20,0.510417
1999-08-23,0.505208
1999-08-24,0.489583
1999-08-25,0.5
1999-08-26,0.505208
1999-08-27,0.479167
1999-08-30,0.489583
1999-08-31,0.502604
1999-09-01,0.505208
1999-09-02,0.497396
1999-09-03,0.510417
1999-09-07,0.5
1999-09-08,0.497396
1999-09-09,0.479167
1999-09-10,0.46875
1999-09-13,0.463542
1999-09-14,0.494792
1999-09-15,0.458333
1999-09-16,0.459635
1999-09-17,0.471354
1999-09-20,0.479167
1999-09-21,0.481771
1999-09-22,0.518229
1999-09-23,0.53125
1999-09-24,0.585938
1999-09-27,0.6210939999999999
1999-09-28,0.640625
1999-09-29,0.640625
1999-09-30,0.658854
1999-10-01,0.6399739999999999
1999-10-04,0.66276
1999-10-05,0.661458
1999-10-06,0.648438
1999-10-07,0.653646
1999-10-08,0.643229
