Date,ADBE
1987-07-07,0.945313
1987-07-08,1.046875
1987-07-09,1.078125
1987-07-10,1.0390629999999998
1987-07-13,1.015625
1987-07-14,1.125
1987-07-15,1.078125
1987-07-16,1.046875
1987-07-17,1.046875
1987-07-20,1.03125
1987-07-21,1.0390629999999998
1987-07-22,1.015625
1987-07-23,0.992188
1987-07-24,1.0078129999999998
1987-07-27,1.0859379999999998
1987-07-28,1.042969
1987-07-29,1.0
1987-07-30,1.0234379999999998
1987-07-31,1.03125
1987-08-03,1.0
1987-08-04,0.992188
1987-08-05,1.015625
1987-08-06,1.0625
1987-08-07,1.140625
1987-08-10,1.15625
1987-08-11,1.2109379999999998
1987-08-12,1.15625
1987-08-13,1.15625
1987-08-14,1.1328129999999998
1987-08-17,1.15625
1987-08-18,1.09375
1987-08-19,1.1015629999999998
1987-08-20,1.15625
1987-08-21,1.1171879999999998
1987-08-24,1.1015629999999998
1987-08-25,1.160156
1987-08-26,1.109375
1987-08-27,1.109375
1987-08-28,1.0546879999999998
1987-08-31,1.0078129999999998
1987-09-01,1.046875
1987-09-02,1.0390629999999998
1987-09-03,1.046875
1987-09-04,1.0546879999999998
1987-09-08,1.015625
1987-09-09,1.048828
1987-09-10,1.140625
1987-09-11,1.125
1987-09-14,1.1015629999999998
1987-09-15,1.0703129999999998
1987-09-16,1.0859379999999998
1987-09-17,1.171875
1987-09-18,1.1875
1987-09-21,1.140625
1987-09-22,1.1640629999999998
1987-09-23,1.1640629999999998
1987-09-24,1.15625
1987-09-25,1.1875
1987-09-28,1.2265629999999998
1987-09-29,1.2421879999999998
1987-09-30,1.203125
1987-10-01,1.265625
1987-10-02,1.390625
1987-10-05,1.40625
1987-10-06,1.3359379999999998
1987-10-07,1.28125
1987-10-08,1.21875
1987-10-09,1.21875
1987-10-12,1.1953129999999998
1987-10-13,1.1953129999999998
1987-10-14,1.21875
1987-10-15,1.234375
1987-10-16,1.1875
1987-10-19,0.9375
1987-10-20,0.828125
1987-10-21,0.882813
1987-10-22,0.78125
1987-10-23,0.671875
1987-10-26,0.515625
1987-10-27,0.460938
1987-10-28,0.460938
1987-10-29,0.609375
1987-10-30,0.703125
1987-11-02,0.78125
1987-11-03,0.734375
1987-11-04,0.734375
1987-11-05,0.75
1987-11-06,0.695313
1987-11-09,0.71875
1987-11-10,0.703125
1987-11-11,0.71875
1987-11-12,0.78125
1987-11-13,0.734375
1987-11-16,0.734375
1987-11-17,0.71875
1987-11-18,0.734375
1987-11-19,0.695313
1987-11-20,0.6875
1987-11-23,0.726563
1987-11-24,0.765625
1987-11-25,0.828125
1987-11-27,0.8125
1987-11-30,0.757813
1987-12-01,0.757813
1987-12-02,0.78125
1987-12-03,0.757813
1987-12-04,0.75
1987-12-07,0.734375
1987-12-08,0.765625
1987-12-09,0.828125
1987-12-10,0.851563
1987-12-11,0.859375
1987-12-14,0.921875
1987-12-15,0.921875
1987-12-16,0.921875
1987-12-17,0.882813
1987-12-18,0.890625
1987-12-21,0.898438
1987-12-22,0.875
1987-12-23,0.851563
1987-12-24,0.84375
1987-12-28,0.84375
1987-12-29,0.867188
1987-12-30,0.90625
1987-12-31,0.921875
1988-01-04,0.929688
1988-01-05,0.964844
1988-01-06,0.90625
1988-01-07,0.90625
1988-01-08,0.835938
1988-01-11,0.8125
1988-01-12,0.898438
1988-01-13,0.898438
1988-01-14,0.882813
1988-01-15,0.921875
1988-01-18,0.8925780000000001
1988-01-19,0.882813
