Date,CTAS
1983-08-19,0.9513889999999999
1983-08-22,0.958333
1983-08-23,0.958333
1983-08-24,0.9652780000000001
1983-08-25,0.979167
1983-08-26,0.9930559999999999
1983-08-29,1.013889
1983-08-30,1.0625
1983-08-31,1.0625
1983-09-01,1.055556
1983-09-02,1.055556
1983-09-06,1.055556
1983-09-07,1.048611
1983-09-08,1.048611
1983-09-09,1.055556
1983-09-12,1.055556
1983-09-13,1.055556
1983-09-14,1.055556
1983-09-15,1.041667
1983-09-16,1.041667
1983-09-19,1.041667
1983-09-20,1.041667
1983-09-21,1.055556
1983-09-22,1.055556
1983-09-23,1.055556
1983-09-26,1.055556
1983-09-27,1.055556
1983-09-28,1.055556
1983-09-29,1.083333
1983-09-30,1.097222
1983-10-03,1.111111
1983-10-04,1.111111
1983-10-05,1.118056
1983-10-06,1.118056
1983-10-07,1.118056
1983-10-10,1.118056
1983-10-11,1.118056
1983-10-12,1.111111
1983-10-13,1.111111
1983-10-14,1.104167
1983-10-17,1.131944
1983-10-18,1.215278
1983-10-19,1.263889
1983-10-20,1.263889
1983-10-21,1.25
1983-10-24,1.222222
1983-10-25,1.236111
1983-10-26,1.208333
1983-10-27,1.138889
1983-10-28,1.131944
1983-10-31,1.131944
1983-11-01,1.131944
1983-11-02,1.125
1983-11-03,1.125
1983-11-04,1.125
1983-11-07,1.125
1983-11-08,1.125
1983-11-09,1.131944
1983-11-10,1.166667
1983-11-11,1.166667
1983-11-14,1.166667
1983-11-15,1.166667
1983-11-16,1.1875
1983-11-17,1.201389
1983-11-18,1.201389
1983-11-21,1.215278
1983-11-22,1.215278
1983-11-23,1.215278
1983-11-25,1.222222
1983-11-28,1.222222
1983-11-29,1.284722
1983-11-30,1.291667
1983-12-01,1.298611
1983-12-02,1.291667
1983-12-05,1.284722
1983-12-06,1.277778
1983-12-07,1.277778
1983-12-08,1.25
1983-12-09,1.25
1983-12-12,1.256944
1983-12-13,1.25
1983-12-14,1.243056
1983-12-15,1.243056
1983-12-16,1.243056
1983-12-19,1.236111
1983-12-20,1.236111
1983-12-21,1.236111
1983-12-22,1.236111
1983-12-23,1.236111
1983-12-27,1.229167
1983-12-28,1.208333
1983-12-29,1.1875
