Date,ASML
1995-03-15,2.109375
1995-03-16,2.320313
1995-03-17,2.238281
1995-03-20,2.226563
1995-03-21,2.332031
1995-03-22,2.613281
1995-03-23,2.554688
1995-03-24,2.566406
1995-03-27,2.601563
1995-03-28,2.683594
1995-03-29,2.695313
1995-03-30,2.542969
1995-03-31,2.636719
1995-04-03,2.578125
1995-04-04,2.425781
1995-04-05,2.367188
1995-04-06,2.367188
1995-04-07,2.367188
1995-04-10,2.484375
1995-04-11,2.484375
1995-04-12,2.53125
1995-04-13,2.484375
1995-04-17,2.402344
1995-04-18,2.355469
1995-04-19,2.332031
1995-04-20,2.332031
1995-04-21,2.378906
1995-04-24,2.671875
1995-04-25,2.566406
1995-04-26,2.660156
1995-04-27,2.671875
1995-04-28,2.566406
1995-05-01,2.554688
1995-05-02,2.566406
1995-05-03,2.636719
1995-05-04,2.800781
1995-05-05,2.835938
1995-05-08,2.882813
1995-05-09,2.800781
1995-05-10,2.707031
1995-05-11,2.648438
1995-05-12,2.800781
1995-05-15,2.882813
1995-05-16,2.882813
1995-05-17,3.175781
1995-05-18,3.269531
1995-05-19,3.164063
1995-05-22,3.117188
1995-05-23,3.234375
1995-05-24,3.328125
1995-05-25,3.222656
1995-05-26,3.199219
1995-05-30,3.0776369999999997
1995-05-31,3.023438
1995-06-01,3.064453
1995-06-02,3.117188
1995-06-05,3.152344
1995-06-06,3.082031
1995-06-07,3.105469
1995-06-08,3.128906
1995-06-09,3.164063
1995-06-12,3.152344
1995-06-13,3.164063
1995-06-14,3.117188
1995-06-15,3.128906
1995-06-16,3.128906
1995-06-19,3.164063
1995-06-20,3.175781
1995-06-21,3.152344
1995-06-22,3.105469
1995-06-23,3.105469
1995-06-26,3.1875
1995-06-27,3.128906
1995-06-28,3.082031
1995-06-29,3.2929690000000003
1995-06-30,3.3632809999999997
1995-07-03,3.46875
1995-07-05,3.6210940000000003
1995-07-06,3.6210940000000003
1995-07-07,3.7148440000000003
1995-07-10,3.796875
1995-07-11,3.7265629999999996
1995-07-12,3.9140629999999996
1995-07-13,4.511719
1995-07-14,4.347656
1995-07-17,4.371094
1995-07-18,4.230469
1995-07-19,4.195313
1995-07-20,4.546875
1995-07-21,4.652344
1995-07-24,4.816406
1995-07-25,5.050781
1995-07-26,5.0625
1995-07-27,5.214844
1995-07-28,5.238281
1995-07-31,5.25
1995-08-01,4.939453
1995-08-02,4.746094
1995-08-03,4.640625
1995-08-04,4.359375
1995-08-07,4.523438
1995-08-08,4.617188
1995-08-09,4.523438
1995-08-10,4.394531
1995-08-11,4.464844
1995-08-14,4.652344
1995-08-15,4.640625
1995-08-16,4.921875
1995-08-17,4.910156
1995-08-18,4.898438
1995-08-21,4.488281
1995-08-22,4.570313
1995-08-23,4.652344
1995-08-24,4.570313
1995-08-25,4.59375
1995-08-28,4.523438
1995-08-29,4.40625
1995-08-30,4.382813
1995-08-31,4.417969
1995-09-01,4.546875
1995-09-05,4.839844
1995-09-06,4.851563
1995-09-07,4.839844
1995-09-08,4.828125
1995-09-11,5.0625
1995-09-12,4.921875
1995-09-13,4.863281
1995-09-14,4.828125
1995-09-15,4.617188
1995-09-18,4.535156
1995-09-19,4.617188
1995-09-20,4.664063
1995-09-21,4.605469
1995-09-22,4.148438
1995-09-25,4.289063
1995-09-26,4.318359
1995-09-27,4.007813
1995-09-28,4.113281
1995-09-29,4.113281
1995-10-02,3.7265629999999996
1995-10-03,3.796875
1995-10-04,3.7617190000000003
1995-10-05,3.75
1995-10-06,3.8203129999999996
1995-10-09,3.7382809999999997
1995-10-10,3.6679690000000003
1995-10-11,3.8203129999999996
1995-10-12,3.984375
1995-10-13,3.9375
1995-10-16,3.8671879999999996
1995-10-17,4.207031
1995-10-18,4.617188
1995-10-19,4.253906
1995-10-20,4.347656
1995-10-23,4.558594
1995-10-24,4.710938
1995-10-25,4.617188
1995-10-26,4.5
1995-10-27,4.453125
1995-10-30,4.582031
1995-10-31,4.652344
1995-11-01,4.628906
1995-11-02,4.59375
1995-11-03,4.617188
1995-11-06,4.652344
1995-11-07,4.359375
1995-11-08,4.359375
1995-11-09,4.464844
