Date,IPGP
2006-12-13,25.6
2006-12-14,25.15
2006-12-15,24.6
2006-12-18,23.790001
2006-12-19,23.1
2006-12-20,25.0
2006-12-21,24.6
2006-12-22,24.02
2006-12-26,24.209999
2006-12-27,24.08
2006-12-28,24.0
2006-12-29,24.0
2007-01-03,24.09
2007-01-04,24.09
2007-01-05,24.82
2007-01-08,24.66
2007-01-09,25.700001
2007-01-10,27.24
2007-01-11,26.799999
2007-01-12,26.33
2007-01-16,25.120001000000002
2007-01-17,26.02
2007-01-18,25.129998999999998
2007-01-19,25.09
2007-01-22,25.790001
2007-01-23,25.370001000000002
2007-01-24,25.6
2007-01-25,25.440001000000002
2007-01-26,26.42
2007-01-29,27.040001
2007-01-30,27.469998999999998
2007-01-31,26.41
2007-02-01,26.040001
2007-02-02,26.41
2007-02-05,26.09
2007-02-06,25.879998999999998
2007-02-07,26.299999
2007-02-08,26.299999
2007-02-09,26.190001000000002
2007-02-12,25.6
2007-02-13,25.059998999999998
2007-02-14,25.040001
2007-02-15,24.18
2007-02-16,24.75
2007-02-20,25.370001000000002
2007-02-21,25.209999
2007-02-22,25.0
2007-02-23,24.52
2007-02-26,24.0
2007-02-27,23.049999
2007-02-28,23.190001000000002
2007-03-01,22.459999
2007-03-02,23.82
2007-03-05,23.23
2007-03-06,21.450001
2007-03-07,20.379998999999998
2007-03-08,20.299999
2007-03-09,19.9
2007-03-12,19.870001000000002
2007-03-13,19.799999
2007-03-14,19.09
2007-03-15,18.02
2007-03-16,18.23
2007-03-19,18.690001000000002
2007-03-20,19.0
2007-03-21,19.049999
2007-03-22,19.41
2007-03-23,19.940001000000002
2007-03-26,20.02
2007-03-27,20.02
2007-03-28,19.82
2007-03-29,19.379998999999998
2007-03-30,19.200001
2007-04-02,18.889999
2007-04-03,19.0
2007-04-04,18.879998999999998
2007-04-05,18.639999
2007-04-09,19.0
2007-04-10,19.219998999999998
2007-04-11,19.370001000000002
2007-04-12,19.4
2007-04-13,19.82
2007-04-16,20.530001000000002
2007-04-17,21.120001000000002
2007-04-18,20.73
2007-04-19,20.040001
2007-04-20,19.75
2007-04-23,19.25
2007-04-24,19.629998999999998
2007-04-25,19.42
2007-04-26,18.17
2007-04-27,18.17
2007-04-30,18.190001000000002
2007-05-01,17.790001
2007-05-02,17.99
2007-05-03,18.450001
2007-05-04,19.639999
2007-05-07,18.879998999999998
2007-05-08,19.530001000000002
2007-05-09,20.059998999999998
