Date,SPLK
2012-04-19,35.48
2012-04-20,36.200001
2012-04-23,35.93
2012-04-24,35.799999
2012-04-25,34.720001
2012-04-26,35.110001000000004
2012-04-27,35.060001
2012-04-30,33.950001
2012-05-01,35.91
2012-05-02,35.279999
2012-05-03,32.68
2012-05-04,32.07
2012-05-07,32.93
2012-05-08,32.75
2012-05-09,32.860001000000004
2012-05-10,31.790001
2012-05-11,31.360001
2012-05-14,31.02
2012-05-15,31.620001000000002
2012-05-16,30.969998999999998
2012-05-17,30.620001000000002
2012-05-18,29.059998999999998
2012-05-21,30.02
2012-05-22,31.629998999999998
2012-05-23,34.889998999999996
2012-05-24,34.59
2012-05-25,35.93
2012-05-29,36.380001
2012-05-30,34.299999
2012-05-31,32.560001
2012-06-01,27.24
2012-06-04,27.0
2012-06-05,28.59
2012-06-06,30.15
2012-06-07,29.77
2012-06-08,32.009997999999996
2012-06-11,30.01
2012-06-12,30.43
2012-06-13,30.75
2012-06-14,31.66
2012-06-15,32.73
2012-06-18,32.130001
2012-06-19,31.959999
2012-06-20,31.68
2012-06-21,29.540001
2012-06-22,29.27
2012-06-25,28.26
2012-06-26,27.780001000000002
2012-06-27,28.0
2012-06-28,26.49
2012-06-29,28.1
2012-07-02,29.129998999999998
2012-07-03,29.040001
2012-07-05,29.860001
2012-07-06,29.629998999999998
2012-07-09,28.07
2012-07-10,26.83
2012-07-11,26.59
2012-07-12,27.1
2012-07-13,28.190001000000002
2012-07-16,28.43
2012-07-17,27.969998999999998
2012-07-18,28.92
2012-07-19,29.190001000000002
2012-07-20,28.549999
2012-07-23,28.059998999999998
2012-07-24,27.959999
2012-07-25,28.25
2012-07-26,28.370001000000002
2012-07-27,29.27
2012-07-30,28.75
2012-07-31,29.4
2012-08-01,28.950001
2012-08-02,28.280001000000002
2012-08-03,27.940001000000002
2012-08-06,29.16
2012-08-07,30.51
2012-08-08,30.16
2012-08-09,30.52
2012-08-10,30.18
2012-08-13,29.85
2012-08-14,29.68
2012-08-15,29.290001
2012-08-16,30.66
2012-08-17,30.9
2012-08-20,31.440001000000002
2012-08-21,30.75
2012-08-22,30.6
2012-08-23,30.93
2012-08-24,30.860001
2012-08-27,31.030001000000002
2012-08-28,31.0
2012-08-29,30.84
2012-08-30,30.5
2012-08-31,34.400002
2012-09-04,35.380001
2012-09-05,37.02
2012-09-06,37.23
2012-09-07,38.290001000000004
2012-09-10,36.98
2012-09-11,36.490002000000004
2012-09-12,36.880001
2012-09-13,37.810001
2012-09-14,39.080002
2012-09-17,38.349998
2012-09-18,37.66
2012-09-19,37.860001000000004
2012-09-20,36.75
2012-09-21,37.139998999999996
2012-09-24,36.259997999999996
2012-09-25,36.790001000000004
2012-09-26,35.93
2012-09-27,37.73
2012-09-28,36.720001
2012-10-01,35.93
2012-10-02,35.369999
2012-10-03,36.049999
2012-10-04,34.939999
2012-10-05,33.029999
2012-10-08,32.700001
2012-10-09,32.360001000000004
2012-10-10,31.07
2012-10-11,31.52
2012-10-12,31.309998999999998
2012-10-15,32.23
2012-10-16,32.0
2012-10-17,31.219998999999998
2012-10-18,31.17
2012-10-19,31.51
2012-10-22,30.49
2012-10-23,30.559998999999998
2012-10-24,30.389999
2012-10-25,29.99
2012-10-26,28.99
2012-10-31,28.030001000000002
2012-11-01,28.52
2012-11-02,28.23
2012-11-05,27.690001000000002
2012-11-06,27.75
2012-11-07,27.360001
2012-11-08,26.809998999999998
2012-11-09,26.92
2012-11-12,26.540001
2012-11-13,26.299999
2012-11-14,26.58
2012-11-15,27.389999
2012-11-16,28.5
2012-11-19,28.139999
2012-11-20,28.389999
2012-11-21,28.67
2012-11-23,28.889999
2012-11-26,28.799999
2012-11-27,29.059998999999998
2012-11-28,28.959999
2012-11-29,29.98
2012-11-30,30.200001
2012-12-03,28.309998999999998
2012-12-04,28.129998999999998
2012-12-05,28.74
2012-12-06,28.889999
2012-12-07,27.889999
2012-12-10,27.84
2012-12-11,27.6
2012-12-12,27.09
2012-12-13,27.200001
2012-12-14,27.57
2012-12-17,27.67
2012-12-18,28.26
2012-12-19,29.370001000000002
2012-12-20,29.110001
2012-12-21,29.370001000000002
2012-12-24,29.200001
2012-12-26,28.84
2012-12-27,28.780001000000002
2012-12-28,28.41
2012-12-31,29.02
2013-01-02,29.26
2013-01-03,29.35
2013-01-04,29.68
2013-01-07,29.360001
2013-01-08,28.879998999999998
2013-01-09,29.74
2013-01-10,29.77
2013-01-11,32.27
2013-01-14,31.299999
2013-01-15,33.459998999999996
2013-01-16,31.780001000000002
2013-01-17,33.150002
2013-01-18,33.5
2013-01-22,33.540001000000004
2013-01-23,33.23
2013-01-24,33.490002000000004
2013-01-25,33.630001
2013-01-28,34.080002
2013-01-29,33.459998999999996
2013-01-30,32.779999
2013-01-31,32.959998999999996
2013-02-01,33.900002
2013-02-04,33.669998
2013-02-05,33.720001
2013-02-06,33.919998
2013-02-07,33.209998999999996
2013-02-08,33.419998
2013-02-11,33.880001
2013-02-12,34.639998999999996
2013-02-13,34.5
2013-02-14,35.080002
2013-02-15,34.98
2013-02-19,34.68
2013-02-20,34.110001000000004
2013-02-21,34.040001000000004
2013-02-22,35.009997999999996
2013-02-25,35.549999
2013-02-26,35.509997999999996
2013-02-27,36.360001000000004
2013-02-28,36.130001
2013-03-01,38.970001
2013-03-04,37.599998
2013-03-05,37.560001
2013-03-06,37.84
2013-03-07,38.009997999999996
2013-03-08,38.720001
2013-03-11,38.619999
2013-03-12,38.110001000000004
2013-03-13,38.560001
2013-03-14,39.040001000000004
2013-03-15,39.0
2013-03-18,38.580002
2013-03-19,37.490002000000004
2013-03-20,38.549999
2013-03-21,38.459998999999996
2013-03-22,39.049999
2013-03-25,39.98
2013-03-26,39.0
2013-03-27,40.02
2013-03-28,40.029999
2013-04-01,40.0
2013-04-02,39.73
2013-04-03,39.330002
2013-04-04,39.490002000000004
2013-04-05,39.91
2013-04-08,39.860001000000004
2013-04-09,40.450001
2013-04-10,41.16
2013-04-11,42.139998999999996
2013-04-12,42.259997999999996
2013-04-15,41.450001
2013-04-16,42.139998999999996
2013-04-17,42.099998
2013-04-18,41.02
2013-04-19,40.630001
2013-04-22,40.709998999999996
2013-04-23,41.509997999999996
2013-04-24,40.880001
2013-04-25,42.029999
2013-04-26,41.139998999999996
2013-04-29,41.73
2013-04-30,40.799999
2013-05-01,40.73
2013-05-02,42.18
2013-05-03,43.279999
2013-05-06,43.68
2013-05-07,44.419998
2013-05-08,43.369999
2013-05-09,43.049999
2013-05-10,44.889998999999996
2013-05-13,44.25
2013-05-14,45.119999
2013-05-15,44.279999
2013-05-16,44.700001
2013-05-17,45.439999
2013-05-20,46.490002000000004
2013-05-21,46.700001
2013-05-22,45.110001000000004
2013-05-23,44.880001
2013-05-24,44.82
2013-05-28,45.790001000000004
2013-05-29,45.869999
2013-05-30,45.220001
2013-05-31,46.759997999999996
2013-06-03,45.029999
2013-06-04,42.990002000000004
2013-06-05,42.02
2013-06-06,42.889998999999996
2013-06-07,43.419998
2013-06-10,44.130001
2013-06-11,44.099998
2013-06-12,43.799999
2013-06-13,43.810001
2013-06-14,43.07
2013-06-17,43.849998
2013-06-18,43.970001
2013-06-19,43.720001
2013-06-20,43.59
2013-06-21,43.849998
2013-06-24,43.779999
2013-06-25,43.950001
2013-06-26,45.990002000000004
2013-06-27,47.009997999999996
