Date,INTU
1994-02-14,3.895833
1994-02-15,3.916667
1994-02-16,3.916667
1994-02-17,3.9375
1994-02-18,3.854167
1994-02-22,3.895833
1994-02-23,3.875
1994-02-24,3.802083
1994-02-25,3.75
1994-02-28,3.75
1994-03-01,3.75
1994-03-02,3.8125
1994-03-03,3.8125
1994-03-04,3.78125
1994-03-07,3.822917
1994-03-08,3.802083
1994-03-09,3.8125
1994-03-10,3.791667
1994-03-11,3.75
1994-03-14,3.75
1994-03-15,3.770833
1994-03-16,3.6875
1994-03-17,3.583333
1994-03-18,3.583333
1994-03-21,3.520833
1994-03-22,3.5625
1994-03-23,3.645833
1994-03-24,3.520833
1994-03-25,3.3125
1994-03-28,3.166667
1994-03-29,3.083333
1994-03-30,3.114583
1994-03-31,3.03125
1994-04-04,2.916667
1994-04-05,3.041667
1994-04-06,2.927083
1994-04-07,2.864583
1994-04-08,2.65625
1994-04-11,2.729167
1994-04-12,2.791667
1994-04-13,2.677083
1994-04-14,2.625
1994-04-15,2.604167
1994-04-18,2.572917
1994-04-19,2.416667
1994-04-20,2.333333
1994-04-21,2.4375
1994-04-22,2.5
1994-04-25,2.666667
1994-04-26,2.84375
1994-04-28,2.958333
1994-04-29,3.0
1994-05-02,2.947917
1994-05-03,2.895833
1994-05-04,2.833333
1994-05-05,2.583333
1994-05-06,2.541667
1994-05-09,2.4375
1994-05-10,2.4375
1994-05-11,2.270833
1994-05-12,2.5
1994-05-13,2.5625
1994-05-16,2.520833
1994-05-17,2.458333
1994-05-18,2.635417
1994-05-19,2.791667
1994-05-20,2.6875
1994-05-23,2.770833
1994-05-24,2.75
1994-05-25,2.708333
1994-05-26,2.677083
1994-05-27,2.791667
1994-05-31,2.895833
1994-06-01,2.895833
1994-06-02,3.0
1994-06-03,3.0
1994-06-06,3.041667
1994-06-07,2.90625
1994-06-08,2.791667
1994-06-09,2.6875
1994-06-10,2.791667
1994-06-13,2.8125
1994-06-14,2.916667
1994-06-15,2.927083
1994-06-16,2.78125
